time,open,high,low,close,volume
1587772800,53817619917.39162,56104148025.84986,52962088145.58959,54430563834.35838,70590836571.54988
1587859200,54519794439.4326,56200691527.27269,53473688568.56769,55146707609.39919,73202246047.72124
1587945600,55330800651.84001,56567625629.60724,53655109300.81369,55362522238.628654,78947090787.85939
1588032000,55470016728.96298,57630696888.70578,53992218018.97731,56600256788.79544,72943828754.40645
1588118400,56496631207.466125,63076287000.09656,54358117452.04319,59770691702.88265,117243766142.62518
1588204800,59895512704.72183,64191177296.99275,55347386623.567406,57373218265.5863,130124609774.74245
1588291200,57370061037.36583,61105797073.832016,56506193761.82668,58428806700.78945,86079700228.79185
1588377600,58602358319.207016,60652946542.81718,57456250641.69428,59566444567.91957,77443540735.63379
1588464000,59620425544.54223,61154628175.71496,56911079914.40706,58285806576.73175,89125233261.321
1588550400,58369766653.89987,59353534848.32837,54928282045.07145,57973597260.23302,91577989030.50592
1588636800,58213304237.79775,60077571840.62941,56633680214.67092,58248907533.58699,80938810074.62431
1588723200,58122134154.57362,60650094302.9498,55929144135.41048,56997252361.71131,86513926588.04164
1588809600,56930395303.496666,61650969187.09108,54857545717.204216,59283526390.7887,105520163182.60864
1588896000,59176325302.8552,61620599418.75452,57579175208.088425,59684408464.515686,95453450072.07622
1588982400,59750330687.55791,62233120975.67696,58137716670.00887,59444727179.40077,88856728915.95349
1589068800,59311476109.21501,60640494085.71887,50378913121.2729,54755827782.67483,115900531078.97488
1589155200,55448466911.86565,58279826177.662926,51281618011.49251,54751480763.04521,100017159705.57475
1589241600,54758431793.372246,57836702407.99415,53695620927.95293,56048744052.24143,76106690987.88922
1589328000,56099748984.12935,59223515157.0411,54742129715.62288,57435758486.16007,77900633869.18709
1589414400,59838047356.68298,62989691476.61987,57664112366.551865,60483038299.12402,93366318472.20724
1589500800,60516565639.34778,62007824882.34429,57047776623.59329,58945794065.60151,78795435767.69469
1589587200,58941845193.47011,61095771166.17572,57999148638.32326,59662906668.67632,65605682131.13729
1589673600,59766575012.32688,62454071381.15842,58512668644.66408,60170730682.34325,67857433705.2705
1589760000,60241497811.95259,63370788961.60759,58704483135.52028,61305967118.585655,75842818906.48712
1589846400,60778302801.06091,62284435274.76368,58785690600.55054,61141636813.77574,69151944572.32228
1589932800,61090133171.83258,62426389650.39622,57615648303.722565,60299520200.75815,67118181799.90903
1590019200,60308959157.33641,61797075626.72199,56063874811.86973,58257462909.33501,69913938266.5154
1590105600,58080753387.548485,61461731455.18225,57078960488.73442,60086976622.82912,59981915004.11841
1590192000,60156817889.20242,61529160841.10426,58835866458.06992,59838981154.31319,51964746085.90677
1590278400,59862476825.0724,61613265009.55346,57085778772.309525,58020562126.89927,58174895721.2758
1590364800,57920477182.72487,60584444506.22342,56468959574.96814,59411200623.49696,55642647893.77257
1590451200,59488239588.385,60634165734.72247,57725513015.67352,59034314472.81931,51467970857.86954
1590537600,59153925634.973175,61704411326.9785,57914358287.68306,60034932630.66887,54379498813.26158
1590624000,60111559396.01524,62648244715.45346,49954752233.50558,61438519297.793884,58053368783.238754
1590710400,61565828682.074615,62946478609.463806,59930597751.47011,61313523851.58205,56949791983.842834
1590796800,61282845785.0291,65451855107.53154,60354996585.42339,64058116743.3861,63546028125.66418
1590883200,64021769255.989815,65782627103.22513,61137396499.3963,62207792759.11566,57343801189.39599
1590969600,69320326735.73473,75919746902.78835,68050373208.65823,72866310844.48404,60206865952.63311
1591056000,73305288478.62985,76177662880.28227,67204971325.87825,71316456519.52155,68875585956.8586
1591142400,71286232842.95161,73484782660.07327,69827932498.96312,72534552374.70798,47954217873.9749
