time,open,high,low,close,volume
1577836800,185455188768.9492,188054922346.21817,184774051264.3818,186105222259.30023,59771135468.07092
1577923200,186029980481.8744,186711520232.7997,178481321224.47653,180152527142.0631,65245417849.05018
1578009600,180139620385.01865,192430996288.83487,177298169539.50476,190146118516.906,86378429380.501
1578096000,190267587954.4145,192420955251.038,187872817630.492,190901506067.6641,60383066697.02055
1578182400,191040706369.42184,195343110142.9434,189570277358.0409,191363435467.4512,65228883684.34243
1578268800,191899540588.8847,205621930900.06216,191411098761.94955,203577702392.3105,79156539199.28392
1578355200,203765822968.5049,214443471519.4164,199481573301.5789,210305249325.8679,88311776760.10403
1578441600,210072643956.8114,218217933325.58023,201404700937.6513,206962368706.77017,93761272919.17165
1578528000,207097989127.41364,208124255883.8004,199569484669.62576,202220711072.83243,73708416448.40837
1578614400,202437340298.3271,214393761669.52783,198132489236.37265,213089632436.0526,91089156590.8899
1578700800,213011077947.273,217213809033.2482,207377151540.30545,209118087812.21472,83928338808.75769
1578787200,209135648674.7021,214488602142.224,207305010321.112,213615716477.99725,76747807805.82887
1578873600,213808324294.315,214626917902.1636,208302367561.7093,211676175196.16995,73320583080.334
1578960000,211779368245.18027,241968081975.9006,210589445643.9152,237483075936.2048,157227005256.76907
1579046400,237186739377.0596,243893202270.6423,226700799488.4217,236596587349.362,141808550939.5003
1579132800,236770400012.88943,239193984145.3772,227544130718.9759,233969872081.83948,115228053445.04396
1579219200,234113858022.0308,245884229350.2116,230847291353.1865,239800755786.0007,134492659032.10812
1579305600,241509232590.2032,246691248672.63052,235724111764.35785,240488483846.0232,123504958469.17883
1579392000,241902629634.84555,252364211286.4181,226135029780.3714,234317516176.1521,119093633647.17174
1579478400,234493200445.6022,237463673798.5265,227680634165.4004,233465874935.2926,94543730396.32388
1579564800,233815293025.2197,239149329030.1461,228853029739.3451,236409515855.3057,86102681084.93553
1579651200,237030493043.3464,239681115765.98865,231669022584.71005,235069953632.23428,80795475091.61896
