symbol,breakout_date,peak_date,b_ratio_-3,b_ratio_-2,b_ratio_-1,b_ratio_+0,b_ratio_+1,b_ratio_+2,b_ratio_+3,p_ratio_-3,p_ratio_-2,p_ratio_-1,p_ratio_+0,p_ratio_+1,p_ratio_+2
1INCH-USD,2021-10-24,2021-10-27,11.502341502464564,10.013171176348855,6.295621901571824,10.15781763894954,10.486163850697139,7.789998211334881,92.87293054916448,10.15781763894954,10.486163850697139,7.789998211334881,92.87293054916448,20.717368921233927,12.689757563442349
ACH-USD,2021-08-19,2021-08-23,18.382114754689738,12.711854219659724,34.10070405864847,11.143190929817193,22.152318489499322,30.201900378770418,22.288985508485304,22.152318489499322,30.201900378770418,22.288985508485304,27.66895054525065,28.143242215986785,18.62061931344867
ACH-USD,2021-10-31,2021-11-08,40.85656904649302,11.528249367946252,12.07090916958471,51.455735478891306,20.168179594719216,15.838995478167671,40.78554085092851,16.48692968679979,14.773529930339247,11.93425581992582,24.560054599016958,17.931708089927124,15.460613385064836
ACH-USD,2022-01-07,2022-01-10,3.268388682890744,19.563640850317544,11.516114522350595,6.429706258097445,5.669345300459416,9.69071615029602,47.32152601944817,6.429706258097445,5.669345300459416,9.69071615029602,47.32152601944817,33.24718456422999,10.746723305745265
ACH-USD,2022-02-06,2022-02-09,7.460371349992756,12.268927066267189,6.259470438675252,7.2791644967642455,22.37205585413713,45.27006639691364,34.366832069291476,7.2791644967642455,22.37205585413713,45.27006639691364,34.366832069291476,18.888066783200674,18.484473734871475
ACH-USD,2022-07-16,2022-07-19,5.414215546207823,5.146996655219693,4.790568827004105,5.612624904678465,6.987184754984477,6.482524089665698,75.35728520017007,5.612624904678465,6.987184754984477,6.482524089665698,75.35728520017007,27.053562462993664,30.478265800242667
ACH-USD,2023-01-27,2023-02-05,7.284136368793281,25.996327733145975,4.450331179935141,4.485268402674425,3.0148016136564815,13.308368760539624,47.57551458971842,16.310429002220484,18.485668986601887,18.884907782668424,27.495778210182166,17.048898044945183,6.616612654546228
ACH-USD,2023-02-14,2023-02-22,5.917083069278006,14.477487655042554,10.685693698083387,7.175103112481995,17.753153682383637,46.77846031326916,17.809107972607265,38.09158881297938,59.18617023983346,35.138188911286285,27.66973074074357,20.26153520092302,24.702398971976038
ACH-USD,2023-03-10,2023-03-19,13.484851993148904,22.0633083856518,19.622320597896547,16.9258551702536,13.091932086541025,23.276223906025706,23.785787773805023,9.421098858488586,20.009990143379277,15.541882410578367,20.369071693847584,12.40834439224836,11.37915147198607
ACH-USD,2024-03-11,2024-03-14,9.598930020579676,5.056507443621117,9.279169007925159,10.021192086015018,15.665520615118012,15.158385211463887,31.029283161104495,10.021192086015018,15.665520615118012,15.158385211463887,31.029283161104495,15.828557605663928,26.46486196870066
ACH-USD,2025-01-24,2025-02-01,9.799196201326343,4.977140345181397,5.224731116746839,8.212488174721022,3.222453605825648,18.481851939661496,101.02921836583025,33.9113435031043,33.83106274928234,9.961967939467065,28.655014405232016,39.3206360804206,44.83651847597561
ACH-USD,2025-02-15,2025-02-20,7.249160255359133,8.512261017876522,5.414905501236289,7.056612718242894,23.064029130313468,28.181170694562073,26.238031653281134,28.181170694562073,26.238031653281134,11.949346156989439,20.38235620032285,13.042714500862962,4.464414943682837
ACT-USD,2021-04-02,2021-04-09,6.545789853542661,15.895079691707892,24.82878629330758,13.628895513645588,9.565126439156213,25.239023018038665,28.784471365847097,28.992839481721155,25.648027273816034,15.67032417651304,17.894394045057282,12.526313947276101,7.806987685242617
AGI-USD,2023-11-21,2023-11-24,16.77501826222203,17.564808122404774,14.062232965576893,30.024764995249154,20.329644889422216,7.912107094346887,34.54574896276241,30.024764995249154,20.329644889422216,7.912107094346887,34.54574896276241,10.773513709352244,11.607173794387538
AGI-USD,2023-12-06,2023-12-15,4.164576069648995,7.219835537094976,9.757053653595293,9.631311635293184,5.330945562782374,16.673119853355267,27.005267882165175,13.565971261940323,14.035912206334732,37.27506817334743,21.527937224749728,41.10856974706747,18.610238145602786
AGI-USD,2024-02-13,2024-02-22,8.494577202425525,4.470826834969555,9.587888850053549,8.038956063073899,11.652523564376672,29.976670074585243,33.49173628856743,50.38413340734466,42.528011888542274,33.94667408287837,36.25342170420649,18.904130651421646,35.31763462436719
AGI-USD,2024-06-18,2024-06-22,4.380127178360205,9.274784304308636,27.530415573972622,15.720047607126709,23.362021792339547,22.781024673476267,15.700127622901693,23.362021792339547,22.781024673476267,15.700127622901693,16.57769311245567,25.368184016757734,18.57685123922881
AGI-USD,2024-09-21,2024-09-27,6.838501027229826,11.752643722946354,6.46421722304984,6.217602576133929,9.658142673062375,29.904542308114944,31.78092223166913,31.78092223166913,13.916282578226081,9.430376305298104,14.482347877607626,8.826568338228281,5.292079565799135
AGI-USD,2025-03-16,2025-03-25,5.624757442599937,9.169710292600652,4.082971981716166,5.845848374781615,9.09147149618219,8.720772281054568,40.20826222405223,13.387188977470199,9.204713612194503,16.022580809916743,5.403632035699113,18.96961293935002,11.52040219199819
AGIX-USD,2020-08-19,2020-08-23,21.04441470507792,10.559870190529486,28.04520765253713,20.565709263757824,30.057045073775225,22.219611601972765,49.89357967546872,30.057045073775225,22.219611601972765,49.89357967546872,33.20313066330116,16.078034117459627,24.369747899159666
AGIX-USD,2021-01-31,2021-02-09,24.919645866205407,31.397225018627495,8.478558683287062,9.871936260268455,32.077826697853865,12.131571338192293,28.03093094730582,13.178312312936825,17.02215997959233,24.385950016257453,22.053356525103162,20.146094802820414,34.09874701991671
