symbol,breakout_date,b_adx_-3,b_adx_-2,b_adx_-1,b_adx_+0,b_adx_+1,b_adx_+2,b_adx_+3,p_adx_-3,p_adx_-2,p_adx_-1,p_adx_+0,p_adx_+1,p_adx_+2
1INCH-USD,2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1INCH-USD,2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1INCH-USD,2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1INCH-USD,2021-01-21,0.0,0.0,0.0,19.941182915040297,18.85322918112581,18.39430831636793,19.41574655264525,0.0,0.0,0.0,19.941182915040297,18.85322918112581,18.39430831636793
1INCH-USD,2021-01-25,18.85322918112581,18.39430831636793,19.41574655264525,20.847067264244618,21.566710174649835,22.299090509618527,24.207437651660918,18.85322918112581,18.39430831636793,19.41574655264525,20.847067264244618,21.566710174649835,22.299090509618527
1INCH-USD,2021-01-29,21.566710174649835,22.299090509618527,24.207437651660918,26.14690770186143,29.13331488007814,32.382834215550744,34.78366913996822,21.566710174649835,22.299090509618527,24.207437651660918,26.14690770186143,29.13331488007814,32.382834215550744
1INCH-USD,2021-04-24,12.895232501544426,13.196488101575605,14.472199949412586,15.656789522404068,16.912356399287365,17.32120561057443,16.52243488708685,12.895232501544426,13.196488101575605,14.472199949412586,15.656789522404068,16.912356399287365,17.32120561057443
1INCH-USD,2021-05-23,19.353212656402146,20.40641160729134,21.39002841376075,23.030052324681158,24.311003034150456,25.325600196690022,25.544350485497745,19.353212656402146,20.40641160729134,21.39002841376075,23.030052324681158,24.311003034150456,25.325600196690022
1INCH-USD,2021-06-12,23.08319181273628,23.301081004543274,23.804469880983895,24.477916012770912,24.441487407015796,22.863903794363008,21.399004725471134,23.08319181273628,23.301081004543274,23.804469880983895,24.477916012770912,24.441487407015796,22.863903794363008
1INCH-USD,2021-10-24,21.267671851927258,22.946249524657983,24.021894748873542,24.367887105902263,24.919668971063597,25.506992876822405,29.138140815826937,21.267671851927258,22.946249524657983,24.021894748873542,24.367887105902263,24.919668971063597,25.506992876822405
ACH-USD,2020-11-08,14.333858173642515,13.959987678935505,12.986275092361604,12.13412455417777,11.591066382088327,11.17352153779022,12.749274231935114,14.333858173642515,13.959987678935505,12.986275092361604,12.13412455417777,11.591066382088327,11.17352153779022
ACH-USD,2020-12-04,18.34698466054512,17.623928331406777,16.984022220618765,16.492732488750406,16.07718011441529,15.623045167014222,15.707434093373466,18.34698466054512,17.623928331406777,16.984022220618765,16.492732488750406,16.07718011441529,15.623045167014222
ACH-USD,2021-01-15,12.356139486981144,11.637906364366584,10.970975607653063,10.38230286461373,9.80347737269017,10.042180708818682,12.334865165325422,12.356139486981144,11.637906364366584,10.970975607653063,10.38230286461373,9.80347737269017,10.042180708818682
