symbol,date,rsi,macd,macd_signal
1INCH-USD,2020-12-29,,,
1INCH-USD,2021-01-03,,,
1INCH-USD,2021-01-14,45.458522742324334,,
1INCH-USD,2021-01-21,49.53173907760289,0.0286022962284557,
1INCH-USD,2021-01-25,64.59135518298658,0.1556832998945907,
1INCH-USD,2021-01-29,74.33257681986485,0.3646110561087812,0.200181098780333
1INCH-USD,2021-04-24,37.545148600906586,-0.0812358613311863,0.1561400593650628
1INCH-USD,2021-05-23,31.42646253674056,-0.6837224156193109,-0.2851166813574843
1INCH-USD,2021-06-12,39.57930301189808,-0.3490901951580123,-0.3721218486886203
1INCH-USD,2021-10-24,60.71385914548354,0.2767131920167496,0.2073266812775145
A-USD,2020-01-08,,,
A-USD,2020-02-08,42.03753911487501,-0.0007651978049161,-0.0006543384949581
A-USD,2020-03-13,39.56525451557332,-0.0038374089243313,-0.0032254961368736
A-USD,2020-03-22,39.6743167242278,-0.0038791517246767,-0.0033668099238077
A-USD,2020-03-31,41.22817663931468,-0.0033374959889699,-0.0034791345790377
A-USD,2020-04-04,42.03298191937559,-0.0028144890958402,-0.0031957010569559
A-USD,2020-04-16,42.89687050909339,-0.001050600029891,-0.0011911362792021
A-USD,2020-04-22,43.610888035067,-0.000992500124296,-0.0010716180880424
A-USD,2020-04-26,44.52939405359558,-0.0007846122379513,-0.0009489394567266
A-USD,2020-05-25,38.72588895103247,-0.0002770848240695,-0.0002447925763976
A-USD,2020-06-03,53.303863062983936,6.896797379882247e-05,-5.184834557645215e-05
A-USD,2020-06-11,50.38981818580306,0.0003879065233487,0.0003234616456519
A-USD,2020-06-15,53.85028108439264,0.0003076060688991,0.0002885484240558
A-USD,2020-06-23,45.98254697746795,0.0020968613778038,0.002367395128696
A-USD,2020-06-30,44.31916759869443,0.0023382454004054,0.0025871771443662
A-USD,2020-07-12,43.12941202985099,-0.000908165390046,0.000724071173889
A-USD,2020-07-16,44.40696655884222,-0.0017819493011241,-0.0006558506341057
A-USD,2020-07-24,46.10957024271297,-0.0005525654811737,-0.0007056620504133
A-USD,2020-08-20,43.765553605149584,-0.0009094870876486,-0.0010791181350373
A-USD,2020-08-29,45.41524033851768,-0.0001811270501985,-0.0002605726459348
A-USD,2020-09-02,45.344343619219295,-0.0003748522663254,-0.000297587643612
A-USD,2020-09-07,44.84902186941336,-0.0005182537142923,-0.0003765561564838
A-USD,2020-09-16,44.174294137143406,-0.0004853524786568,-0.0004778282245621
A-USD,2020-09-20,50.42159108353984,-0.0002188238057404,-0.0003690883840523
A-USD,2020-09-25,59.59394708228675,0.0004576971562877,-1.9967484706104267e-06
A-USD,2020-10-04,45.048153745291295,0.0012198571349168,0.0011319210928509
A-USD,2020-10-25,40.83681481453672,5.441313595313298e-05,0.0002660326712349
A-USD,2020-11-13,41.99302991669512,-0.0006615677206617,-0.0004434189700956
A-USD,2020-11-21,48.51286640122747,0.0007131028598071,0.0002723940510421
A-USD,2020-11-27,39.60219941758892,0.0004269519535336,0.0006558737843375
A-USD,2020-12-14,33.35186169875257,-0.0001608838948725,0.0003051147010584
A-USD,2020-12-24,36.87643214199973,-0.0002074219187184,0.0002705441328278
A-USD,2020-12-29,39.69356540702128,-0.0009575529510185,-0.000429534750665
A-USD,2021-01-05,52.16292359600502,0.0007419575817408,0.0002058746601581
A-USD,2021-01-21,46.1477438243529,0.0007852462458435,0.0010469786947344
A-USD,2021-02-04,60.33776637243855,0.0013150713014146,0.0011588870689376
A-USD,2021-02-18,28.2841575276083,0.0006018123909169,0.0018881543144508
A-USD,2021-02-22,55.02442892729975,0.0014179317148404,0.0014085402501731
A-USD,2021-03-07,45.6953362169339,-0.002099095807909,-0.0011962068690297
A-USD,2021-03-12,41.732191779142354,0.0001888229225021,-0.0004515335986986
A-USD,2021-04-01,34.100042940762805,0.0002269368108012,0.0019138041571531
A-USD,2021-04-20,38.49503374875032,-0.0033554628679552,-0.001542921905757
A-USD,2021-05-03,37.673732270292014,-0.0004615510644049,-0.000403833865767
A-USD,2021-05-09,43.14699833367069,-0.0007001132457642,4.215600552891997e-05
A-USD,2021-05-14,43.91579322910592,-0.0030121239249579,-0.0016410154763332
A-USD,2021-05-18,43.724711528456645,-0.003738071723253,-0.002805522718245
A-USD,2021-05-22,50.83868264991304,-0.0021811457510748,-0.0029207198436687
A-USD,2021-05-30,43.66618607398953,-0.0001405743698149,-0.0004365841378773
A-USD,2021-06-03,51.94116607547254,0.0002485213080666,-0.0001993113397148
A-USD,2021-06-12,45.9716322104044,-0.0012242928417382,-0.0004353070962173
A-USD,2021-06-18,45.35242240515643,-0.0007424378679205,-0.0007255685971114
A-USD,2021-07-13,44.1941093898452,-0.000855341570048,-0.0008091392879327
A-USD,2021-07-25,41.53032822032041,-0.000525903382105,-0.0005746200684494
A-USD,2021-07-29,52.922514950534605,-0.0001029737679635,-0.0003646705061495
A-USD,2021-08-02,47.42782453324835,0.0001044876599071,-0.0001074636779154
A-USD,2021-08-13,45.23635942712296,0.000202881084139,0.0005836509130719
A-USD,2021-08-22,44.22153817036615,-0.0004378625153101,2.536428600492704e-05
A-USD,2021-09-01,48.75616961143378,-0.0003973380486497,-0.0004165796920813
A-USD,2021-09-14,47.15871639371439,-0.0002900219293855,-8.264245001658873e-05
A-USD,2021-10-01,53.87155721975773,0.0003103441626841,0.0003371879126458
A-USD,2021-10-07,44.043666091274936,0.0005356573286508,0.0005600547175897
A-USD,2021-10-13,43.636671110179456,5.768135556260406e-07,0.0003290086481918
