symbol,breakout_date,b_atr_-3,b_atr_-2,b_atr_-1,b_atr_+0,b_atr_+1,b_atr_+2,b_atr_+3,p_atr_-3,p_atr_-2,p_atr_-1,p_atr_+0,p_atr_+1,p_atr_+2
1INCH-USD,2020-12-29,,,,,,,,,,,,,
1INCH-USD,2021-01-03,,,,,,,,,,,,,
1INCH-USD,2021-01-14,0.27109950780868525,0.2560018684182848,0.2454825852598463,0.2313563014779772,0.23200994304248262,0.25450644748551504,0.28149617144039696,0.27109950780868525,0.2560018684182848,0.2454825852598463,0.2313563014779772,0.23200994304248262,0.25450644748551504
1INCH-USD,2021-01-21,0.2873491602284567,0.28518916453633986,0.2844123797757284,0.2843528773103441,0.29456758073398037,0.3018099282469068,0.3257336999688829,0.2873491602284567,0.28518916453633986,0.2844123797757284,0.2843528773103441,0.29456758073398037,0.3018099282469068
1INCH-USD,2021-01-25,0.29456758073398037,0.3018099282469068,0.3257336999688829,0.33578584875379286,0.3601121306419372,0.37706392151968815,0.4323166949408395,0.29456758073398037,0.3018099282469068,0.3257336999688829,0.33578584875379286,0.3601121306419372,0.37706392151968815
1INCH-USD,2021-01-29,0.3601121306419372,0.37706392151968815,0.4323166949408395,0.45346270288739887,0.5236250587872097,0.555218381541116,0.600727507046291,0.3601121306419372,0.37706392151968815,0.4323166949408395,0.45346270288739887,0.5236250587872097,0.555218381541116
1INCH-USD,2021-04-24,0.7109945842197966,0.6951204368046352,0.7105487755366734,0.6958512578691755,0.704175318990435,0.7089534997940063,0.7317107915878296,0.7109945842197966,0.6951204368046352,0.7105487755366734,0.6958512578691755,0.704175318990435,0.7089534997940063
1INCH-USD,2021-05-23,1.088624324117388,1.1133241142545427,1.050028613635472,1.0717553070613317,1.008945005280631,0.9972737346376691,0.9406738792146955,1.088624324117388,1.1133241142545427,1.050028613635472,1.0717553070613317,1.008945005280631,0.9972737346376691
1INCH-USD,2021-06-12,0.5058217900139946,0.5015562091554916,0.47589727810450977,0.45846770490918853,0.44804576465061746,0.4762325286865235,0.5126257453645979,0.5058217900139946,0.5015562091554916,0.47589727810450977,0.45846770490918853,0.44804576465061746,0.4762325286865235
1INCH-USD,2021-10-24,0.3100046770913259,0.32384540353502533,0.33356470721108566,0.3423031398228236,0.3532362835747854,0.3584471940994262,0.6067645379475185,0.3100046770913259,0.32384540353502533,0.33356470721108566,0.3423031398228236,0.3532362835747854,0.3584471940994262
ACH-USD,2020-11-08,0.0009448571529771428,0.0009669286331959999,0.0010434286336281427,0.0010153571409838497,0.0010377857168870285,0.0009529999723391856,0.001063642890325607,0.0009448571529771428,0.0009669286331959999,0.0010434286336281427,0.0010153571409838497,0.0010377857168870285,0.0009529999723391856
ACH-USD,2020-12-04,0.0010707858018577,0.0010447143909654286,0.0009963572291391144,0.0009845714750034429,0.0009243572463414429,0.0007857143479798502,0.0008030714733259999,0.0010707858018577,0.0010447143909654286,0.0009963572291391144,0.0009845714750034429,0.0009243572463414429,0.0007857143479798502
ACH-USD,2021-01-15,0.0005377142723383715,0.0005209285799147929,0.0005062142819432429,0.0005011428313862143,0.000508642838602643,0.0005313571309671072,0.0006298571326104928,0.0005377142723383715,0.0005209285799147929,0.0005062142819432429,0.0005011428313862143,0.000508642838602643,0.0005313571309671072
ACH-USD,2021-01-25,0.0005845714393737214,0.0005825714407754929,0.0005591428738885857,0.0005707143074167858,0.0006007142863901857,0.00062728571772045,0.0007290000129225142,0.0005845714393737214,0.0005825714407754929,0.0005591428738885857,0.0005707143074167858,0.0006007142863901857,0.00062728571772045
ACH-USD,2021-02-09,0.0009802856948226788,0.0010175714102972858,0.0009986428776755931,0.001054214313626293,0.0010716428847185287,0.0010162857693753143,0.0011276429119919072,0.0009802856948226788,0.0010175714102972858,0.0009986428776755931,0.001054214313626293,0.0010716428847185287,0.0010162857693753143
ACH-USD,2021-03-10,0.0012871428126735498,0.0011954999395779283,0.0009477142178054426,0.0009517142150018926,0.0009468570684215857,0.0009400713856199001,0.0011345713865011928,0.0012871428126735498,0.0011954999395779283,0.0009477142178054426,0.0009517142150018926,0.0009468570684215857,0.0009400713856199001
ACH-USD,2021-03-26,0.0015445713153375072,0.0015829999465495428,0.0016422142341200854,0.0016481428007994426,0.0014264285564422712,0.0012674285764140856,0.0013188572068299714,0.0015445713153375072,0.0015829999465495428,0.0016422142341200854,0.0016481428007994426,0.0014264285564422712,0.0012674285764140856
ACH-USD,2021-05-07,0.0010291428770870142,0.000999357152198057,0.0009574286107506215,0.0009648572054824788,0.0009635715146682216,0.0009876430101160572,0.001588571683636736,0.0010291428770870142,0.000999357152198057,0.0009574286107506215,0.0009648572054824788,0.0009635715146682216,0.0009876430101160572
ACH-USD,2021-06-22,0.00041078574888939266,0.00038700001979512135,0.0004487142931403784,0.0004602857266685784,0.0004596428646306856,0.00046271429995872846,0.0005292142907689714,0.00041078574888939266,0.00038700001979512135,0.0004487142931403784,0.0004602857266685784,0.0004596428646306856,0.00046271429995872846
ACH-USD,2021-07-25,0.00015399998353261423,0.00014585713090905708,0.00014135713822073563,0.00014871428720651415,0.00016485714253834988,0.00017578572234403558,0.00028578573671567126,0.00015399998353261423,0.00014585713090905708,0.00014135713822073563,0.00014871428720651415,0.00016485714253834988,0.00017578572234403558
ACH-USD,2021-07-30,0.00017578572234403558,0.00028578573671567126,0.0005412857364197784,0.0005640714578995714,0.0007474285999445998,0.0008854999988605857,0.0013175714411772644,0.00017578572234403558,0.00028578573671567126,0.0005412857364197784,0.0005640714578995714,0.0007474285999445998,0.0008854999988605857
