symbol,breakout_date,b_macd_slope_-3,b_macd_slope_-2,b_macd_slope_-1,b_macd_slope_+0,b_macd_slope_+1,b_macd_slope_+2,b_macd_slope_+3,p_macd_slope_-3,p_macd_slope_-2,p_macd_slope_-1,p_macd_slope_+0,p_macd_slope_+1,p_macd_slope_+2
1INCH-USD,2020-12-29,-0.04669205646569239,-0.1075323080295292,-0.13661632028890144,-0.16120633651875324,-0.15421205459043302,-0.12264349144341219,-0.10833483240547018,-0.04669205646569239,-0.1075323080295292,-0.13661632028890144,-0.16120633651875324,-0.15421205459043302,-0.12264349144341219
1INCH-USD,2021-01-03,-0.12264349144341219,-0.10833483240547018,-0.09987445750232712,-0.08300336602649161,-0.0697742609864705,-0.04120929233427317,-0.0019272409424727077,-0.12264349144341219,-0.10833483240547018,-0.09987445750232712,-0.08300336602649161,-0.0697742609864705,-0.04120929233427317
1INCH-USD,2021-01-14,0.024452294043887934,0.023931188994181285,0.03418919641667589,0.04503356898974828,0.05253074745470021,0.07540308535250209,0.11204759797194569,0.024452294043887934,0.023931188994181285,0.03418919641667589,0.04503356898974828,0.05253074745470021,0.07540308535250209
1INCH-USD,2021-01-21,0.12103991253126334,0.1240498612150228,0.11661137726282014,0.08813342189524376,0.07902140647375236,0.08002997035660997,0.11138840754324617,0.12103991253126334,0.1240498612150228,0.11661137726282014,0.08813342189524376,0.07902140647375236,0.08002997035660997
1INCH-USD,2021-01-25,0.07902140647375236,0.08002997035660997,0.11138840754324617,0.11808358357438126,0.1353609768343777,0.1286456670535301,0.15529016650015526,0.07902140647375236,0.08002997035660997,0.11138840754324617,0.11808358357438126,0.1353609768343777,0.1286456670535301
1INCH-USD,2021-01-29,0.1353609768343777,0.1286456670535301,0.15529016650015526,0.17774970975324472,0.2596840399956084,0.3175426863887717,0.33844029269246084,0.1353609768343777,0.1286456670535301,0.15529016650015526,0.17774970975324472,0.2596840399956084,0.3175426863887717
1INCH-USD,2021-04-24,-0.12959976724475603,-0.16510602112639927,-0.2017003869010745,-0.23737592061913307,-0.2461925223001316,-0.2039302375905186,-0.1294765197110927,-0.12959976724475603,-0.16510602112639927,-0.2017003869010745,-0.23737592061913307,-0.2461925223001316,-0.2039302375905186
1INCH-USD,2021-05-23,-0.31577713225941173,-0.3513738683415928,-0.3792143671151136,-0.39860573426170726,-0.35003863067137,-0.3005409363272048,-0.21675956756631465,-0.31577713225941173,-0.3513738683415928,-0.3792143671151136,-0.39860573426170726,-0.35003863067137,-0.3005409363272048
1INCH-USD,2021-06-12,0.09954055538115797,0.076259726221654,0.043105709380398816,0.02303165353060932,0.030353356171585355,0.03673382403050307,0.082341407514536,0.09954055538115797,0.076259726221654,0.043105709380398816,0.02303165353060932,0.030353356171585355,0.03673382403050307
1INCH-USD,2021-10-24,0.11434692277758537,0.10764155744975779,0.09658351410887656,0.06938651073923507,0.06177620449141227,0.04581540690420452,0.14119461368800879,0.11434692277758537,0.10764155744975779,0.09658351410887656,0.06938651073923507,0.06177620449141227,0.04581540690420452
ACH-USD,2020-11-08,-3.080054557794056e-05,6.944464804807451e-05,0.00011627832842378344,0.00016348210379693974,0.00022842856518202935,0.0002795107515800399,0.0004308434536079654,-3.080054557794056e-05,6.944464804807451e-05,0.00011627832842378344,0.00016348210379693974,0.00022842856518202935,0.0002795107515800399
ACH-USD,2020-12-04,-0.00021583862486187154,-0.00018336985021373368,-0.00014679934674560963,-0.00011160168689769196,-6.634698730588408e-05,-2.447651691303847e-05,9.826640986127216e-05,-0.00021583862486187154,-0.00018336985021373368,-0.00014679934674560963,-0.00011160168689769196,-6.634698730588408e-05,-2.447651691303847e-05
ACH-USD,2021-01-15,8.343058336182928e-05,6.716489630411143e-05,4.933943298698586e-05,4.62916459959366e-05,4.515763630318656e-05,7.217453774458908e-05,0.00013727221214361964,8.343058336182928e-05,6.716489630411143e-05,4.933943298698586e-05,4.62916459959366e-05,4.515763630318656e-05,7.217453774458908e-05
ACH-USD,2021-01-25,5.7183665526984256e-05,5.391857784979229e-05,5.009032702978886e-05,8.045714712045114e-05,0.00010163595223750056,0.0001373482000377584,0.00023895208367700284,5.7183665526984256e-05,5.391857784979229e-05,5.009032702978886e-05,8.045714712045114e-05,0.00010163595223750056,0.0001373482000377584
ACH-USD,2021-02-09,0.0001730258352173801,0.00015713011829833284,0.00012974301783242855,0.0001529633784868045,0.00013728692806228167,0.0001479002998658758,0.0003146884569639528,0.0001730258352173801,0.00015713011829833284,0.00012974301783242855,0.0001529633784868045,0.00013728692806228167,0.0001479002998658758
ACH-USD,2021-03-10,-0.00030127606337359094,-0.00022845091437874947,-0.00017309279961597715,-0.0001212983652284025,-8.004753276401991e-05,-3.404729899837125e-05,0.0001788409473164149,-0.00030127606337359094,-0.00022845091437874947,-0.00017309279961597715,-0.0001212983652284025,-8.004753276401991e-05,-3.404729899837125e-05
ACH-USD,2021-03-26,0.00016513557490694877,6.299855964598676e-05,-4.561320558585022e-05,-0.00010787713352232778,-0.0001128838226414796,-0.00011224317990524157,3.904075669465453e-06,0.00016513557490694877,6.299855964598676e-05,-4.561320558585022e-05,-0.00010787713352232778,-0.0001128838226414796,-0.00011224317990524157
ACH-USD,2021-05-07,-0.00013189776745279984,-0.00012646995918571408,-0.00012366771264829817,-6.5514611468092e-05,-1.551766238377635e-05,1.2039754916732788e-05,0.00033657551942280293,-0.00013189776745279984,-0.00012646995918571408,-0.00012366771264829817,-6.5514611468092e-05,-1.551766238377635e-05,1.2039754916732788e-05
