symbol,breakout_date,peak_date,b_vtp_-3,b_vtp_-2,b_vtp_-1,b_vtp_+0,b_vtp_+1,b_vtp_+2,b_vtp_+3,p_vtp_-3,p_vtp_-2,p_vtp_-1,p_vtp_+0,p_vtp_+1,p_vtp_+2
BMX-USD,2021-09-06,2021-09-15,-13463852.594997145,-13243637.269361572,-13368696.139371675,-13338974.518402647,-13520094.077835994,-13618919.865331411,-6736128.893878846,-4763393.796593895,-7186513.037430105,-4230828.575076262,-2974119.874568393,-4103895.94127238,-2995045.9378583035
BMX-USD,2022-05-12,2022-05-16,-2697535.758468699,-2950281.7177469297,-3250705.1137072234,-4101095.749005231,-3357040.4097783607,-3410690.8578957445,-3185187.097693229,-3357040.4097783607,-3410690.8578957445,-3185187.097693229,-3163911.794853715,-3446003.2943862905,-3606902.214200019
BMX-USD,2023-05-13,2023-05-22,-4851073.375198719,-4867969.988142243,-4918237.677830032,-4916971.980056674,-4889353.66905734,-4796809.409475707,-2953686.928368395,-2538844.399780139,-2553130.63936679,-2562804.8102352927,-2285635.2175874626,-2335521.0446510776,-2198253.126881001
BMX-USD,2024-01-30,2024-02-02,-1096474.7987435278,-1106302.543910349,-1089271.907795859,-1091528.452046955,-1100466.1956424078,-1099017.7596503696,158974.79538961872,-1091528.452046955,-1100466.1956424078,-1099017.7596503696,158974.79538961872,-217107.7325830605,-177763.68314409422
BMX-USD,2024-03-12,2024-03-15,94488.88649482829,136825.91996656253,212881.42897250224,240696.09176162918,523220.3340108105,433042.34293686686,937895.6842123598,240696.09176162918,523220.3340108105,433042.34293686686,937895.6842123598,843086.9742954565,845029.4575011716
BMX-USD,2024-06-01,2024-06-04,1174765.1367099572,1176313.9418368249,983984.4430221466,975718.792425974,996862.6794295731,993104.132841725,2492006.346295103,975718.792425974,996862.6794295731,993104.132841725,2492006.346295103,2117482.9618956065,2111952.992418949
BMX-USD,2024-09-15,2024-09-20,1639060.157818799,1660229.4134049756,1642161.3557051567,1632545.6236772996,1631617.5947050098,1747821.7917407104,1909368.3355332506,1747821.7917407104,1909368.3355332506,1917096.0322624883,1948751.1710315507,1897883.9669073322,1879646.96172555
BORA-USD,2020-12-14,2020-12-17,89360340.78852165,89399777.89416605,89400076.69533163,90005079.05543588,90236573.25551148,91010260.74950878,112718955.0449556,90005079.05543588,90236573.25551148,91010260.74950878,112718955.0449556,60059663.18846477,49121540.411032565
BORA-USD,2021-03-08,2021-03-15,7851347636.181706,7884257209.651795,7884215402.610798,7883074977.539835,7887813825.399345,7911276582.735353,7944135695.104461,7944699441.78367,7947118989.105261,7977834410.559166,8079994035.205923,8038678076.628988,8036218360.374296
BORA-USD,2021-08-03,2021-08-08,8146894748.926995,8145996083.127412,8146013998.429959,8145795696.360665,8147413710.1570635,8163843396.034729,8400273021.9631815,8163843396.034729,8400273021.9631815,8420322283.183791,8421454940.60087,8419392596.217498,8418557734.478554
BORA-USD,2021-09-29,2021-10-08,8431653448.941021,8431483229.03188,8430929020.6188545,8431028598.92729,8432179108.46055,8439697440.808236,8445147000.535272,8449122656.496675,8449997022.450898,8450002604.130217,8452775662.895133,8450502127.154892,8450492876.246273
BORA-USD,2021-10-29,2021-11-02,8487532401.135981,8480613333.333429,8485795834.497885,8491597163.081138,8529264757.889617,8520495033.286882,8757065642.896675,8529264757.889617,8520495033.286882,8757065642.896675,9192715730.859749,9160853385.590961,9139504965.00594
BORA-USD,2021-11-11,2021-11-17,9136833655.775393,9134972186.49241,9136010665.590164,9136404875.954678,9143090862.712904,9144667943.09614,9187416066.672949,9187416066.672949,9512808167.426039,14809913255.406818,14873778289.680588,14729939715.322182,14773450579.862818
BORA-USD,2021-12-13,2021-12-22,15310812936.298,15311093243.178032,15311410410.554668,15299081477.757093,15293183464.644112,15446433012.5164,15475214262.05157,15523387416.848558,15525375610.098866,15532123795.289028,15532679171.990995,15545165644.742506,15541262722.666176
BORA-USD,2022-05-12,2022-05-21,15501988815.640799,15501747637.61117,15489029850.776182,15484734302.119797,15501000765.76932,15513106473.851248,15513499965.22057,15509376308.910097,15512729421.395939,15512498933.85169,15526222271.815351,15536355333.38032,15532922310.67666
BORA-USD,2023-04-02,2023-04-05,15596940044.897293,15596930994.148642,15597062963.647186,15596980812.185806,15596971550.407387,15597026423.923819,15646019085.722197,15596980812.185806,15596971550.407387,15597026423.923819,15646019085.722197,15633620820.268929,15632637233.225567
BORG-USD,2024-11-26,2024-12-03,1361067.8021995516,1292398.3025638915,1236773.2846309291,1274589.7628543025,1606414.3150158632,1845179.7841402965,2193702.9813799104,2293799.9579690276,2271400.8329935963,3146239.3002868937,3329602.405872194,2817852.766410403,2488398.4578955225
BSV-USD,2021-01-06,2021-01-09,11302880748.033905,11282108004.219675,11286592664.53625,11358885108.719597,11334013234.408567,11358078400.869272,14048303909.901768,11358885108.719597,11334013234.408567,11358078400.869272,14048303909.901768,13592998226.0162,12783677540.062212
BSV-USD,2021-04-12,2021-04-16,13544953603.754402,13624515673.860481,13645405412.06852,13583432117.669952,13831621789.180075,14169124776.430815,14462638600.912136,13831621789.180075,14169124776.430815,14462638600.912136,15442377470.692762,14919373744.741665,14427236646.342419
BSV-USD,2023-06-20,2023-06-29,13492394336.98312,13491931392.59714,13492043922.575575,13492637584.27371,13498401389.524351,13497486884.366438,13553698334.715788,13594754247.862461,13593172317.205519,13592213969.810163,13594113210.404863,13626848398.421848,13682284607.800356
BSV-USD,2023-10-17,2023-10-21,13699478238.741953,13699536496.115364,13734623283.22978,13732462148.890045,13741674823.820591,13749199406.354567,13875839775.997213,13741674823.820591,13749199406.354567,13875839775.997213,13877456418.126497,13865040235.381424,13880499547.189299
BSV-USD,2023-12-24,2024-01-01,13878964958.390173,13880694958.715002,13880300307.910433,13878954016.80421,13880964504.251377,13879832598.392483,14068619468.31511,14294143913.417793,14286282700.892542,14293566546.38052,14331501752.351406,14316533843.69797,14281316971.398758
BSV-USD,2024-02-28,2024-03-02,14292532108.791656,14296550208.799124,14301688742.133917,14304286278.182137,14300525414.741959,14304893855.895262,14454263052.040386,14304286278.182137,14300525414.741959,14304893855.895262,14454263052.040386,14434628099.924788,14450198253.699104
BSV-USD,2025-04-22,2025-04-25,14473463993.385168,14473337777.33489,14473752945.67094,14477691226.675446,14477664144.303217,14477934142.263563,14648889742.686356,14477691226.675446,14477664144.303217,14477934142.263563,14648889742.686356,14634313000.5881,14632513341.209658
BTSE-USD,2020-12-02,2020-12-06,1081433.3700126663,1037771.7426990537,1035350.9765282775,1058019.4363863782,1189061.5417753675,1177841.4406977773,1217364.572566027,1189061.5417753675,1177841.4406977773,1217364.572566027,1255359.1600516266,1249059.5655121142,1228495.7390664278
BTSE-USD,2022-05-12,2022-05-21,614596.4878662406,639753.1903188531,500759.61890568456,-11561609.696802646,-11251289.985416787,-10746008.49746721,-10744307.047300218,-10770174.77288956,-10607898.753895123,-10611123.149243372,-10608027.377083596,-10598858.83036167,-10532246.51442222
BTSE-USD,2023-01-21,2023-01-27,-11183111.46020855,-11183267.99727008,-11178644.935494589,-11184638.065583698,-11178444.914694447,-11114423.447820595,-11070321.902060336,-11070321.902060336,-11052934.429614343,-11050198.025156418,-11010400.0025822,-11016068.942785855,-11024005.551992113
BTSE-USD,2025-03-01,2025-03-08,-9696393.812844208,-9730541.691381209,-11799175.620409291,-13143924.54408901,-11192641.046110498,-9294997.635263387,-8318959.102725583,-8293383.668389221,-7276995.523217761,-7280570.642458177,-7161115.383784198,-8124710.498344935,-7784297.599758324
BTSE-USD,2025-03-12,2025-03-21,-8124710.498344935,-7784297.599758324,-8023247.948538274,-12376066.697690852,-6798200.2446848,-6733859.596758884,-6559126.598415084,-6504012.941307368,-6386031.36226762,-6368556.290059271,-6331385.097097554,-6364952.194433181,-6550854.34265565
BTT-USD,2021-02-18,2021-02-21,1778330137.8702137,1824456832.4771397,1832290995.30914,1843160682.6774032,1920910202.823807,1970805430.4263816,2145238401.9061477,1843160682.6774032,1920910202.823807,1970805430.4263816,2145238401.9061477,2114365294.9871297,1974901288.4080582
BTT-USD,2021-03-16,2021-03-21,2409099957.4101706,2411302073.7047973,2389230211.6965303,2382924002.191597,2398428586.6131954,2394520584.2042108,3310778300.924082,2394520584.2042108,3310778300.924082,4263836603.352211,4996158477.409462,4875205803.094747,4814905649.928636
BTT-USD,2021-03-28,2021-04-04,4892474564.774682,5016363726.082331,5215006631.960646,5166705135.568988,5201883452.0140915,5902813007.045958,6366570415.646001,6516379368.62149,7715424907.382778,7787502042.52755,11609536421.600277,11193967530.735567,10890111782.393494
BTT-USD,2021-05-23,2021-05-26,11478015475.294718,11425184776.980713,11403527240.499947,11287332640.549301,11438258827.625668,11499696743.865532,11569146274.514498,11287332640.549301,11438258827.625668,11499696743.865532,11569146274.514498,11524948741.542265,11474050596.819918
BTT-USD,2021-08-03,2021-08-12,11560624967.98779,11562582264.448584,11565409272.599703,11568379014.473225,11607772173.021643,11671862951.16262,11743274693.506813,11742638134.390303,11745154166.295992,11938073572.938654,11991549155.793344,12030145262.977169,12026663592.720451
BTT-USD,2021-12-04,2021-12-08,12036613906.593325,12035784286.469494,12001435723.231483,11899846604.721388,11862375540.82727,12734405185.332981,13037401097.749659,11862375540.82727,12734405185.332981,13037401097.749659,13045265840.702152,12942983279.648632,12914598555.391968
CAKE-USD,2021-05-23,2021-05-26,2267004220.285705,2175297710.3105483,2112103940.874463,2031515018.599834,2294699450.4507637,2293503766.5366964,2327051591.6433725,2031515018.599834,2294699450.4507637,2293503766.5366964,2327051591.6433725,2302986599.6574593,2269598868.3348007
CAKE-USD,2023-11-01,2023-11-06,2144870981.7505963,2144969025.5751448,2144813275.1146894,2147477874.3906083,2187040882.9868402,2184772702.359958,2238175147.936652,2184772702.359958,2238175147.936652,2341202912.4904423,2341309092.0269012,2329704871.5597787,2328640335.392422
CAKE-USD,2024-03-10,2024-03-13,2556636706.9603796,2556809674.585947,2562600652.770571,2582642895.571081,2587156654.723679,2598322695.7827954,2675979053.493008,2582642895.571081,2587156654.723679,2598322695.7827954,2675979053.493008,2650701209.737592,2656504677.0797634
CAKE-USD,2024-11-21,2024-11-27,2559156017.117503,2556317847.1148477,2554859026.739435,2558998160.467242,2561381289.7392178,2589961877.3486753,2642947624.0244274,2642947624.0244274,2660665612.7228446,2653249715.726903,2721000492.5287976,2711977422.9266505,2710076420.0467706
CAKE-USD,2024-12-01,2024-12-08,2711977422.9266505,2710076420.0467706,2712769835.31452,2711992745.321154,2724767379.891708,2753404205.997631,2853272582.053669,2853724677.422939,2858143423.1981874,2862625090.5341196,2865127476.9377365,2804412695.7422566,2797162356.4028063
CAKE-USD,2025-02-07,2025-02-16,2700480111.756422,2699668425.9751663,2697361520.5277224,2698857628.0014534,2766000409.0993505,2773838444.3232093,2786486135.48541,3054699558.709534,3025503972.4917245,3046832383.215801,3074797591.8156776,3060170778.6005764,3052104439.8155975
CAKE-USD,2025-03-14,2025-03-22,2990630073.127458,2991895553.303361,2994664312.8495,2995364650.681274,3017737640.913137,3011980860.283404,3418533096.233415,3408572140.6603703,3401265136.7086067,3459213227.65027,3464299110.6337695,3457302781.16497,3457375874.0165052
CBETH-USD,2025-05-07,2025-05-13,10622743.855693096,10629293.151565507,10626747.096943343,10623430.195820095,12716069.541719921,13266779.912294857,13814254.185757361,13814254.185757361,13654190.97468883,13615032.24568355,14138475.635291586,14035435.289891114,13950325.287683569
CELO-USD,2021-01-02,2021-01-05,61464813.83779592,61417189.87768604,61392860.11070845,61295182.494796224,61317307.26848194,61438755.920608506,191782641.50680798,61295182.494796224,61317307.26848194,61438755.920608506,191782641.50680798,188381709.6521348,187571369.56508365
CELO-USD,2021-01-18,2021-01-25,186866331.8464749,187061835.60474658,187250434.35767478,188267141.00926602,187955129.19729218,189449771.2008499,248514947.891972,252028889.80075216,247111974.85257944,246548079.57438526,258760216.60912588,257744645.55888325,256285289.33288658
CELO-USD,2021-02-07,2021-02-10,256820962.25941914,259271664.71050972,258756416.13369906,277960180.7509608,277155059.34028697,278161431.946944,357415254.20409703,277960180.7509608,277155059.34028697,278161431.946944,357415254.20409703,353987079.846934,354628211.1348691
CELO-USD,2021-04-18,2021-04-24,376118098.866193,375533108.62581533,377065461.45786333,374152312.23082155,374766627.7297084,493585427.36311245,496853699.7157649,496853699.7157649,483447442.0847288,479990170.6009162,531402686.3500722,519913789.81921005,521753915.6612927
CELO-USD,2021-05-23,2021-05-26,592769495.8860434,580371658.4700451,578727721.7944508,575334022.7693359,582025688.7364049,593829286.4563571,596995461.1713301,575334022.7693359,582025688.7364049,593829286.4563571,596995461.1713301,595794058.8026726,594655095.4420714
CELO-USD,2021-06-21,2021-06-26,588635420.0497851,588286797.0786234,587858857.4671931,583707870.9103973,595793554.7073008,592213558.277568,600248351.1517025,592213558.277568,600248351.1517025,623638556.565356,797170359.550236,760382512.3955612,758342858.0931118
CELO-USD,2021-08-24,2021-08-30,766324532.8585669,768511519.5592384,767536733.5435544,766444444.2790606,766978412.7906604,782673779.1526108,830491852.3485544,830491852.3485544,854220830.6696658,849588146.7417586,1785703315.4149399,1628100675.746444,1648174152.6439476
CELO-USD,2022-04-01,2022-04-04,1915955485.7921028,1915803946.5596051,1911496874.0144331,1915132542.596178,1916751357.300207,1944729969.5553327,2163752269.847865,1915132542.596178,1916751357.300207,1944729969.5553327,2163752269.847865,2080163527.1281867,2038587492.072707
CELO-USD,2022-11-24,2022-12-03,1907364872.1589081,1919652340.282188,1919996823.6868567,1919629289.6801841,1919744942.0599065,1919868461.5481865,1996206208.5527506,1980526803.3839686,1979968445.0200918,1980258787.8599331,1980015868.042737,2016062460.0302207,2010989748.8625207
CELO-USD,2023-06-30,2023-07-03,2107483446.4888706,2106797118.362724,2106801974.2666616,2107403280.7166185,2108016288.7957594,2123605669.9836905,2154628456.9211583,2107403280.7166185,2108016288.7957594,2123605669.9836905,2154628456.9211583,2148967049.2872944,2147273699.0204957
CELO-USD,2024-03-08,2024-03-11,2258733675.528089,2277223848.15201,2277966245.576596,2276510147.45082,2278461319.0330997,2277121641.887372,2726752226.276265,2276510147.45082,2278461319.0330997,2277121641.887372,2726752226.276265,2676666759.665578,2672029594.47416
CELO-USD,2025-05-07,2025-05-13,2726206577.2627115,2726042413.9873276,2725355583.252856,2725418009.2867284,2728235392.5003223,2729395852.911503,2736522863.654617,2736522863.654617,2736024479.496,2737595409.350184,2738433546.446477,2737172083.196223,2735194200.0916867
CET-USD,2021-04-11,2021-04-15,3271124.7756441794,3229814.1974740955,3701150.0830835463,4360107.866309806,13416605.753929108,15878747.349219942,15015078.4692302,13416605.753929108,15878747.349219942,15015078.4692302,16308007.346460316,16100910.083646575,16086869.254687479
CET-USD,2021-05-04,2021-05-13,15738133.650106024,15688437.071946632,15665318.02800788,15595823.625133267,16938173.0932344,16941873.18240548,17180866.04156994,18107310.204823006,20191268.810755614,19176917.51852407,19818894.927108154,22259516.29172078,21924289.463906895
CETUS-USD,2023-12-18,2023-12-25,-7100336.210011015,-7065675.222540021,-7101515.653380562,-7336790.3111377675,-4855945.037726105,-5243132.636712673,2277866.652935043,1567543.1850907803,2930577.4838899197,3127196.9570033182,7922427.558395974,6913857.820252385,5143768.996359948
CETUS-USD,2024-01-10,2024-01-13,4736179.533332366,5623874.562861002,5213491.971660253,5626142.6415635,9789810.162677465,9466242.905939933,23001833.878082052,5626142.6415635,9789810.162677465,9466242.905939933,23001833.878082052,20608850.32790582,22302067.7658779
CETUS-USD,2024-03-18,2024-03-27,23394274.96256739,29220140.739727184,29226188.785551626,28158451.840136375,31708836.837981317,32589477.986171767,56866837.65060178,54805826.71844564,55424784.522197954,60441969.67739798,66090513.56768785,65842857.49652702,66379026.64687287
CETUS-USD,2024-08-07,2024-08-12,55206380.13887073,54911666.65455205,55129814.67588296,55051678.95346982,56472407.602925524,56891618.63051131,57523489.31932406,56891618.63051131,57523489.31932406,57287959.790030874,60295699.06196246,59879440.96670232,59686559.32769857
CETUS-USD,2024-09-18,2024-09-27,62032682.50063771,61678820.64289533,62627794.61955996,62546700.401488446,62823021.243947536,69793770.57409558,71907940.51123488,73856978.58885507,75482152.66989112,74671535.70891166,74761599.05542533,76274896.06445916,88197864.7997553
CETUS-USD,2024-10-10,2024-10-13,87785782.60340731,87482066.23740423,88122538.55851184,87059301.81500319,88520189.55738609,94119675.33826967,95088913.42680168,87059301.81500319,88520189.55738609,94119675.33826967,95088913.42680168,92676573.59563321,89699315.70515274
CETUS-USD,2024-10-26,2024-11-01,85767831.59609437,86119728.48471339,85275203.47650376,85445640.81200449,87192349.03190914,86676693.23991607,92908126.4285787,92908126.4285787,92968302.45459308,92297298.29494889,94521380.55951327,94046777.40252434,94016816.78036818
CETUS-USD,2025-01-01,2025-01-04,485515037.00134224,484994171.0035096,483513113.10694665,484158013.6725386,487314075.3439753,501771400.77002525,511779906.7114265,484158013.6725386,487314075.3439753,501771400.77002525,511779906.7114265,511247044.2563764,510017998.62577534
CETUS-USD,2025-04-20,2025-04-28,470930938.177842,471093464.8620817,471522328.6840631,471535434.9383159,471556781.7614728,476880604.5456485,487252769.78653336,537864314.751278,542209611.7661228,542202147.3489276,552320049.6561278,550755970.5167689,549973660.7269802
CFG-USD,2022-03-29,2022-04-01,5098977.867173292,5102860.398560505,5103154.89541467,5109088.290138386,5136743.150054359,5113135.595500173,5787271.894278886,5109088.290138386,5136743.150054359,5113135.595500173,5787271.894278886,5739973.769621793,5717457.29896322
CFG-USD,2023-03-11,2023-03-14,6870548.719537195,6777555.920237177,6823261.477950966,6778785.958134978,6788014.08448585,6834731.484538515,7339856.840995834,6778785.958134978,6788014.08448585,6834731.484538515,7339856.840995834,7291302.960022929,7278638.64824485
CFG-USD,2023-06-20,2023-06-27,7148524.290569636,7145710.42210996,7146103.921418143,7135841.633839698,7223392.2640018165,7284665.538265519,7409541.562612428,7534773.115280778,7490301.5387368705,7514418.015208255,7519419.036714248,7480944.083339106,7493299.078501685
CFG-USD,2023-11-21,2023-11-30,9046055.944501633,9161542.833838843,9048061.940557014,8887183.69483264,9063618.605075186,9299560.870486384,9628819.702531785,9512485.816935988,9778275.293503366,9783217.28873753,9714172.817823458,9898802.82785624,9958705.078300904
CFG-USD,2023-12-20,2023-12-24,9732585.816354629,9727863.211938644,9608540.46149831,9555397.365743143,9977878.834623853,10326950.970983453,10362033.103724282,9977878.834623853,10326950.970983453,10362033.103724282,10464303.719740052,10449943.923066452,10380344.7039327
CFG-USD,2024-03-18,2024-03-25,10456847.463280974,10417679.223028509,10509280.029425155,10387731.13504858,10298033.621525323,11705500.02259521,15502637.625985164,14233154.784246739,14214913.541114738,15271731.532012986,15567402.491904266,14585228.390695294,15674711.880802883
CFG-USD,2025-05-13,2025-05-22,5880075.4005479915,5917094.933033672,5872161.589721629,5862432.1750343675,5830019.08645826,5799971.677249159,15811409.360669058,14334158.641638266,15367014.078101296,15239417.763339598,15453467.074996017,15348502.680796951,15704714.660959763
CFX-USD,2021-05-29,2021-06-03,25153652.453380704,24873990.545436554,24293412.10158212,24039309.1678821,24150488.726485994,28066308.79365209,28134931.60270599,28066308.79365209,28134931.60270599,28928514.78000006,30378237.014966525,29517654.71759596,29435196.926136892
CFX-USD,2021-08-02,2021-08-11,33990885.84419585,34113090.79485456,33969901.42653018,33936650.667100795,33704188.583898924,34111151.9271283,46234201.96521482,54727887.49236952,56271106.085469015,57601388.73628258,58132290.276958495,56838468.46972674,57740201.22726254
CFX-USD,2022-02-02,2022-02-05,1615115363.7017624,1615288333.9502535,1615321540.0967062,1614896114.904764,1615064797.9736006,1615888585.8405974,1630620052.938119,1614896114.904764,1615064797.9736006,1615888585.8405974,1630620052.938119,1629307207.552106,1629430728.169821
CFX-USD,2022-02-22,2022-02-26,1626087850.1442025,1625774763.2501373,1625306087.2599185,1625827927.5815113,1632582294.3987002,1633367914.1896076,1645438034.8678522,1632582294.3987002,1633367914.1896076,1645438034.8678522,1649703237.8185446,1642788785.5538878,1648372622.1715233
CFX-USD,2022-03-25,2022-03-31,1645722280.4343655,1645716155.006951,1649286649.7702322,1649889535.8995826,1651129522.373185,1651289624.12401,1674683939.0747104,1674683939.0747104,1669437781.0510278,1669852562.0869923,1678111624.962453,1672773923.8984928,1670249364.2476618
CFX-USD,2023-01-30,2023-02-02,1920538101.5315018,1916267609.9939656,1916316901.7473032,1911474443.5837255,1911422661.8554175,1912650719.4484117,1948129632.1631262,1911474443.5837255,1911422661.8554175,1912650719.4484117,1948129632.1631262,1944441874.8006003,1943562370.1896214
CFX-USD,2023-02-12,2023-02-21,1941777369.319501,1942638436.6040792,1942700002.6671026,1942213524.5140784,1941627635.1049404,1942890778.4666576,2134922400.4901252,2497848220.6285834,2720530111.7205544,3069049525.626389,3077304389.6353617,3031254992.4051127,3059944725.2294803
CFX-USD,2023-03-10,2023-03-19,3034988089.477589,2997439134.5985894,2965628947.5063353,2953997504.4532323,2935741046.1426697,3000955968.353452,3346901542.5261145,3464314532.606623,3829471035.4144964,3770838048.0141506,4015314868.940379,3896409366.1430206,3913903991.4730573
CFX-USD,2023-06-18,2023-06-22,3859010040.267767,3862053340.975477,3862345058.446521,3860704179.3850613,3861394826.946179,3888262056.1473327,3920952875.746665,3861394826.946179,3888262056.1473327,3920952875.746665,3930071187.527305,3929664257.6704464,3923812714.7784514
CFX-USD,2023-10-21,2023-10-30,3893927979.406795,3893607785.5144525,3894459802.605245,3894700972.0363436,3894706071.301186,3896804913.52571,3997741277.823779,3992423913.06317,3995494255.786916,3995015505.167945,3996484404.8259926,4006330929.930895,4003869094.0469427
CFX-USD,2023-12-01,2023-12-04,3997123659.5658684,3996502666.851162,3996537835.4039807,3996894328.1413336,4000293216.0446806,3999822468.796859,4088274738.1448183,3996894328.1413336,4000293216.0446806,3999822468.796859,4088274738.1448183,4081638636.907523,4071755764.4450073
CFX-USD,2024-03-12,2024-03-21,4140616401.341366,4140325116.8708496,4142509382.7846346,4141766572.0549946,4151140085.9970007,4160372791.705147,4213898236.6528897,4198386147.859693,4184472907.748184,4206250373.7152076,4216235701.3329344,4221575179.396557,4219029070.503206
CFX-USD,2025-05-07,2025-05-10,4137527657.985966,4137442708.3741183,4137560118.0876584,4137638501.6249323,4145383989.861008,4147446136.601846,4158247425.6185517,4137638501.6249323,4145383989.861008,4147446136.601846,4158247425.6185517,4155151810.4927287,4155818916.210491
CGPT-USD,2023-11-15,2023-11-24,19025493.065245524,18795379.35570683,18699166.782519378,19118014.726510733,19344666.1024642,19406783.40500666,24740331.74221995,27907850.125621088,30816492.592917968,36979659.640223905,36739886.15141296,37221143.95940578,36974095.25840907
CGPT-USD,2023-12-30,2024-01-02,38373857.840958506,37657967.754870355,38131200.565468736,38049736.57059104,38545178.04066679,39423085.497209035,41697477.66720266,38049736.57059104,38545178.04066679,39423085.497209035,41697477.66720266,40962258.37642137,41735882.54691719
CGPT-USD,2024-03-08,2024-03-11,51231948.20926154,53103357.88914805,54106337.69691208,53456293.1266613,57222463.661141016,56730529.6392498,59974407.31039149,53456293.1266613,57222463.661141016,56730529.6392498,59974407.31039149,58922453.19105348,58407250.75607459
CGPT-USD,2024-09-21,2024-09-24,46103779.54430722,46182453.60320226,46062926.53604262,46088275.776676044,46088369.695257895,47490541.57575693,49176920.17608755,46088275.776676044,46088369.695257895,47490541.57575693,49176920.17608755,48546905.13381451,48483085.94215071
CGPT-USD,2024-12-17,2024-12-24,52437944.11250357,52328928.415280536,51642716.56995196,51245587.74250589,50769228.32836781,51886377.21535567,69483184.32371375,78423491.99253495,70978448.39398675,80230895.95313945,85727532.64506884,82848026.57983954,80317537.02487461
CGPT-USD,2025-01-07,2025-01-15,89146232.14277822,88923788.49506962,87898575.91001315,86834651.7028054,85910567.94782558,85895849.0759837,416512622.72091216,406099605.17078596,399278955.62764806,438282765.8882523,455727941.69965297,434859980.8085969,433730246.8161161
CHEX-USD,2024-03-18,2024-03-26,3648709.8624507645,3785997.3970535365,3855488.421827448,3719258.7219144623,3613922.799850412,3655977.3534821044,8153974.967875967,7733348.116622742,7843503.096185022,8266179.349392585,8577661.593331566,8432956.02510242,8443633.17483281
CHEX-USD,2024-04-08,2024-04-11,8461551.917139802,8467783.726079455,8487075.798702288,8691381.032540243,8636785.836872103,8801053.154245745,17305655.253736645,8691381.032540243,8636785.836872103,8801053.154245745,17305655.253736645,15579320.633596547,14885903.822443591
CHEX-USD,2024-05-13,2024-05-21,14963635.962607903,14942589.266657865,14926264.513009338,14852380.40102963,14641327.750374984,14763455.737124147,15361929.287072647,15342326.573335813,15336520.213739399,15491199.07099977,15504235.29586733,15425588.413402319,15407443.668772627
CHEX-USD,2024-10-27,2024-10-30,15935948.368167121,15875270.112252573,15906765.73100072,15890109.012701403,15895015.076198936,16453694.639377855,16599003.117906284,15890109.012701403,15895015.076198936,16453694.639377855,16599003.117906284,16509669.966192655,16503300.168242484
CHEX-USD,2024-11-24,2024-12-03,16571191.200439047,16515783.532283498,16492415.586041639,16467619.528154176,16503953.234647665,16557828.567878954,17219189.494377844,17451030.280063223,17707697.960837,18492280.40341913,20049281.51356873,19613074.094201405,19693122.555568904
CHEX-USD,2025-01-12,2025-01-17,19128846.089168485,19227342.10783689,19159663.499133427,19009492.795894206,18930044.746924132,20134210.911939695,20531933.24232636,20134210.911939695,20531933.24232636,20423941.49883114,21663159.522444483,21307680.91646201,21079226.118758127
CHEX-USD,2025-01-28,2025-02-04,21555016.283159718,21433091.654637758,21042068.87513482,20896782.313237146,20833868.94709325,22257370.53620918,22819572.9116419,22024952.635112103,20932593.394185487,24746374.144326523,25628107.47865901,24781958.396573454,24137205.45170214
CHEX-USD,2025-05-06,2025-05-10,20788446.65529462,20746749.407749623,20705595.254242793,20703030.498505224,20817492.521822102,21227524.860503856,21484862.456919253,20817492.521822102,21227524.860503856,21484862.456919253,21685659.006510984,21633430.41117675,21560140.80964287
CHZ-USD,2020-08-11,2020-08-17,16837832.943223413,17469003.99839806,17884631.217490017,17769418.86028516,20593524.183662042,27609902.684727684,30340402.167076424,30340402.167076424,29433342.090462588,30327180.973124668,30879152.06267258,26935046.51134738,24758601.31780876
CHZ-USD,2020-12-25,2020-12-29,82482444.92722477,88374678.07575595,90317759.09265739,91358199.2520441,101447697.63486151,118322527.85181236,144957960.72462675,101447697.63486151,118322527.85181236,144957960.72462675,150100058.7711094,125225649.45670721,118666022.43351477
CHZ-USD,2021-02-09,2021-02-18,132404324.77759938,130769683.70721677,133642011.96909401,139654173.80029675,150392696.8404884,153924496.3879653,177464481.0605173,175569209.04558712,175771785.64442632,180462827.2583544,184975696.02174827,434189423.2058015,426551274.10156286
CHZ-USD,2021-02-28,2021-03-09,468994791.623228,469493740.4353968,478615529.12537986,473978711.9593039,484793858.7800902,544374139.6038377,798677873.4125186,1550750843.8710806,1669228393.8416495,4083219913.437293,5038113287.01562,4926478477.938539,6120722379.030882
CHZ-USD,2021-04-13,2021-04-16,16608941199.000217,16615438338.878035,17023390287.676975,16898972958.844791,16878828771.681332,16954751090.02847,19418140281.644966,16898972958.844791,16878828771.681332,16954751090.02847,19418140281.644966,18973091660.002373,18762794178.82441
CHZ-USD,2021-04-24,2021-04-30,18724866863.29816,18622619822.354263,18518346552.909645,18461530246.248768,18465788069.47401,18596109953.38903,18714762672.688587,18714762672.688587,18751387436.31325,18828610942.36124,18837023923.11415,18824180919.500156,18807897936.07929
CHZ-USD,2021-05-23,2021-05-26,18576202241.519882,18536414327.1513,18511197336.73433,18449711811.564945,18534717749.849716,18528950483.711033,18689822357.171494,18449711811.564945,18534717749.849716,18528950483.711033,18689822357.171494,18642271375.10741,18622255297.892952
