symbol,breakout_date,peak_date,b_vtp_-3,b_vtp_-2,b_vtp_-1,b_vtp_+0,b_vtp_+1,b_vtp_+2,b_vtp_+3,p_vtp_-3,p_vtp_-2,p_vtp_-1,p_vtp_+0,p_vtp_+1,p_vtp_+2
ACT-USD,2021-04-02,2021-04-09,36823337.072510436,37393682.96307218,38958760.51773384,38453364.7020101,38344801.57859188,39352879.38352585,41097491.07255052,40522354.62065529,39782609.55838195,40414400.44881677,41099525.036093615,40694019.13508415,40650554.57105888
AGI-USD,2023-11-21,2023-11-24,424088310.17144924,441085184.9722993,433659191.8942018,410847062.2001696,422332436.60495394,422008761.9362717,427156276.61285466,410847062.2001696,422332436.60495394,422008761.9362717,427156276.61285466,426696057.0987922,426287836.1245332
AGI-USD,2023-12-06,2023-12-15,426758545.3428045,426634315.38362205,426326479.73432,426340943.5057181,426345936.7002891,426927228.4300449,430795949.98375607,429927599.3444415,429916713.19298834,433440029.7063536,432070364.01536196,437604006.9268784,437646776.7650237
AGI-USD,2024-02-13,2024-02-22,448564805.297532,448546890.0736644,448492510.86023855,448463894.7075787,448822926.92749405,451822197.06874895,460881068.28540945,504548980.93390715,506876782.69787353,513379652.56999797,524707059.2363839,528795952.0187993,540361223.1038144
AGI-USD,2024-06-18,2024-06-22,685782349.2441413,685577116.3545891,680181082.4213319,679186896.1978166,683413185.8886797,690402001.2647097,691413929.8389605,683413185.8886797,690402001.2647097,691413929.8389605,694074192.147534,688196411.9296802,694687463.8924496
AGI-USD,2024-09-21,2024-09-27,690840710.0930192,691311947.1928527,691446436.2619396,691536576.6407022,691352775.703102,696730225.1148413,707201609.5541978,707201609.5541978,706754658.5695366,705788949.902886,707524295.538739,706702142.8023826,706524645.3477306
AGI-USD,2025-03-16,2025-03-25,718164026.999891,718430493.3799306,718385678.7101556,718192806.9171847,718763477.7269238,718788197.8141401,727202265.2944243,727328902.4347633,726705255.5771748,727280041.9666418,727398588.2497544,729970072.1428592,730480294.6440738
AGIX-USD,2020-08-19,2020-08-23,2560473.5285260845,2509384.8102282397,2297212.6641758215,2393212.318125119,3136188.998385025,3128318.089559347,4661570.49834077,3136188.998385025,3128318.089559347,4661570.49834077,5012030.948204009,4991395.379853318,4663332.316699438
AGIX-USD,2021-01-31,2021-02-09,6234243.951312936,6171938.4217326185,6129359.303348346,6018958.347070432,6665160.125581774,6818600.685696051,7697068.95548237,7392825.715325195,7536455.4215457905,7941615.141330558,8831104.851400817,8458603.476355463,10966591.15043181
AGIX-USD,2021-02-23,2021-03-01,19713715.823825892,19900620.114591993,19294304.61432485,18844416.506981205,19389665.341708094,19391734.420164775,19826759.248394083,19826759.248394083,19904719.341777813,19801497.57535035,20086891.732592218,19953573.733348235,20017753.02846747
AGIX-USD,2021-03-24,2021-04-01,22352945.64727637,22100102.696839314,22221547.324265663,21972779.719777126,22800460.33358819,23250411.850660276,23801080.3390151,23732866.60309544,23730096.526497923,24007253.45305795,25695835.270934027,25386389.86442791,25129513.519986697
AGIX-USD,2021-08-26,2021-09-04,31730308.72599756,31273990.963671427,31748956.405987985,31029793.057732884,31625857.5868422,34384119.974448524,37830793.31104445,41210571.99788141,42875751.685497195,42668195.49672335,42794150.62160163,47624320.41765629,45495275.63894148
AGIX-USD,2021-09-20,2021-09-25,40060820.81251752,40707554.336916864,38325089.98040916,35687645.69161134,34727900.04455745,41443759.233051315,42048900.63598877,41443759.233051315,42048900.63598877,41934824.27090151,42056367.822605945,41141805.5317232,40269762.90555601
AGIX-USD,2022-03-21,2022-03-26,38405272.46932039,38635204.90259504,38632904.86396135,38670001.17897507,39427629.52048071,40474778.17986789,42587636.42840843,40474778.17986789,42587636.42840843,45740591.99147056,46819284.429784685,46222152.336918764,46324608.383183904
AGIX-USD,2022-09-13,2022-09-16,41466595.37578519,41588715.916429445,41822438.82650559,41590412.34786816,41616662.83648155,41970622.985204965,43354857.026274495,41590412.34786816,41616662.83648155,41970622.985204965,43354857.026274495,42936463.891236916,42603050.88985841
AGIX-USD,2023-01-09,2023-01-18,62807346.37242038,63437667.61627651,67058443.48432187,67826617.83662178,86390019.77188876,81928077.86139385,87757898.61581987,210957429.25889313,207833712.44034475,238435876.02545184,234126705.03898245,239666036.1060379,254587679.3975104
AGIX-USD,2023-01-31,2023-02-07,243355501.6361034,242569144.25094444,239874237.6010116,241028752.31312597,243596061.01789135,243534659.62778512,310973218.3840555,342323853.5406135,499036923.0226444,486891859.85287935,653577137.3541324,569940259.4023815,501796442.2362975
AGIX-USD,2023-02-26,2023-03-01,566630565.6479686,594451940.043408,580381076.9420474,582655977.8833314,594967736.4369497,648946104.4493524,679230729.1532108,582655977.8833314,594967736.4369497,648946104.4493524,679230729.1532108,674881392.7650707,645222606.4715664
AGIX-USD,2023-03-11,2023-03-17,617258118.2350503,602643157.0938607,606725085.6476914,598016995.2954,632261477.2670469,640131862.4324093,765163444.1672635,765163444.1672635,725824141.0248458,753156764.9901285,797872080.869313,768785883.2646786,773956039.583152
AGIX-USD,2024-02-14,2024-02-23,813223930.360487,814231870.6912955,813807999.6468922,814852020.9040898,815618213.1813245,861480322.7475135,918060264.5738496,973517147.4173058,1032561125.2882317,1034945270.0885544,1085235007.5063107,1078056151.365047,1083746916.5310044
AGIX-USD,2024-06-18,2024-06-26,1476002352.9764955,1476490168.157082,1464414865.0102272,1455399350.8179085,1488263685.400069,1498417957.6099052,1499385206.082293,1492527766.3731875,1508569348.4236052,1506933053.3963463,1518377059.4038959,1510118510.7578967,1506816212.4999754
AGIX-USD,2024-08-19,2024-08-23,1508542294.358215,1508542302.4628236,1508541733.5200932,1508587985.0069282,1508577306.2287686,1508664005.6043694,1508972020.1717365,1508577306.2287686,1508664005.6043694,1508972020.1717365,1509021413.9648025,1508932889.6325438,1508983725.5308323
AIOZ-USD,2021-10-31,2021-11-09,3851579.1152669955,3846505.0555256684,3836366.781899209,3886078.2822905476,3890475.06788415,3913352.2382006133,10738828.805306539,10384937.781720283,10337792.902402878,10359517.819741456,10455888.307386907,10801297.039022127,11422085.475538164
AIOZ-USD,2022-03-31,2022-04-03,26910095.407766625,26949301.379352003,27343544.94650258,27166554.052460823,27263023.11188321,27176074.141106423,32563346.51627246,27166554.052460823,27263023.11188321,27176074.141106423,32563346.51627246,30934142.14465566,30750626.18640709
AIOZ-USD,2023-11-21,2023-11-30,54856762.048053645,91942079.35932007,89576006.75996388,89041093.70944571,88974748.73095575,90432406.3910067,91731008.41405684,92479846.82370839,92983350.64836961,116819244.7291986,115919029.59956536,122387971.2823832,120778451.56476347
AIOZ-USD,2024-02-15,2024-02-24,109995527.9588161,109990994.33573522,110186269.98271213,110141282.54311998,112734792.46026143,112725854.00376594,113479002.2429925,115568421.59015884,115727287.2412102,115690053.2612276,118940227.18722329,118554774.56883097,118975503.09874785
AIOZ-USD,2024-03-04,2024-03-09,118916313.61535911,118534153.40203707,118403189.76174751,117412278.73322722,117586700.92330219,119921641.75273374,128470404.34858386,119921641.75273374,128470404.34858386,142138644.79107893,210815797.30803138,208055746.33724326,205651796.01756954
AIOZ-USD,2024-11-04,2024-11-12,231986662.94920808,231793628.5531382,231493050.1771583,231350194.58401802,231717030.37375733,235416991.91578388,237317830.61921456,237739359.4823938,237390531.6949641,243750887.56044558,258463292.22872987,257402518.18960485,255664880.61063105
AIOZ-USD,2024-11-28,2024-12-01,264713130.43492216,265346911.08680543,265562608.8470056,266062889.0439774,266305123.31155828,286922931.0983005,330120497.53171825,266062889.0439774,266305123.31155828,286922931.0983005,330120497.53171825,314810392.0535036,313031812.464929
AIOZ-USD,2025-01-01,2025-01-06,308525993.6540711,308041035.90986687,308014689.4047597,308006471.9491343,308932227.31922984,312835102.0249817,331605257.96533567,312835102.0249817,331605257.96533567,332829769.91634244,334220061.228399,330951405.9838964,325607689.9046151
AIOZ-USD,2025-04-23,2025-05-01,331432036.5860668,331796941.6646708,335631234.53033906,338812033.30118924,339803619.97418475,343282922.39110076,351954218.75842714,349906661.4218565,350755214.35687035,351051811.71382236,352129873.5212657,351698776.32412124,351328831.5543151
AIOZ-USD,2025-05-07,2025-05-10,350792912.1501799,352654406.46436983,351507403.7051546,351127345.1795813,360235775.2810319,360597586.52925557,367200948.9751403,351127345.1795813,360235775.2810319,360597586.52925557,367200948.9751403,364998275.2665311,366103095.16936123
AITECH-USD,2024-08-20,2024-08-25,47634069.131731,47559129.152433656,47548343.719444975,47634958.093309365,47681917.99510407,48174526.3006261,49581731.11543708,48174526.3006261,49581731.11543708,49533597.132720895,49754317.73879922,49415779.83048251,49208324.625563286
AITECH-USD,2024-09-21,2024-09-28,48649362.11086749,48469791.98615893,48671706.12034082,48689574.728670694,48640513.97469041,49535214.936582744,50923872.23139365,50508326.41448431,50949116.890734844,51876231.211706445,51905500.31990535,51613386.210894026,51350207.85654335
AITECH-USD,2024-11-21,2024-11-29,50713492.14357621,50670195.701510005,50574459.444637485,50568403.460655764,50435685.82952626,51208904.496472344,53809324.972633645,53520000.86262868,53631199.42554794,54530046.92344032,56269007.90309742,56061578.75951116,55777304.5000775
AITECH-USD,2025-04-22,2025-05-01,48290064.33030537,48315848.15799133,48757898.44409136,49059411.74144746,49543655.22479202,50885341.73520168,51953430.1349809,52853288.9123466,55611963.284786105,54655040.737354256,56983733.95280543,56635567.91650507,56494756.129164286
AITECH-USD,2025-05-06,2025-05-15,56494756.129164286,56136156.690098435,57308663.33045861,57362338.63358059,58477516.30672643,62227101.45123568,63920943.032435864,63867161.994770706,65436593.44470049,65103496.70809348,65568183.21255624,67497792.26742613,67335391.37810265
AKT-USD,2021-06-21,2021-06-29,11270658.912219089,11273596.090558844,11278716.801581208,11065573.325916888,11118522.99953699,11231473.933397207,12102888.46943101,12129771.75846161,12127237.767649228,12141194.28483847,12156754.300001675,12114216.08586388,12091338.480930794
AKT-USD,2021-09-07,2021-09-12,12857465.457235022,12896584.79420634,12897070.456700964,12556196.196304366,12534452.645442886,13719911.187391508,14002521.23701484,13719911.187391508,14002521.23701484,13882669.039160823,14938811.428806469,14854742.324979438,14756849.803379338
AKT-USD,2022-11-02,2022-11-05,10212786.001382658,10225327.451421587,10235028.369271154,10201125.877347197,10295293.4331351,10620478.707192548,10663443.923631197,10201125.877347197,10295293.4331351,10620478.707192548,10663443.923631197,10635072.693865307,10603753.140214063
AKT-USD,2022-11-21,2022-11-29,10213232.49632733,10203255.272601318,10187240.255177254,10201007.915035138,10474684.775380535,10487542.602892723,10568600.650493862,10572436.459480202,10580008.68366658,10604820.32222337,10625796.450489547,10617021.740225121,10601636.356800793
AKT-USD,2023-02-04,2023-02-12,11199391.775920486,11271435.188131543,11261375.563845174,11296939.833084872,11270521.536672423,11266901.427739564,12464049.401806984,12546463.87043951,12631846.59520353,12657171.80989181,12826675.757640667,12477647.21686102,12492490.832934998
AKT-USD,2023-05-24,2023-05-31,12286815.919340927,12443608.473766014,12403770.503383413,12342847.100029664,12792492.60546965,12886459.079650242,13073490.573651502,13890012.471720284,13740523.97878984,14063637.850956075,14115666.703485224,14029622.829936258,13907758.943169639
AKT-USD,2023-06-13,2023-06-17,13656587.432763143,13712306.43885276,13559535.262606978,13564406.703144683,13557170.280475343,13723776.52399377,14298634.736422965,13557170.280475343,13723776.52399377,14298634.736422965,14556848.45020244,14393014.032027751,14365280.487073923
AKT-USD,2023-08-06,2023-08-12,14436860.38378521,14448536.872258184,14435343.430882543,14441035.88355566,14498776.227528954,15410507.104865799,15494941.109549517,15494941.109549517,17455398.79386414,18668750.413903616,19788044.936462004,19369511.537113607,19335581.893111225
AKT-USD,2023-11-15,2023-11-24,19852174.356987577,19752455.51860253,19578038.61085044,20039514.935070615,20262709.27432652,20103294.210742425,23113296.06560481,23268001.31571998,23941786.278099794,23812184.282709226,23862284.532090347,24139919.78962035,24429537.386087816
AKT-USD,2023-12-11,2023-12-20,23993907.981155768,23731301.472049605,23830488.484217998,23432200.771233205,24699637.105080523,26143353.946982287,26987051.533552717,26715623.37192705,26828637.49134144,26888105.79437939,27315879.21559512,27670926.906658635,27451528.861763243
AKT-USD,2024-01-02,2024-01-10,27139397.815429557,27354329.25358128,27292599.570461277,27196070.076465566,27893699.680786528,28860664.43102608,29658939.143935397,29515235.36803772,29907547.151287705,29749617.90816622,30255958.971349537,29491038.80489391,29122819.823618334
AKT-USD,2024-03-04,2024-03-09,34486382.293523856,34323055.397778295,34173104.00022381,33801688.78892173,33400229.24275796,38282007.7995051,41999670.28232351,38282007.7995051,41999670.28232351,41226004.48484594,42188808.10324737,41967728.03485625,42189610.12151902
AKT-USD,2024-05-08,2024-05-17,106326312.35173847,103238109.10426956,102010199.26640081,100579943.4013288,144418500.05187035,164933596.75524026,160077755.10858834,154102802.09215486,159844894.02552256,165290906.0075753,165851145.58015144,165224023.39427644,164153886.1995801
AKT-USD,2024-11-09,2024-11-18,185132348.70594645,185176314.4344796,185101048.99160647,187072924.26565948,187366088.86692393,191295780.70835727,214714792.76969984,213201092.8547278,213748309.77547327,213268689.76371074,245876658.6510237,268780725.0501177,263970913.9704071
AKT-USD,2025-03-10,2025-03-13,285950880.5496146,285807255.474371,284190151.3002263,283423606.2455737,298117018.312587,310264979.809955,316089865.9624492,283423606.2455737,298117018.312587,310264979.809955,316089865.9624492,315298498.3299073,315157649.8919459
ALGO-USD,2020-08-05,2020-08-13,101595618.81809452,102591456.26945052,104560128.16733961,106354292.44222985,113031774.2164768,114091387.14109243,142427353.86689135,148766504.16152477,140256048.44690076,178231619.86246103,300773733.19559956,285358794.48475,284906116.45339453
ALGO-USD,2021-02-09,2021-02-12,551216279.683325,570318660.5738894,763726453.1457316,777031398.1761811,778911628.2059681,1040531264.7207707,1817530771.6029773,777031398.1761811,778911628.2059681,1040531264.7207707,1817530771.6029773,1777173305.014195,1663794325.0783343
ALGO-USD,2021-09-05,2021-09-12,1509545204.7207155,1534736684.989789,1531928138.9233072,1563314437.0725567,1628053062.0131936,1524753822.7473707,3273181173.965774,4244973428.433673,3899445279.986249,3880817113.9935718,4312404468.380894,4097673844.6617637,4033791641.3027067
