symbol,breakout_date,b_std_-3,b_std_-2,b_std_-1,b_std_+0,b_std_+1,b_std_+2,b_std_+3,p_std_-3,p_std_-2,p_std_-1,p_std_+0,p_std_+1,p_std_+2
1INCH-USD,2020-12-29,,,,,,,,,,,,,
1INCH-USD,2021-01-03,,,,,,,,,,,,,
1INCH-USD,2021-01-14,,,23.8408611616249,12.660065371563736,10.811227960854303,10.62899677407026,12.320644677701006,,,23.8408611616249,12.660065371563736,10.811227960854303,10.62899677407026
1INCH-USD,2021-01-21,14.329938314503623,15.4105732708135,17.022028494518917,20.042069073816037,17.62959524679935,16.53670575944629,15.033312720936683,14.329938314503623,15.4105732708135,17.022028494518917,20.042069073816037,17.62959524679935,16.53670575944629
1INCH-USD,2021-01-25,17.62959524679935,16.53670575944629,15.033312720936683,17.20696859035974,17.615410716522934,19.83207775554621,18.341294724664827,17.62959524679935,16.53670575944629,15.033312720936683,17.20696859035974,17.615410716522934,19.83207775554621
1INCH-USD,2021-01-29,17.615410716522934,19.83207775554621,18.341294724664827,19.3729885145238,18.74180396446024,21.029764460701195,23.282561581939053,17.615410716522934,19.83207775554621,18.341294724664827,19.3729885145238,18.74180396446024,21.029764460701195
1INCH-USD,2021-04-24,11.736762434587796,12.963377100178237,13.914589460249003,16.70310274310337,18.382845723805836,16.58418206590071,14.658202209790243,11.736762434587796,12.963377100178237,13.914589460249003,16.70310274310337,18.382845723805836,16.58418206590071
1INCH-USD,2021-05-23,28.30853334353774,37.603136182716725,48.67741918423992,62.87038184227861,53.232898878428855,55.99520247906962,47.04417896882346,28.30853334353774,37.603136182716725,48.67741918423992,62.87038184227861,53.232898878428855,55.99520247906962
1INCH-USD,2021-06-12,11.883060925158745,12.551828066991495,13.820755728084848,12.65167657265392,11.418333583016818,11.293568331643655,9.676776958730358,11.883060925158745,12.551828066991495,13.820755728084848,12.65167657265392,11.418333583016818,11.293568331643655
1INCH-USD,2021-10-24,8.778979265697874,9.79451700583881,10.375781240929149,11.14231177168706,11.024118341882359,11.440287115872131,11.577001214228728,8.778979265697874,9.79451700583881,10.375781240929149,11.14231177168706,11.024118341882359,11.440287115872131
ACH-USD,2020-11-08,26.166266267002438,22.908901954989688,24.782686430150715,23.743152643093538,22.157319219523135,21.5526857132271,17.127653489704397,26.166266267002438,22.908901954989688,24.782686430150715,23.743152643093538,22.157319219523135,21.5526857132271
ACH-USD,2020-12-04,37.63688050685213,42.07659409735319,43.083146351490264,44.13701210091787,42.36237378850688,40.830616058918146,28.891949886492096,37.63688050685213,42.07659409735319,43.083146351490264,44.13701210091787,42.36237378850688,40.830616058918146
ACH-USD,2021-01-15,10.917494150203884,10.254210535809461,10.258916012642043,9.896672619681647,9.566862071773626,8.293980909552271,8.33197098042588,10.917494150203884,10.254210535809461,10.258916012642043,9.896672619681647,9.566862071773626,8.293980909552271
ACH-USD,2021-01-25,10.585277606175296,10.086011892726692,9.84536543280422,8.903826902982837,8.920083413359022,9.451840738240234,11.352826746370466,10.585277606175296,10.086011892726692,9.84536543280422,8.903826902982837,8.920083413359022,9.451840738240234
ACH-USD,2021-02-09,18.577482056741726,18.699973573904913,18.95669492916106,17.233926665370554,17.380878699336314,15.90126597967372,14.371592628668349,18.577482056741726,18.699973573904913,18.95669492916106,17.233926665370554,17.380878699336314,15.90126597967372
ACH-USD,2021-03-10,20.09536614121532,19.02966179826595,18.62171516990995,15.698831709068267,14.309073416231701,13.151347964738589,10.8109423439528,20.09536614121532,19.02966179826595,18.62171516990995,15.698831709068267,14.309073416231701,13.151347964738589
ACH-USD,2021-03-26,15.286358724383776,15.952542691179033,16.080222973553372,14.760404616767772,13.193159085999591,12.633411704382079,10.34486166612407,15.286358724383776,15.952542691179033,16.080222973553372,14.760404616767772,13.193159085999591,12.633411704382079
ACH-USD,2021-05-07,20.123254124657223,16.940343848162538,15.735656908685126,11.240587295881703,8.046708964597034,8.087000165924655,8.82035641918537,20.123254124657223,16.940343848162538,15.735656908685126,11.240587295881703,8.046708964597034,8.087000165924655
ACH-USD,2021-06-22,13.3935172869592,11.06583754783183,18.810781890999404,21.06530273385239,19.61138000158963,19.315032956580676,15.120929156197606,13.3935172869592,11.06583754783183,18.810781890999404,21.06530273385239,19.61138000158963,19.315032956580676
ACH-USD,2021-07-25,21.305606634360405,22.022496106039192,21.88774577740423,21.425650112181987,18.13093978391688,14.484683849083344,12.184368509112087,21.305606634360405,22.022496106039192,21.88774577740423,21.425650112181987,18.13093978391688,14.484683849083344
ACH-USD,2021-07-30,14.484683849083344,12.184368509112087,14.778664145019023,18.791701939829284,19.410921783115896,27.764817145898142,21.0620330733719,14.484683849083344,12.184368509112087,14.778664145019023,18.791701939829284,19.410921783115896,27.764817145898142
ACH-USD,2021-08-03,19.410921783115896,27.764817145898142,21.0620330733719,21.636269415455768,26.873915284130977,23.051106931249954,23.545744192157823,19.410921783115896,27.764817145898142,21.0620330733719,21.636269415455768,26.873915284130977,23.051106931249954
ACH-USD,2021-08-19,61.02309334536464,64.78489645468164,52.83803835137049,50.22216186868231,40.86247731548597,31.755503986896116,25.128936570346077,61.02309334536464,64.78489645468164,52.83803835137049,50.22216186868231,40.86247731548597,31.755503986896116
ACH-USD,2021-10-31,5.991064929637414,5.293238966043598,5.945456680867509,5.862994472495753,6.9519953192570485,7.988905232909856,10.359199688379954,5.991064929637414,5.293238966043598,5.945456680867509,5.862994472495753,6.9519953192570485,7.988905232909856
