symbol,breakout_date,market_level,obv_d0,cmf_d0,rvol_d0,obv_d1,cmf_d1,rvol_d1,obv_d2,cmf_d2,rvol_d2,obv_d3,cmf_d3,rvol_d3
LRC-USD,2020-12-31,8.0,-104798056,-0.0679818543013989,0.9405002415738486,-85063419.0,-0.0606599753761559,2.056509114555528,-42348313.0,-0.0050587187598189,1.8906879213276333,-79076783.0,-0.0477387924113711,2.1030276594814814
LRC-USD,2020-12-31,7.0,-104798056,-0.0679818543013989,0.9405002415738486,-85063419.0,-0.0606599753761559,2.056509114555528,-42348313.0,-0.0050587187598189,1.8906879213276333,-79076783.0,-0.0477387924113711,2.1030276594814814
LRC-USD,2021-01-04,,459262145,0.4428177538439073,10.162919139680428,-26154610.0,0.1011203187947972,3.028981686299055,-99165094.0,-0.0705351173701955,0.8844440380178893,-80313372.0,-0.0772360781192942,1.152444900814645
LRC-USD,2021-02-02,9.0,1255741449,0.0641510965377579,0.9374713551492436,1145528877.0,0.086968655950599,1.1897935474436925,1005808304.0,0.0401145727980846,1.567979510867768,1185933787.0,0.0929813994165521,1.4982478817701217
LRC-USD,2021-02-02,8.0,1255741449,0.0641510965377579,0.9374713551492436,1145528877.0,0.086968655950599,1.1897935474436925,1005808304.0,0.0401145727980846,1.567979510867768,1185933787.0,0.0929813994165521,1.4982478817701217
LRC-USD,2021-02-02,9.0,1255741449,0.0641510965377579,0.9374713551492436,1145528877.0,0.086968655950599,1.1897935474436925,1005808304.0,0.0401145727980846,1.567979510867768,1185933787.0,0.0929813994165521,1.4982478817701217
LRC-USD,2021-02-02,8.0,1255741449,0.0641510965377579,0.9374713551492436,1145528877.0,0.086968655950599,1.1897935474436925,1005808304.0,0.0401145727980846,1.567979510867768,1185933787.0,0.0929813994165521,1.4982478817701217
LRC-USD,2021-05-23,4.0,1407117392,-0.3878227468881061,0.3943225051138355,1472725922.0,-0.3933494749496538,0.2646014228676649,1516815719.0,-0.3816012066501104,0.417362125868071,1586970414.0,-0.3650109866606995,0.5185397519743711
LRC-USD,2021-05-23,3.0,1407117392,-0.3878227468881061,0.3943225051138355,1472725922.0,-0.3933494749496538,0.2646014228676649,1516815719.0,-0.3816012066501104,0.417362125868071,1586970414.0,-0.3650109866606995,0.5185397519743711
LRC-USD,2021-05-23,2.0,1407117392,-0.3878227468881061,0.3943225051138355,1472725922.0,-0.3933494749496538,0.2646014228676649,1516815719.0,-0.3816012066501104,0.417362125868071,1586970414.0,-0.3650109866606995,0.5185397519743711
