symbol,breakout_date,b_rsi_-3,b_rsi_-2,b_rsi_-1,b_rsi_+0,b_rsi_+1,b_rsi_+2,b_rsi_+3,p_rsi_-3,p_rsi_-2,p_rsi_-1,p_rsi_+0,p_rsi_+1,p_rsi_+2
1INCH-USD,2020-12-29,,,,,,,,,,,,,
1INCH-USD,2021-01-03,,,,,,,,,,,,,
1INCH-USD,2021-01-14,50.39721368672693,56.098030342271215,54.85613829333848,48.99987779982173,56.65006695005018,68.94520425350088,74.00260909734328,50.39721368672693,56.098030342271215,54.85613829333848,48.99987779982173,56.65006695005018,68.94520425350088
1INCH-USD,2021-01-21,70.78569869095983,67.8935767129455,60.35853818049094,57.5317116265211,65.71259389271096,67.69576511777794,75.93247466850562,70.78569869095983,67.8935767129455,60.35853818049094,57.5317116265211,65.71259389271096,67.69576511777794
1INCH-USD,2021-01-25,65.71259389271096,67.69576511777794,75.93247466850562,75.08143158166273,77.96157876341462,72.46398284900229,76.95726540682858,65.71259389271096,67.69576511777794,75.93247466850562,75.08143158166273,77.96157876341462,72.46398284900229
1INCH-USD,2021-01-29,77.96157876341462,72.46398284900229,76.95726540682858,78.41043668046862,82.93657245436546,82.81483259883447,85.95500545335972,77.96157876341462,72.46398284900229,76.95726540682858,78.41043668046862,82.93657245436546,82.81483259883447
1INCH-USD,2021-04-24,44.653144727019615,32.26221265708834,30.776127373336607,31.032954852606977,31.90998994216389,40.71202256522461,45.677987327194884,44.653144727019615,32.26221265708834,30.776127373336607,31.032954852606977,31.90998994216389,40.71202256522461
1INCH-USD,2021-05-23,30.902006817276515,29.053804386977546,19.48518116275018,19.569497224235917,28.17227498161604,24.70623108464902,34.30983863876074,30.902006817276515,29.053804386977546,19.48518116275018,19.569497224235917,28.17227498161604,24.70623108464902
1INCH-USD,2021-06-12,46.7479826653585,46.65248688731152,49.681859020056265,52.600513225609795,51.99422528004047,46.15535572050284,57.946653643472516,46.7479826653585,46.65248688731152,49.681859020056265,52.600513225609795,51.99422528004047,46.15535572050284
1INCH-USD,2021-10-24,74.24001498757362,69.94782436195985,69.54214917665965,70.29052384189606,75.02674225250728,72.39194262844487,83.79029272631469,74.24001498757362,69.94782436195985,69.54214917665965,70.29052384189606,75.02674225250728,72.39194262844487
ACH-USD,2020-11-08,26.523476228553335,36.52440239888682,34.55275056514574,32.427452892942995,36.44383798272245,24.496100884193766,41.18441551796231,26.523476228553335,36.52440239888682,34.55275056514574,32.427452892942995,36.44383798272245,24.496100884193766
ACH-USD,2020-12-04,13.730083741932432,14.306640243823182,15.643351365587293,15.59340011639442,14.14651643838208,11.102819557774879,34.549047285118604,13.730083741932432,14.306640243823182,15.643351365587293,15.59340011639442,14.14651643838208,11.102819557774879
ACH-USD,2021-01-15,50.773898469330376,52.48974921474308,44.09017869616006,47.55669175625008,47.53993658230382,55.89608823532064,65.36122384506983,50.773898469330376,52.48974921474308,44.09017869616006,47.55669175625008,47.53993658230382,55.89608823532064
ACH-USD,2021-01-25,45.80366326889153,44.18543612080097,47.60158156654056,61.66018722634878,65.27777823607708,67.66957124260787,77.86852452532176,45.80366326889153,44.18543612080097,47.60158156654056,61.66018722634878,65.27777823607708,67.66957124260787
ACH-USD,2021-02-09,74.83905249256713,75.94436723401677,72.61015635297275,75.93503689273267,70.90142763035476,66.24315707382796,77.48370018676898,74.83905249256713,75.94436723401677,72.61015635297275,75.93503689273267,70.90142763035476,66.24315707382796
ACH-USD,2021-03-10,37.34239682480087,41.278845174300734,36.226256791728744,38.72848709162658,39.59266102142311,45.072132952988646,65.71493285555081,37.34239682480087,41.278845174300734,36.226256791728744,38.72848709162658,39.59266102142311,45.072132952988646
ACH-USD,2021-03-26,57.823068918705864,54.51519212207193,51.79312185206659,51.290057973116994,39.664123800228886,46.91595515250648,60.57815794046072,57.823068918705864,54.51519212207193,51.79312185206659,51.290057973116994,39.664123800228886,46.91595515250648
ACH-USD,2021-05-07,27.602384144578053,37.17006979472274,42.61635909188843,52.90287397755004,56.70258893168601,55.38319832454861,73.06577452132217,27.602384144578053,37.17006979472274,42.61635909188843,52.90287397755004,56.70258893168601,55.38319832454861
ACH-USD,2021-06-22,41.51436168892456,38.461535238857635,28.273809455064622,30.448718055020976,29.23913309392188,31.940404830897492,44.15267348584373,41.51436168892456,38.461535238857635,28.273809455064622,30.448718055020976,29.23913309392188,31.940404830897492
ACH-USD,2021-07-25,22.232831910761277,18.774722426663203,19.72657873145195,18.774713082926482,28.610108587726785,40.81104601407593,69.60925787569568,22.232831910761277,18.774722426663203,19.72657873145195,18.774713082926482,28.610108587726785,40.81104601407593
ACH-USD,2021-07-30,40.81104601407593,69.60925787569568,83.76877486728144,86.36363226576223,91.3829755482029,71.30014746780077,85.5389769215858,40.81104601407593,69.60925787569568,83.76877486728144,86.36363226576223,91.3829755482029,71.30014746780077
ACH-USD,2021-08-03,91.3829755482029,71.30014746780077,85.5389769215858,94.4264939746681,95.07775674256618,98.11370126680805,99.13854710795354,91.3829755482029,71.30014746780077,85.5389769215858,94.4264939746681,95.07775674256618,98.11370126680805
ACH-USD,2021-08-19,63.55832000091169,59.401133449906254,60.67695245074522,51.46763976827835,21.98766450117222,51.54851035452641,54.815264781135156,63.55832000091169,59.401133449906254,60.67695245074522,51.46763976827835,21.98766450117222,51.54851035452641
ACH-USD,2021-10-31,47.7776829259436,46.94721180082222,40.88954146828497,57.2515879090937,61.79045915310364,62.87202323206676,74.78843201549553,47.7776829259436,46.94721180082222,40.88954146828497,57.2515879090937,61.79045915310364,62.87202323206676
