symbol,breakout_date,peak_date,b_bbw_-3,b_bbw_-2,b_bbw_-1,b_bbw_+0,b_bbw_+1,b_bbw_+2,b_bbw_+3,p_bbw_-3,p_bbw_-2,p_bbw_-1,p_bbw_+0,p_bbw_+1,p_bbw_+2
1INCH-USD,2021-10-24,2021-10-27,0.3422676218403968,0.38186057185057964,0.40452242368825275,0.43440728545751134,0.42979925724465495,0.4460245030558934,0.4513545998587644,0.43440728545751134,0.42979925724465495,0.4460245030558934,0.4513545998587644,0.5530170756050182,0.6001906134712542
ACH-USD,2021-08-19,2021-08-23,2.3791181644853987,2.525780249574101,2.0600059735757483,1.9580203331430124,1.5931126512538523,1.2380574667041504,0.9797063074196495,1.5931126512538523,1.2380574667041504,0.9797063074196495,0.7705950926176789,0.7789098008321139,0.7217619394929701
ACH-USD,2021-10-31,2021-11-08,0.233574711102293,0.2063684464798248,0.23179657421754443,0.2285816054726712,0.27103867465149195,0.31146486538136214,0.40387595575779406,0.614258724229044,0.6076991612181591,0.6617512108281765,0.607633134175864,0.6752377095919365,0.7164843846706215
ACH-USD,2022-01-07,2022-01-10,0.12188473391280578,0.13435317947075087,0.14219250892493945,0.15498499455990508,0.15526842203331342,0.1292546664815276,0.22545490773968646,0.15498499455990508,0.15526842203331342,0.1292546664815276,0.22545490773968646,0.28104237336750915,0.3039529041338031
ACH-USD,2022-02-06,2022-02-09,0.8156992605132807,0.6429891810388169,0.544812579634815,0.4726465068765762,0.37058975233201685,0.2982247597440234,0.3351205620412003,0.4726465068765762,0.37058975233201685,0.2982247597440234,0.3351205620412003,0.42121947624835515,0.453156321491466
ACH-USD,2022-07-16,2022-07-19,0.13088774612954585,0.12960089579903308,0.12542549589770588,0.1254677914561363,0.12639896834449812,0.12713605264453617,0.30686463940732805,0.1254677914561363,0.12639896834449812,0.12713605264453617,0.30686463940732805,0.40488051869138375,0.4656845056268713
ACH-USD,2023-01-27,2023-02-05,0.5960284923989385,0.5483075968720115,0.5534207003780508,0.525466782158249,0.4983415903811445,0.45280948882877603,0.40617283738324633,0.43334604539580046,0.42759425990756156,0.44483871411030657,0.5044101177694486,0.594743785350243,0.619791443711593
ACH-USD,2023-02-14,2023-02-22,0.701832672346087,0.6882358606014601,0.6529496536588792,0.614064772781917,0.5191124975911757,0.4577048918485565,0.4334251568167586,0.5019714751847634,0.6086710122663984,0.7662644211350663,0.8282840239260609,0.9307968915586454,1.138326050715144
ACH-USD,2023-03-10,2023-03-19,0.9189953835388442,1.0117713094133514,0.9507411284908002,0.9104324048440626,0.9746747796560272,0.8390220571690427,0.6881418701078157,0.5028706074609629,0.4397050508530802,0.4626525760214782,0.4411802267573855,0.5008656019014144,0.4927602315093211
ACH-USD,2024-03-11,2024-03-14,0.3760742098876094,0.37026485198814085,0.37286920325567346,0.38481257011163106,0.3972130300268093,0.44269032177670087,0.4720614991603827,0.38481257011163106,0.3972130300268093,0.44269032177670087,0.4720614991603827,0.5592361851260436,0.662693524696628
ACH-USD,2025-01-24,2025-02-01,0.4298980082566173,0.43705373676126436,0.4018232181318895,0.3796155037264456,0.341355840672841,0.24183218595927783,0.3927775703758777,0.5487651941918892,0.6106805347854387,0.7167138365663531,0.7720018160028298,1.0151698433443572,0.9801955175402718
ACH-USD,2025-02-15,2025-02-20,1.2544154395357798,1.2653893784747274,1.2017782778024226,1.235363292624715,1.1632832472175831,1.0522765048073577,0.858997058061646,1.0522765048073577,0.858997058061646,0.8443663644167515,0.7072567842267268,0.5949008672005534,0.5729605912488127
ACT-USD,2021-04-02,2021-04-09,0.40122082642596524,0.365092166478119,0.39442182916810997,0.46755179052799195,0.49057267868462556,0.4611774816536578,0.4905065697206496,0.5598368006023849,0.6320702957720478,0.593850328547329,0.59791727459821,0.6706053692457126,0.6861432079735333
AGI-USD,2023-11-21,2023-11-24,0.7602937595363984,0.78354395864225,0.8650367094595696,1.0933675850027889,0.9361744362821367,0.9294413443079949,0.7767174247336748,1.0933675850027889,0.9361744362821367,0.9294413443079949,0.7767174247336748,0.8088971243345459,0.8546286764319762
AGI-USD,2023-12-06,2023-12-15,0.4827645171944264,0.34655392641512134,0.37020795625228453,0.33376503083366277,0.3169722959752773,0.2796126087125322,0.30509899163659704,0.3760715576273719,0.3857544829116215,0.4099832717341551,0.4900215943185833,0.5158357235465063,0.5812645763380969
AGI-USD,2024-02-13,2024-02-22,0.26138417806290476,0.28310919666951895,0.30474468280380956,0.3202749208189889,0.3275644538050864,0.37696599341949877,0.4721748765089318,0.716242628006552,0.853976255782518,0.9099169868907856,0.9497846082778628,1.0181645050628736,0.9977934005856289
AGI-USD,2024-06-18,2024-06-22,0.6131697763657872,0.6516203126612983,0.964803449746899,1.1152953114557778,1.0035030626657182,0.852048693088888,0.8022037423990823,1.0035030626657182,0.852048693088888,0.8022037423990823,0.7033126603466433,0.801224242785668,0.6335183789837905
AGI-USD,2024-09-21,2024-09-27,0.17109814289489533,0.1704941494118546,0.18624346416959306,0.2051759374424244,0.2226010792547434,0.27158662798509553,0.396321577596185,0.396321577596185,0.5010995966848694,0.5737838261780972,0.6009034394638555,0.6686300096570552,0.6975748644206509
AGI-USD,2025-03-16,2025-03-25,0.9387132768892444,0.8093589898260656,0.7145585814305964,0.7467969345150497,0.6637346929487553,0.6110479226719636,0.4565700730810487,0.39673293281313665,0.43670881342265694,0.4402335570341181,0.4570083561702327,0.4665196631600895,0.5071669195632889
