symbol,breakout_date,market_level,macd_d0,macd_d1,macd_d2,macd_d3,macd_signal_d0,macd_signal_d1,macd_signal_d2,macd_signal_d3
A-USD,2020-08-20,3.0,-0.0009094870876486,-0.0009466747860177,-0.000970595448103,-0.0010562455286697,-0.0010791181350373,-0.0011215258968845,-0.0011652386746011,-0.0012138994812257
A-USD,2020-08-26,,-3.0279483890120924e-05,0.000172126788467,0.0001969416487773,-0.0002909774200575,-0.000396179171345,-0.0004876540932088,-0.0006525993136277,-0.000864984554229
A-USD,2020-08-30,,-0.0002993546609905,-0.0001811270501985,-2.2194694379605584e-05,-0.0001402527270761,-0.000268329048946,-0.0002605726459348,-0.0002804340448689,-0.0003449938824912
A-USD,2020-09-03,,-0.0004655780556323,-0.0003748522663254,-0.0002663280461862,-0.0003329705460684,-0.000331185726016,-0.000297587643612,-0.0002782714879336,-0.0002812573483704
A-USD,2020-09-07,6.0,-0.0005182537142923,-0.0004251720269276,-0.0003062907155863,-0.0002931543393141,-0.0003765561564838,-0.0003411317670317,-0.0003201217020578,-0.0003235794486756
A-USD,2020-09-07,4.0,-0.0005182537142923,-0.0004251720269276,-0.0003062907155863,-0.0002931543393141,-0.0003765561564838,-0.0003411317670317,-0.0003201217020578,-0.0003235794486756
A-USD,2020-09-07,3.0,-0.0005182537142923,-0.0004251720269276,-0.0003062907155863,-0.0002931543393141,-0.0003765561564838,-0.0003411317670317,-0.0003201217020578,-0.0003235794486756
A-USD,2020-09-07,4.0,-0.0005182537142923,-0.0004251720269276,-0.0003062907155863,-0.0002931543393141,-0.0003765561564838,-0.0003411317670317,-0.0003201217020578,-0.0003235794486756
A-USD,2020-09-11,,-0.0005648476264778,-0.00055020591978,-0.0005579293293135,-0.0005430755012143,-0.0004822657596326,-0.0004616202929213,-0.0004394738862066,-0.0004098600254299
A-USD,2020-09-16,3.0,-0.0004853524786568,-0.0004395936149907,-0.0004413836528312,-0.0004933500848328,-0.0004778282245621,-0.0004759471610384,-0.0004850355475503,-0.0004959485212301
A-USD,2020-09-16,1.0,-0.0004853524786568,-0.0004395936149907,-0.0004413836528312,-0.0004933500848328,-0.0004778282245621,-0.0004759471610384,-0.0004850355475503,-0.0004959485212301
A-USD,2020-09-16,1.0,-0.0004853524786568,-0.0004395936149907,-0.0004413836528312,-0.0004933500848328,-0.0004778282245621,-0.0004759471610384,-0.0004850355475503,-0.0004959485212301
A-USD,2020-09-16,2.0,-0.0004853524786568,-0.0004395936149907,-0.0004413836528312,-0.0004933500848328,-0.0004778282245621,-0.0004759471610384,-0.0004850355475503,-0.0004959485212301
