symbol,breakout_date,start_price,max_window_price,max_gain,market_level
1INCH-USD,2020-12-29,0.887798011302948,1.36798894405365,0.5408785857111408,6
1INCH-USD,2021-01-03,1.094288945198059,1.5134470462799072,0.3830415201772721,8
1INCH-USD,2021-01-14,1.3348170518875122,2.0292270183563232,0.5202285702650211,8
1INCH-USD,2021-01-21,1.5666409730911257,2.476353883743286,0.5806773385080143,5
1INCH-USD,2021-01-25,2.365931987762451,3.123692035675049,0.32027972563540985,7
1INCH-USD,2021-01-29,3.361844062805176,5.016388893127441,0.4921539486699711,7
1INCH-USD,2021-04-24,3.943989992141724,5.133953094482422,0.3017155481407564,3
1INCH-USD,2021-05-23,2.354283094406128,3.411302089691162,0.44897701461500283,1
1INCH-USD,2021-06-12,2.7306599617004395,3.6406290531158447,0.3332414523149738,1
1INCH-USD,2021-10-24,3.810249090194702,5.674349784851074,0.489233289092162,7
A-USD,2020-01-08,0.011022999882698,0.0207449998706579,0.8819740625435201,6
A-USD,2020-02-08,0.0130329998210072,0.1158059984445571,7.885598099824691,9
A-USD,2020-02-13,0.0236639995127916,0.0397929996252059,0.6815838592160111,9
A-USD,2020-03-13,0.0068140001967549,0.0190089996904134,1.7896975552578123,3
A-USD,2020-03-19,0.001897000009194,0.0030990000814199,0.6336320856090072,2
A-USD,2020-03-23,0.0025229998864233,0.0077399997971951,2.0677765143174924,3
A-USD,2020-03-31,0.0016329999780282,0.0024590000975877,0.5058175937986668,7
A-USD,2020-04-04,0.0017620000289753,0.0062770000658929,2.562429036702866,7
A-USD,2020-04-16,0.0024149999953806,0.0032049999572336,0.3271221380389681,7
A-USD,2020-04-22,0.0022279999684542,0.0046290000900626,1.0776481847413257,8
A-USD,2020-04-26,0.0019189999438822,0.0042530000209808,1.2162585436958593,8
A-USD,2020-05-25,0.0013670000480487,0.0027250000275671,0.9934161900409976,4
A-USD,2020-06-03,0.0030720001086592,0.0053269998170435,0.7340493582757435,8
A-USD,2020-06-11,0.0033519999124109,0.0052229999564588,0.5581742520697734,5
A-USD,2020-06-15,0.0040790000930428,0.0366429984569549,7.983328664162992,2
A-USD,2020-06-23,0.0032150000333786,0.0153109999373555,3.7623638502004546,5
A-USD,2020-06-30,0.003131000092253,0.0192220006138086,5.13925265009394,3
A-USD,2020-07-08,0.0041899997740983,0.0096479998901486,1.3026253962567043,9
A-USD,2020-07-12,0.0032530000898987,0.0072159999981522,1.2182600057588409,9
A-USD,2020-07-16,0.0038139999378472,0.0114759998396039,2.0089145324112123,7
A-USD,2020-07-24,0.0059730000793933,0.0117419995367527,0.9658462047007673,7
A-USD,2020-08-02,0.0038250000216066,0.0050920001231133,0.33124185473194506,9
A-USD,2020-08-20,0.0032659999560564,0.0099470000714063,2.0456216182614444,7
A-USD,2020-08-26,0.0029279999434947,0.0060729999095201,1.0741120309830676,2
A-USD,2020-08-30,0.0029710000380873,0.0047860001213848,0.6109054392560624,5
A-USD,2020-09-03,0.0026080000679939,0.0055940002202987,1.1449386788558107,3
A-USD,2020-09-07,0.0022289999760687,0.0029009999707341,0.30148048536573346,2
A-USD,2020-09-11,0.0025629999581724,0.0033360000234097,0.30159971824131565,4
A-USD,2020-09-16,0.002117000054568,0.0036830001045018,0.7397260319170668,4
A-USD,2020-09-20,0.0035729999653995,0.0065130000002682,0.8228379690286329,5
A-USD,2020-09-25,0.0061460002325475,0.0093839997425675,0.5268466299224102,4
A-USD,2020-10-04,0.004838999826461,0.0078940000385046,0.6313288534002434,7
A-USD,2020-10-25,0.0048010000027716,0.0075150001794099,0.5652989325289558,7
A-USD,2020-11-07,0.0042300000786781,0.0056579997763037,0.3375885747198043,6
A-USD,2020-11-13,0.0043939999304711,0.0095800003036856,1.1802458933262852,8
A-USD,2020-11-21,0.0065939999185502,0.0125070000067353,0.896724319263439,8
A-USD,2020-11-27,0.0031099999323487,0.0094299996271729,2.0321542869138516,6
A-USD,2020-12-14,0.0029889999423176,0.0112669998779892,2.769488155042598,4
A-USD,2020-12-24,0.0030630000401288,0.0061619998887181,1.0117531204664905,5
A-USD,2020-12-29,0.0033660000190138,0.0176250003278255,4.236185451059334,6
A-USD,2021-01-05,0.0100859999656677,0.0139250000938773,0.38062662515143636,9
A-USD,2021-01-21,0.009519999846816,0.0146070001646876,0.5343487814837483,5
A-USD,2021-02-04,0.0167130008339881,0.0268460009247064,0.6062944764599966,9
A-USD,2021-02-18,0.0031590000726282,0.0245130006223917,6.759734111686034,9
A-USD,2021-02-22,0.0229170005768537,0.0326940007507801,0.4266265186466515,7
A-USD,2021-03-07,0.0107180001214146,0.0365639999508857,2.4114573182202816,7
A-USD,2021-03-12,0.0020389999262988,0.0384019985795021,17.833742014502935,7
A-USD,2021-04-01,0.0023330000694841,0.0219919998198747,8.426489140541614,9
A-USD,2021-04-16,0.0082050003111362,0.0234009996056556,1.852041281935687,9
A-USD,2021-04-20,0.0034040000755339,0.0204380005598068,5.00411283968647,6
A-USD,2021-05-03,0.0047550001181662,0.0452889986336231,8.524500001713802,9
A-USD,2021-05-08,0.0047129997983574,0.0078630000352859,0.6683641781666009,9
A-USD,2021-05-14,0.0048759998753666,0.0065339999273419,0.340032833132639,6
A-USD,2021-05-18,0.0040199998766183,0.0185509994626045,3.614676624868444,3
A-USD,2021-05-22,0.0127560002729296,0.0200900007039308,0.5749451453497687,1
A-USD,2021-05-28,0.0129399998113513,0.017637999728322,0.363060277083582,3
A-USD,2021-06-03,0.0156679991632699,0.024431999772787,0.5593567192716177,8
