symbol,breakout_date,b_stochrsi_-3,b_stochrsi_-2,b_stochrsi_-1,b_stochrsi_+0,b_stochrsi_+1,b_stochrsi_+2,b_stochrsi_+3,p_stochrsi_-3,p_stochrsi_-2,p_stochrsi_-1,p_stochrsi_+0,p_stochrsi_+1,p_stochrsi_+2
1INCH-USD,2020-12-29,,,,,,,,,,,,,
1INCH-USD,2021-01-03,,,,,,,,,,,,,
1INCH-USD,2021-01-14,,,,,,,,,,,,,
1INCH-USD,2021-01-21,,,0.6692853556938315,0.6007667336485102,0.7300492775149476,0.7477537991943095,1.0,,,0.6692853556938315,0.6007667336485102,0.7300492775149476,0.7477537991943095
1INCH-USD,2021-01-25,0.7300492775149476,0.7477537991943095,1.0,0.9684010015449921,1.0,0.8101770361719004,0.9528746076120121,0.7300492775149476,0.7477537991943095,1.0,0.9684010015449921,1.0,0.8101770361719004
1INCH-USD,2021-01-29,1.0,0.8101770361719004,0.9528746076120121,1.0,1.0,0.9952080093508106,1.0,1.0,0.8101770361719004,0.9528746076120121,1.0,1.0,0.9952080093508106
1INCH-USD,2021-04-24,0.0,0.0,0.0,0.005780207220863246,0.025518922766447617,0.22361911309899762,0.33538404361671337,0.0,0.0,0.0,0.005780207220863246,0.025518922766447617,0.22361911309899762
1INCH-USD,2021-05-23,0.0,0.0,0.0,0.0019267596030018922,0.20607753749617347,0.16661852477578162,0.473096905011168,0.0,0.0,0.0,0.0019267596030018922,0.20607753749617347,0.16661852477578162
1INCH-USD,2021-06-12,0.42566456697050714,0.42337944898700197,0.4802633389903575,0.5176273229104513,0.5015132248638506,0.34632604482623897,0.47943253152822307,0.42566456697050714,0.42337944898700197,0.4802633389903575,0.5176273229104513,0.5015132248638506,0.34632604482623897
1INCH-USD,2021-10-24,0.8916379440246279,0.6884135183549506,0.6692058191327653,0.7046394763941222,0.928887500374879,0.8041363681303281,1.0,0.8916379440246279,0.6884135183549506,0.6692058191327653,0.7046394763941222,0.928887500374879,0.8041363681303281
ACH-USD,2020-11-08,0.2099317657586756,0.6499238021771236,0.5631807255199568,0.4696779803880334,0.5958226566361556,0.0,1.0,0.2099317657586756,0.6499238021771236,0.5631807255199568,0.4696779803880334,0.5958226566361556,0.0
ACH-USD,2020-12-04,0.0,0.0116002387579225,0.03855785007506782,0.0375511886160912,0.008392317560566335,0.0,0.6826849379431994,0.0,0.0116002387579225,0.03855785007506782,0.0375511886160912,0.008392317560566335,0.0
ACH-USD,2021-01-15,0.6113141656160131,0.5764251197600991,0.3486128857953964,0.44263127429987775,0.4421768423025844,0.6291211382563179,0.9088220816761706,0.6113141656160131,0.5764251197600991,0.3486128857953964,0.44263127429987775,0.4421768423025844,0.6291211382563179
ACH-USD,2021-01-25,0.10014016159662434,0.02568416723532365,0.1828638971301625,0.8297121872293294,0.9961605972313773,1.0,1.0,0.10014016159662434,0.02568416723532365,0.1828638971301625,0.8297121872293294,0.9961605972313773,1.0
ACH-USD,2021-02-09,0.839741091530512,0.8078759304653883,0.6513604679860586,0.8074379429675149,0.5711488449622243,0.35247900177571834,0.8801357297418652,0.839741091530512,0.8078759304653883,0.6513604679860586,0.8074379429675149,0.5711488449622243,0.35247900177571834
ACH-USD,2021-03-10,0.4064829292744849,0.5423211211805984,0.38503312784185484,0.510541331131671,0.9019995981843,1.0,1.0,0.4064829292744849,0.5423211211805984,0.38503312784185484,0.510541331131671,0.9019995981843,1.0
ACH-USD,2021-03-26,0.6252200333949256,0.5028416030003633,0.2777620146502704,0.035253835573755596,0.0,0.24495340267913976,0.7064372539204886,0.6252200333949256,0.5028416030003633,0.2777620146502704,0.035253835573755596,0.0,0.24495340267913976
ACH-USD,2021-05-07,0.2538274062144673,0.6334616030244812,0.8495637763743342,1.0,1.0,0.954660435663947,1.0,0.2538274062144673,0.6334616030244812,0.8495637763743342,1.0,1.0,0.954660435663947
ACH-USD,2021-06-22,0.5597084592080189,0.6556814532177349,0.2478376085777077,0.3706752675981789,0.3023585645372951,0.45492492827088155,1.0,0.5597084592080189,0.6556814532177349,0.2478376085777077,0.3706752675981789,0.3023585645372951,0.45492492827088155
ACH-USD,2021-07-25,0.34755768678529253,0.256609316779333,0.2816431625261258,0.27444311635304613,0.6745398908260006,1.0,1.0,0.34755768678529253,0.256609316779333,0.2816431625261258,0.27444311635304613,0.6745398908260006,1.0
ACH-USD,2021-07-30,1.0,1.0,1.0,1.0,1.0,0.7561735358204748,0.9290477657781395,1.0,1.0,1.0,1.0,1.0,0.7561735358204748
ACH-USD,2021-08-03,1.0,0.7561735358204748,0.9290477657781395,1.0,1.0,1.0,1.0,1.0,0.7561735358204748,0.9290477657781395,1.0,1.0,1.0
ACH-USD,2021-08-19,0.0,0.0,0.03210624153393024,0.0,0.0,0.5809423633703638,0.6528751146269701,0.0,0.0,0.03210624153393024,0.0,0.0,0.5809423633703638
ACH-USD,2021-10-31,0.7630460559334781,0.7299800448338093,0.48878804140980836,1.0,1.0,1.0,1.0,0.7630460559334781,0.7299800448338093,0.48878804140980836,1.0,1.0,1.0
ACH-USD,2022-01-07,0.47837019680136295,1.0,0.24069408352679736,0.023887910401529152,0.0,0.38350319905151886,1.0,0.47837019680136295,1.0,0.24069408352679736,0.023887910401529152,0.0,0.38350319905151886
ACH-USD,2022-02-06,0.7490018844172146,1.0,1.0,0.8414595630389825,1.0,1.0,1.0,0.7490018844172146,1.0,1.0,0.8414595630389825,1.0,1.0
ACH-USD,2022-07-16,0.6449025907487884,0.3841764273796076,0.6240079539688667,0.8511458607778003,0.7615993298049083,0.8910882245464734,1.0,0.6449025907487884,0.3841764273796076,0.6240079539688667,0.8511458607778003,0.7615993298049083,0.8910882245464734
ACH-USD,2022-10-11,0.33884940651559825,0.34115899688056406,0.0861972812841491,0.0,0.0,0.06438848921635777,1.0,0.33884940651559825,0.34115899688056406,0.0861972812841491,0.0,0.0,0.06438848921635777
ACH-USD,2023-01-13,0.7997634704211394,1.0,1.0,1.0,1.0,0.8057011988486995,1.0,0.7997634704211394,1.0,1.0,1.0,1.0,0.8057011988486995
ACH-USD,2023-01-27,0.0,0.07113411792010482,0.0,0.0,0.0,0.08948010170827121,0.0,0.0,0.07113411792010482,0.0,0.0,0.0,0.08948010170827121
ACH-USD,2023-02-02,0.0,0.23458807562408795,1.0,0.8843225746491583,1.0,1.0,1.0,0.0,0.23458807562408795,1.0,0.8843225746491583,1.0,1.0
ACH-USD,2023-02-14,0.3090539480770694,0.24152995148505965,0.0,0.15848140571772967,0.2954647132622642,0.4634285564163309,0.521926461286133,0.3090539480770694,0.24152995148505965,0.0,0.15848140571772967,0.2954647132622642,0.4634285564163309
ACH-USD,2023-02-18,0.2954647132622642,0.4634285564163309,0.521926461286133,0.4557550056054237,0.799357877743177,1.0,0.9150890829347069,0.2954647132622642,0.4634285564163309,0.521926461286133,0.4557550056054237,0.799357877743177,1.0
ACH-USD,2023-03-10,0.0031143242860124745,0.0,0.017936543129176453,0.10334082368069934,0.051000597936250974,0.21552868609702186,0.4726271027370324,0.0031143242860124745,0.0,0.017936543129176453,0.10334082368069934,0.051000597936250974,0.21552868609702186
ACH-USD,2024-03-11,0.629722779895935,0.5374515324706236,0.6113832287977251,0.7529748944208936,0.9603871061033745,1.0,1.0,0.629722779895935,0.5374515324706236,0.6113832287977251,0.7529748944208936,0.9603871061033745,1.0
ACH-USD,2025-01-24,0.7735923378610177,0.7871439700279548,0.9329255138755959,0.7227094620226957,0.7770183677887834,1.0,1.0,0.7735923378610177,0.7871439700279548,0.9329255138755959,0.7227094620226957,0.7770183677887834,1.0
ACH-USD,2025-01-28,0.7770183677887834,1.0,1.0,0.669420057140676,0.768148979870708,0.8995340600924098,0.8831360231906011,0.7770183677887834,1.0,1.0,0.669420057140676,0.768148979870708,0.8995340600924098
ACH-USD,2025-02-15,0.0,0.0,0.0,0.0,0.21282477880094752,0.24898896519898425,0.6983351591911869,0.0,0.0,0.0,0.0,0.21282477880094752,0.24898896519898425
ACT-USD,2020-03-16,0.39386463227310026,0.4058586972924597,0.35422197940619554,0.12911862775921978,0.16356194987242764,0.01382779032085496,0.1596544832774387,0.39386463227310026,0.4058586972924597,0.35422197940619554,0.12911862775921978,0.16356194987242764,0.01382779032085496
ACT-USD,2020-08-23,0.11045101310735878,0.20710197291409216,0.03003201459562888,0.5061299013365353,0.6094748308760171,1.0,1.0,0.11045101310735878,0.20710197291409216,0.03003201459562888,0.5061299013365353,0.6094748308760171,1.0
ACT-USD,2020-09-07,0.026458015578099472,0.0,0.017567264793437426,0.0,0.0,0.0,0.018101584077659615,0.026458015578099472,0.0,0.017567264793437426,0.0,0.0,0.0
ACT-USD,2021-02-09,0.8235548830210948,0.7272823630018644,1.0,1.0,1.0,1.0,1.0,0.8235548830210948,0.7272823630018644,1.0,1.0,1.0,1.0
ACT-USD,2021-02-13,1.0,1.0,1.0,1.0,0.7435569137168929,0.2592307195014854,0.8078346947230803,1.0,1.0,1.0,1.0,0.7435569137168929,0.2592307195014854
ACT-USD,2021-03-09,0.268462524012719,0.27580926633841996,0.508904085777837,1.0,0.6477951173938092,1.0,1.0,0.268462524012719,0.27580926633841996,0.508904085777837,1.0,0.6477951173938092,1.0
ACT-USD,2021-03-16,1.0,0.9593392967499839,0.7755888173949539,0.8642474993183643,0.8410597996854386,0.8782375223781836,1.0,1.0,0.9593392967499839,0.7755888173949539,0.8642474993183643,0.8410597996854386,0.8782375223781836
ACT-USD,2021-03-29,0.0,0.0,0.13773929915134048,0.26813311563178294,0.2626944506309824,0.3506488011086591,0.5133601769454832,0.0,0.0,0.13773929915134048,0.26813311563178294,0.2626944506309824,0.3506488011086591
ACT-USD,2021-04-02,0.2626944506309824,0.3506488011086591,0.5133601769454832,0.0,0.5122521087542913,0.8430431904283052,1.0,0.2626944506309824,0.3506488011086591,0.5133601769454832,0.0,0.5122521087542913,0.8430431904283052
ACT-USD,2021-05-23,0.016498286453032168,0.0,0.10928551708874784,0.06828095326674315,0.3733473326786864,0.308868152167202,0.45322504880780584,0.016498286453032168,0.0,0.10928551708874784,0.06828095326674315,0.3733473326786864,0.308868152167202
ACT-USD,2021-08-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACT-USD,2022-01-04,0.4887526929550163,0.5056830704272756,0.6987144634987486,0.0,0.3456738639019374,0.31070746336841437,0.27021236667427934,0.4887526929550163,0.5056830704272756,0.6987144634987486,0.0,0.3456738639019374,0.31070746336841437
ACT-USD,2022-01-13,0.22359472014225193,0.6554368226405408,0.4832635141625149,0.6871956404816473,0.4204672864918638,0.17131212285577624,1.0,0.22359472014225193,0.6554368226405408,0.4832635141625149,0.6871956404816473,0.4204672864918638,0.17131212285577624
ACT-USD,2022-01-23,0.06012947885265909,0.051619166914331896,0.0,0.0,0.4753444890608047,0.4077182130675461,0.41671715396413583,0.06012947885265909,0.051619166914331896,0.0,0.0,0.4753444890608047,0.4077182130675461
ACT-USD,2022-02-08,1.0,1.0,0.6420381055493907,0.7080438369987603,0.8450374622217673,1.0,1.0,1.0,1.0,0.6420381055493907,0.7080438369987603,0.8450374622217673,1.0
ACT-USD,2022-02-13,1.0,1.0,0.738605913642429,0.7774438153029387,0.8498362748469039,0.8648846765618045,1.0,1.0,1.0,0.738605913642429,0.7774438153029387,0.8498362748469039,0.8648846765618045
ACT-USD,2022-02-17,0.8498362748469039,0.8648846765618045,1.0,0.4099856861669293,0.6256497967784886,1.0,0.0,0.8498362748469039,0.8648846765618045,1.0,0.4099856861669293,0.6256497967784886,1.0
