symbol,breakout_date,peak_date,b_vs_-3,b_vs_-2,b_vs_-1,b_vs_+0,b_vs_+1,b_vs_+2,b_vs_+3,p_vs_-3,p_vs_-2,p_vs_-1,p_vs_+0,p_vs_+1,p_vs_+2
1INCH-USD,2021-10-24,2021-10-27,44.1176767567238,21.22787170702796,4.980839120817082,0.4277336715515556,-63.06916153252764,-63.381330061024954,486.54169933333895,0.4277336715515556,-63.06916153252764,-63.381330061024954,486.54169933333895,41.5587120159135,-35.479916512463184
ACH-USD,2021-08-19,2021-08-23,-52.25113147628686,-57.43118664787983,-22.22995733637,-43.23277938008145,-25.848604468567203,23.35067495621461,42.724518041037875,-25.848604468567203,23.35067495621461,42.724518041037875,90.41355866543324,23.63298467161976,-8.966289881749034
ACH-USD,2021-10-31,2021-11-08,200.17612724539083,51.37957263337436,28.709393546547535,277.5562364248548,149.19076968403982,59.86759557204795,170.30454394946776,-21.26917752932782,-32.66222331923526,-49.14286859621087,-15.360534179705942,14.297637012650345,-29.836301805016376
ACH-USD,2022-01-07,2022-01-10,-28.26016771452623,101.2419278239474,31.913076475706426,-46.62901044177615,-8.337839060870056,-32.49263014006911,606.9541807939546,-46.62901044177615,-8.337839060870056,-32.49263014006911,606.9541807939546,198.2428846608348,62.43722837353032
ACH-USD,2022-02-06,2022-02-09,-42.86983923495053,-22.239181358479996,-20.6060800037166,-22.116306068608647,111.97394935207483,331.8250203172351,410.3770197675409,-22.116306068608647,111.97394935207483,331.8250203172351,410.3770197675409,128.61557504348565,17.955008197246958
ACH-USD,2022-07-16,2022-07-19,68.44151163223766,65.70306966667306,42.84482516371171,42.55495649690242,54.5235671282057,17.306525222717895,519.9062708202069,42.55495649690242,54.5235671282057,17.306525222717895,519.9062708202069,361.0041532077697,79.04899059344541
ACH-USD,2023-01-27,2023-02-05,-55.04359982961642,35.44807175403197,-57.20182864301728,-66.70825300275422,-72.34643341048915,-14.667863901583711,257.2261967263613,9.462134113016042,30.417253662227495,43.86101056701115,131.87213823876755,-3.652416929543234,-37.111963295348374
ACH-USD,2023-02-14,2023-02-22,-79.70612978091975,-35.48181434110311,-53.44603569651187,-56.781749820123565,-16.359873231883892,331.95115701305264,82.01410154875882,204.2270234096407,485.5295877273508,173.39441924819772,100.9695463868451,78.87047637687942,-18.00586670679887
ACH-USD,2023-03-10,2023-03-19,-48.77262243004362,-30.69155243534125,7.352518882242709,3.2765798160111714,-19.72652424385676,-18.297552376222626,186.7909115540195,-17.470918221519526,27.420967973527645,27.013608011905312,30.932532020709246,-8.231584781733359,-37.28760544672137
ACH-USD,2024-03-11,2024-03-14,21.208228620720647,-42.0754645173298,-36.20051159405432,10.378308386142354,40.13997280900401,65.36537685207551,127.25305617897304,10.378308386142354,40.13997280900401,65.36537685207551,127.25305617897304,187.21237804751132,9.17217857277015
ACH-USD,2025-01-24,2025-02-01,-21.821937399535607,-49.37348875578317,-10.132952630803583,-20.2705526660358,-42.56547564564025,112.65797258602856,995.5978737305069,208.64966682931902,145.98556774698733,82.76357194981362,175.7021392184874,19.158027891157193,46.53279973955053
ACH-USD,2025-02-15,2025-02-20,-70.86598536144345,-72.32138023413113,-74.24345620892949,-72.95514967440745,59.48587636645621,80.42344446356735,277.37321832569137,80.42344446356735,277.37321832569137,83.47678049553457,74.55033394613211,-2.027436364686408,-47.56086106685547
ACT-USD,2021-04-02,2021-04-09,-25.841896702301923,22.854390067080832,64.73253254624194,8.426495170594439,0.010267634428240413,33.65144424119351,136.15626511576764,98.90181710408179,4.618041202440559,-20.8067059008335,16.48910732197153,-8.119820285894107,-19.883437408006998
AGI-USD,2023-11-21,2023-11-24,62.602887247641206,76.06659664168231,-31.319467569548753,-40.4302555718825,-55.011584661855316,-87.8754562857346,-85.81307330200383,-40.4302555718825,-55.011584661855316,-87.8754562857346,-85.81307330200383,-94.25243979910479,-96.82317086961888
AGI-USD,2023-12-06,2023-12-15,-86.87743925566056,-74.74652863400371,-66.41930906451321,-50.734311161483234,-53.738137129866594,-28.361177225235767,163.46435052994104,10.871139690531418,-16.72012073254001,89.16492766814687,186.01498922783063,190.24112092530828,1.0878476642679047
AGI-USD,2024-02-13,2024-02-22,18.182223369861617,-5.0542616744615465,-0.2616165389983993,-17.246804802253447,-4.588303327234633,254.6932843261053,434.1439634709647,315.061191336381,288.0058787086047,90.42942273405458,152.37826586991386,81.29352390929574,42.55249243549297
AGI-USD,2024-06-18,2024-06-22,-48.96486451975206,-24.534295817934748,104.10120553853272,100.84744898181208,87.34496564597801,149.58017292679898,70.50851735846311,87.34496564597801,149.58017292679898,70.50851735846311,25.067567047233098,62.908502855616554,58.437241101222504
AGI-USD,2024-09-21,2024-09-27,21.88020539178335,89.87754046975786,34.30401373549821,-4.0984658439426,10.565349614071406,319.37474440527643,376.08407423714453,376.08407423714453,289.0496348175843,133.72797341419766,76.48534720628678,-17.806690343869825,-27.26922104621061
