symbol,breakout_date,pct_gain,days_to_peak,strength
A-USD,2024-05-09,146.85924218750412,3,strong
A-USD,2024-05-14,63.3973094133072,4,strong
A-USD,2024-05-21,166.21457635988168,9,strong
A-USD,2024-05-27,89.5172417115316,3,strong
A-USD,2024-06-16,136.112511811102,3,strong
A-USD,2024-06-20,512.6838128884939,10,strong
A-USD,2024-06-24,203.6902119798389,6,strong
A-USD,2024-07-01,68.41539794215684,2,strong
A-USD,2024-07-20,169.006488896958,9,strong
A-USD,2024-07-25,527.4559527816988,4,strong
A-USD,2024-09-17,51.28206106200175,10,strong
ACH-USD,2020-09-10,48.18626972776419,4,moderate
ACH-USD,2020-11-08,33.99122455704626,9,moderate
ACH-USD,2020-12-04,31.131870565382137,3,moderate
ACH-USD,2021-01-15,37.37185635239251,3,moderate
ACH-USD,2021-01-25,60.978019843451726,10,strong
ACH-USD,2021-02-09,53.325107693352,4,strong
ACH-USD,2021-03-10,45.99401141503549,3,moderate
ACH-USD,2021-03-26,69.44406312052041,8,strong
ACH-USD,2021-05-07,54.48696023033549,3,strong
ACH-USD,2021-06-22,36.64569131911514,3,moderate
ACH-USD,2021-07-25,1698.252659264663,10,strong
ACH-USD,2021-07-30,4005.890158181622,7,strong
ACH-USD,2021-08-03,571.4542522435629,3,strong
ACH-USD,2021-08-19,67.5547946018892,4,strong
ACH-USD,2021-10-31,43.42651229352584,8,moderate
ACH-USD,2022-01-07,38.2517636061864,3,moderate
ACH-USD,2022-02-06,45.95419901841626,3,moderate
ACH-USD,2022-07-16,46.66561049236259,3,moderate
ACH-USD,2022-10-11,36.23411448597597,3,moderate
ACH-USD,2023-01-13,50.91154531839016,3,strong
ACH-USD,2023-01-27,74.23679469125057,9,strong
ACH-USD,2023-02-02,35.613058872353164,3,moderate
ACH-USD,2023-02-14,187.1448325889265,8,strong
ACH-USD,2023-02-18,98.8891902877872,4,strong
ACH-USD,2023-03-10,58.03377234313184,9,strong
ACH-USD,2024-03-11,39.29755619368394,3,moderate
ACH-USD,2025-01-24,150.79813682753553,8,strong
ACH-USD,2025-01-28,66.74022659925183,4,strong
ACH-USD,2025-02-15,52.06911602228226,5,strong
ACT-USD,2020-03-16,31.319773787002354,3,moderate
ACT-USD,2020-08-23,98.8351445772926,4,strong
ACT-USD,2020-09-07,34.603202810253315,3,moderate
ACT-USD,2021-02-09,102.12983528865745,7,strong
ACT-USD,2021-02-13,38.09024727706268,3,moderate
ACT-USD,2021-03-09,90.65074829061504,10,strong
ACT-USD,2021-03-16,41.92831589618731,3,moderate
ACT-USD,2021-03-29,56.63270036317133,7,strong
ACT-USD,2021-04-02,35.70908802769283,7,moderate
ACT-USD,2021-05-23,30.724194386775466,3,moderate
ACT-USD,2021-08-05,89.27875652601706,3,strong
ACT-USD,2022-01-04,66.89168844513638,2,strong
ACT-USD,2022-01-13,42.63168579211924,3,moderate
ACT-USD,2022-01-23,112.69035543903011,9,strong
ACT-USD,2022-02-08,84.72279048731441,10,strong
ACT-USD,2022-02-13,186.57041280244536,6,strong
ACT-USD,2022-02-17,156.97725753193208,2,strong
ACT-USD,2022-03-08,30.432559049848816,3,moderate
ACT-USD,2024-03-10,34.53070696948245,3,moderate
ACT-USD,2024-07-10,159.00217798932422,9,strong
ACT-USD,2024-07-14,164.96674484045155,9,strong
ACT-USD,2024-07-18,139.95983905231756,5,strong
ACT-USD,2024-08-02,310.689656418326,4,strong
ACT-USD,2024-11-08,414.59586892732017,4,strong
ACT-USD,2024-11-15,50.07915627580354,3,strong
ACT-USD,2024-11-25,37.705584190605535,3,moderate
ACT-USD,2024-12-05,30.016935915290283,3,moderate
ACT-USD,2025-01-02,31.31367418740984,3,moderate
ACT-USD,2025-02-07,68.87805046473697,9,strong
ACT-USD,2025-02-13,50.13009134008115,3,strong
ACT-USD,2025-03-11,56.68605267658725,7,strong
ACT-USD,2025-03-26,30.479443726161048,8,moderate
ACT-USD,2025-04-23,31.282062099521703,9,moderate
ACT-USD,2025-05-01,30.736660563985385,4,moderate
AERO-USD,2022-02-25,50.00000568434193,1,strong
AERO-USD,2022-05-07,30.59469122703649,3,moderate
AERO-USD,2023-08-25,42.67723743838459,3,moderate
AERO-USD,2023-09-05,69.51710479546051,10,strong
AERO-USD,2023-09-13,45.2787252924285,9,moderate
AERO-USD,2023-11-02,140.27701913549384,10,strong
AERO-USD,2023-11-09,104.95488004957578,9,strong
AERO-USD,2024-03-09,78.30357310835137,5,strong
AERO-USD,2024-04-12,41.20786191669037,4,moderate
AERO-USD,2024-05-02,61.10608951439232,4,strong
AERO-USD,2024-06-23,561.4034773075751,4,strong
AERO-USD,2024-07-15,76.43678627146747,10,strong
AERO-USD,2024-07-21,58.52535044297091,8,strong
AERO-USD,2024-10-25,69.94220197745787,6,strong
AERO-USD,2024-11-06,109.1574931859238,10,strong
AERO-USD,2024-11-10,40.98765034645499,6,moderate
AERO-USD,2024-11-15,40.6403874852548,1,moderate
AERO-USD,2024-12-08,56.54008506176788,5,strong
AERO-USD,2025-01-14,36.26373187056582,3,moderate
AERO-USD,2025-04-03,39.02439522139844,3,moderate
AERO-USD,2025-05-24,132.53012312225442,8,strong
AERO-USD,2025-05-30,37.85713907067563,2,moderate
AGI-USD,2023-05-15,32.67986208336858,3,moderate
AGI-USD,2023-09-02,159.6111523314541,3,strong
AGI-USD,2023-10-04,48.92304828066685,3,moderate
AGI-USD,2023-11-12,82.05711416315715,4,strong
AGI-USD,2023-11-21,36.50064233969379,3,moderate
AGI-USD,2023-12-06,83.5680374034423,10,strong
AGI-USD,2023-12-11,104.41002432182478,9,strong
