market_level,metric,offset,yellow_thresh,green_thresh
3,EMA10_PCT,d2,-8.849216286573023,-0.0027395405883208
3,EMA10_PCT,d3,-8.672570051655326,0.5476729572843638
3,EMA200_PCT,d0,-42.72847923060558,16.960030211955818
3,EMA200_PCT,d1,-35.817649898819646,28.198839034435046
3,EMA200_PCT,d2,-35.331399135803274,27.89809526082542
3,EMA200_PCT,d3,-36.33890746094457,27.015573541126685
3,EMA50_PCT,d0,-24.473112300043763,-2.796918913117334
3,EMA50_PCT,d1,-17.55160369278978,3.5333146525663275
3,EMA50_PCT,d2,-18.428423596188683,5.549320292034455
3,EMA50_PCT,d3,-16.754199564972673,7.199994324668009
3,EMA5_PCT,d0,-9.760326896870293,-2.584441427271013
3,EMA5_PCT,d1,-5.617828027325393,0.3895290755769457
3,EMA5_PCT,d2,-5.409543285750021,0.1231084880563005
3,EMA5_PCT,d3,-4.805258806935035,0.3814772687397339
3,MACD,d0,-0.0057744277032074,9.08734152244282e-05
3,MACD,d1,-0.004656240922898,0.0004275906306823
3,MACD,d2,-0.0038811141969622,0.0009204947275663
3,MACD,d3,-0.0038271666398551,0.0011912581055853
3,MACD_SIGNAL,d0,-0.0035641252721378,0.0011628695270736
3,MACD_SIGNAL,d1,-0.0034702067360562,0.0012073604979381
3,MACD_SIGNAL,d2,-0.0028854586233217,0.0012626927872473
3,MACD_SIGNAL,d3,-0.0025898262098377,0.001684508010419
3,OBV,d0,246043.0,412099247.0
3,OBV,d1,290582.1799999999,456927865.0
3,OBV,d2,245560.0,456105311.0
3,OBV,d3,272508.9999999997,431957959.0
3,RNG,d0,0.5169230396028945,0.9584864246046236
3,RNG,d1,0.4909056264214308,0.8363558424637549
3,RNG,d2,0.4829859118070397,0.786247091345524
3,RNG,d3,0.4845459024173164,0.7750112200292957
3,RSI,d0,38.914359405880745,47.56845525647468
3,RSI,d1,41.66255197527823,50.413571097355245
3,RSI,d2,41.65221525489353,50.792299115906616
3,RSI,d3,42.4437874617181,51.58198153423297
3,RVOL,d0,0.5443793703984096,0.9617340300817112
3,RVOL,d1,0.5863244791863824,1.0474265817805033
3,RVOL,d2,0.602639996015772,1.018786248114974
3,RVOL,d3,0.6209593367305122,1.0509836418085792
3,STD,d0,0.0059111156968722,0.0748451156853996
3,STD,d1,0.0060501406151611,0.071004279137185
3,STD,d2,0.005756478684784,0.0698635328083188
3,STD,d3,0.0054797832882423,0.0699743592843552
4,ADX,d0,23.13604233787084,35.081660509346655
4,ADX,d1,23.23953407169023,35.89314554333508
4,ADX,d2,23.11609006330599,36.46820853960845
4,ADX,d3,22.8676931139632,37.37862628360372
4,ATR,d0,0.0056375544333706,0.0588613936421763
4,ATR,d1,0.0050687562300854,0.0591088141526296
4,ATR,d2,0.0051464942475774,0.0581065095521853
4,ATR,d3,0.0053276091304242,0.0600438574858953
4,BBW,d0,0.4552144503889237,0.9403087875474564
4,BBW,d1,0.430238838057395,0.8113278661028295
4,BBW,d2,0.4289355128141099,0.8327907579931726
4,BBW,d3,0.4243530220901061,0.8627212079713108
4,CMF,d0,-0.0943611661306156,0.0681103075268993
4,CMF,d1,-0.0750800591612515,0.0852152027058111
4,CMF,d2,-0.0777873986961308,0.0715933478184168
4,CMF,d3,-0.089384336387937,0.0496508242667229
4,EMA100_PCT,d0,-27.34329503927147,-0.6256146413611733
4,EMA100_PCT,d1,-22.391429467681235,8.76414451454372
4,EMA100_PCT,d2,-23.41087495026504,6.265696442761832
4,EMA100_PCT,d3,-23.62538225886649,5.060055429215185
4,EMA10_PCT,d0,-8.175521802972169,-0.2726186627751285
4,EMA10_PCT,d1,-5.009718186592064,2.3323922176987044
4,EMA10_PCT,d2,-4.956620080241246,1.3924344698106403
4,EMA10_PCT,d3,-6.317966250451186,0.7303178934640526
4,EMA200_PCT,d0,-39.1988584667908,-3.44558531258876
4,EMA200_PCT,d1,-34.43631069289496,8.007904884094103
4,EMA200_PCT,d2,-36.19333774202094,5.135771410756252
4,EMA200_PCT,d3,-35.831249105082684,4.550757570842765
4,EMA50_PCT,d0,-16.082579123989063,-0.4104499084843421
4,EMA50_PCT,d1,-11.408961144384389,7.265032792255803
4,EMA50_PCT,d2,-11.576369754020831,5.67574824612203
4,EMA50_PCT,d3,-12.445086420874452,4.3619063763618735
4,EMA5_PCT,d0,-5.377314644810378,-0.2688065466588524
4,EMA5_PCT,d1,-3.128864251050661,1.296330565853619
4,EMA5_PCT,d2,-3.2353959204140548,1.2313506872527356
4,EMA5_PCT,d3,-4.346979073745568,0.5539321350092826
4,MACD,d0,-0.0007777819604136,0.0018645398694224
4,MACD,d1,-0.0003515685765559,0.0034017236886458
4,MACD,d2,-0.0004413836528312,0.0037820750275371
4,MACD,d3,-0.0004500376080053,0.0048311493464214
4,MACD_SIGNAL,d0,-0.0004444909500805,0.0036617704714198
4,MACD_SIGNAL,d1,-0.0004232663581471,0.0040332870789916
4,MACD_SIGNAL,d2,-0.0003849313152724,0.0042283567086605
4,MACD_SIGNAL,d3,-0.0004065576504442,0.0035643604641422
4,OBV,d0,192544.0,716105652.0
4,OBV,d1,253159.6000000001,683401521.0
4,OBV,d2,205512.0,684482368.0
4,OBV,d3,254933.0,675201270.0
4,RNG,d0,0.3680862864888148,0.7795521765772421
4,RNG,d1,0.351189349699696,0.6871226676677396
4,RNG,d2,0.355612060001461,0.6744023092476812
4,RNG,d3,0.354962911446847,0.6990172058693496
4,RSI,d0,42.97544275140825,50.17922941992204
4,RSI,d1,45.24383327950064,53.58485035956936
4,RSI,d2,45.543701506801945,53.16845959663067
4,RSI,d3,45.45981329895144,52.42181643923493
4,RVOL,d0,0.6054987316075885,1.0258648857610582
4,RVOL,d1,0.5882352941176471,1.016622360374537
4,RVOL,d2,0.5437192671685342,0.9586311295276984
4,RVOL,d3,0.5514515802724452,0.942758560347042
4,STD,d0,0.0048280714447351,0.074512855169884
4,STD,d1,0.0051171008672826,0.0766562437654476
4,STD,d2,0.0053158901999974,0.0743513417348095
4,STD,d3,0.0053454639550389,0.0737540440239764
5,ADX,d0,25.919104966178075,41.62663316890138
5,ADX,d1,25.050089348083656,40.81017575633856
5,ADX,d2,25.49036978808874,40.82440442370828
5,ADX,d3,25.78257584760974,40.168041304608415
5,ATR,d0,0.006005750673099,0.0589338341195806
5,ATR,d1,0.0060068113348133,0.0601267461880043
5,ATR,d2,0.0057756497571316,0.0610776493671358
5,ATR,d3,0.005600238209598,0.0623212490182453
5,BBW,d0,0.5108681912414953,1.0544055535630366
5,BBW,d1,0.4983588890183779,0.9612089915465268
5,BBW,d2,0.497243887891728,0.8735199825154051
5,BBW,d3,0.5000000568434193,0.8956095226325899
5,CMF,d0,-0.121630868432598,0.0598607578322477
5,CMF,d1,-0.1041393301446007,0.0809220676802158
5,CMF,d2,-0.1221739433249048,0.0714548562775001
5,CMF,d3,-0.1233746330469117,0.063175118038101
5,EMA100_PCT,d0,-27.04230172442548,16.938780881568277
5,EMA100_PCT,d1,-18.37049368668078,27.689758498257618
5,EMA100_PCT,d2,-18.76767827176415,28.27516757685641
5,EMA100_PCT,d3,-22.50838853256026,29.402722078621288
5,EMA10_PCT,d0,-7.758053315505069,1.2892742785549896
5,EMA10_PCT,d1,-2.970545575778069,5.949686147411853
5,EMA10_PCT,d2,-2.4864686540037644,7.541891708600947
5,EMA10_PCT,d3,-4.411203339279743,5.180045957547087
5,EMA200_PCT,d0,-36.33227658005002,18.228770076597243
5,EMA200_PCT,d1,-27.00999532214594,37.62544219103939
5,EMA200_PCT,d2,-27.34281212267632,34.42923481922644
5,EMA200_PCT,d3,-31.286958615283066,37.18883948778734
5,EMA50_PCT,d0,-18.15805591295829,9.52352801470986
