symbol,breakout_date,breakout_high
ACH-USD,2021-07-30,0.0043440000154078
ACH-USD,2021-08-03,0.0264270007610321
ACH-USD,2021-08-19,0.0804509967565536
ACH-USD,2021-10-31,0.0865100026130676
ACH-USD,2022-01-07,0.0623710006475448
ACH-USD,2022-02-06,0.0405879989266395
ACH-USD,2022-07-16,0.0128520000725984
ACH-USD,2022-10-11,0.0110170003026723
ACH-USD,2023-01-13,0.0089189996942877
ACH-USD,2023-01-27,0.0112049998715519
ACH-USD,2023-02-02,0.0162160005420446
ACH-USD,2023-02-14,0.0161470007151365
ACH-USD,2023-02-18,0.0233159996569156
ACH-USD,2023-03-10,0.0265410002321004
ACH-USD,2024-03-11,0.0358240008354187
ACH-USD,2025-01-24,0.0219390001147985
ACH-USD,2025-01-28,0.0384080000221729
ACH-USD,2025-02-15,0.026155000552535
ACT-USD,2020-03-16,0.0040119998157024
ACT-USD,2020-08-23,0.0098700001835823
ACT-USD,2020-09-07,0.0097270002588629
ACT-USD,2021-02-09,0.0098109999671578
ACT-USD,2021-02-13,0.0147940004244446
ACT-USD,2021-03-09,0.0111389998346567
ACT-USD,2021-03-16,0.0159070007503032
ACT-USD,2021-03-29,0.0179280005395412
ACT-USD,2021-04-02,0.0228359997272491
ACT-USD,2021-05-23,0.0113800000399351
ACT-USD,2021-08-05,0.0095189996063709
ACT-USD,2022-01-04,0.0065899998880922
ACT-USD,2022-01-13,0.0054429997690021
ACT-USD,2022-01-23,0.0036609999369829
ACT-USD,2022-02-08,0.0051859999075531
ACT-USD,2022-02-13,0.0072719999589025
ACT-USD,2022-02-17,0.0091700004413723
ACT-USD,2022-03-08,0.0063359998166561
ACT-USD,2024-03-10,0.001782999956049
ACT-USD,2024-07-10,0.00047599998652
ACT-USD,2024-07-14,0.0007259999983943
ACT-USD,2024-07-18,0.0011960000265389
ACT-USD,2024-08-02,0.0002899999963119
ACT-USD,2024-11-08,0.0008299999753944
ACT-USD,2024-11-15,0.0030799999367445
ACT-USD,2024-11-25,0.0026110000908374
ACT-USD,2024-12-05,0.0028339999262243
ACT-USD,2025-01-02,0.0019859999883919
ACT-USD,2025-02-07,0.0012580000329762
ACT-USD,2025-02-13,0.0014979999978095
ACT-USD,2025-03-11,0.001719000050798
ACT-USD,2025-03-26,0.0015190000412985
ACT-USD,2025-04-23,0.0011729999678209
ACT-USD,2025-05-01,0.0011830000439658
AERO-USD,2022-02-25,1.999999994950485e-06
AERO-USD,2022-05-07,0.1559849977493286
AERO-USD,2023-08-25,0.0021440000273287
AERO-USD,2023-09-05,0.0020059999078512
AERO-USD,2023-09-13,0.0030529999639838
AERO-USD,2023-11-02,0.0037509999237954
AERO-USD,2023-11-09,0.0057230000384151
AERO-USD,2024-03-09,0.0045239999890327
AERO-USD,2024-04-12,0.0049189999699592
AERO-USD,2024-05-02,0.004848999902606
AERO-USD,2024-06-23,0.0001659999979892
AERO-USD,2024-07-15,0.0001970000012079
AERO-USD,2024-07-21,0.0002830000012181
AERO-USD,2024-10-25,0.00021199999901
AERO-USD,2024-11-06,0.0003349999897181
AERO-USD,2024-11-10,0.0004680000129155
AERO-USD,2024-11-15,0.0004790000093635
AERO-USD,2024-12-08,0.000278999999864
AERO-USD,2025-01-14,0.0001829999964684
AERO-USD,2025-04-03,8.499999967170879e-05
AERO-USD,2025-05-24,9.100000170292331e-05
AERO-USD,2025-05-30,0.0001579999952809
AGI-USD,2023-05-15,0.11370500177145
AGI-USD,2023-09-02,0.0438279993832111
AGI-USD,2023-10-04,0.0289270002394914
AGI-USD,2023-11-12,0.018435999751091
AGI-USD,2023-11-21,0.0294090006500482
AGI-USD,2023-12-06,0.027148000895977
AGI-USD,2023-12-11,0.0358089990913867
AGI-USD,2023-12-19,0.0519779995083808
AGI-USD,2024-02-13,0.0594559982419014
AGI-USD,2024-02-17,0.1181019991636276
AGI-USD,2024-02-21,0.183227002620697
AGI-USD,2024-02-27,0.2754299938678741
AGI-USD,2024-03-04,0.2846640050411224
AGI-USD,2024-03-08,0.4426339864730835
AGI-USD,2024-06-18,0.1693100035190582
AGI-USD,2024-09-21,0.1364450007677078
AGI-USD,2025-03-16,0.0510049983859062
AGIX-USD,2020-08-07,0.0321969985961914
AGIX-USD,2020-08-19,0.0489749982953071
AGIX-USD,2021-01-01,0.0662249997258186
AGIX-USD,2021-01-21,0.0785650014877319
AGIX-USD,2021-01-31,0.0736119970679283
AGIX-USD,2021-02-06,0.1064940020442009
AGIX-USD,2021-02-10,0.1422770023345947
AGIX-USD,2021-02-23,0.1735229939222335
AGIX-USD,2021-03-24,0.2745830118656158
AGIX-USD,2021-05-23,0.2192869931459427
AGIX-USD,2021-05-28,0.2905279994010925
AGIX-USD,2021-08-26,0.3089219927787781
AGIX-USD,2021-08-30,0.4234659969806671
AGIX-USD,2021-09-20,0.3418860137462616
AGIX-USD,2022-03-21,0.0904750004410743
AGIX-USD,2022-09-13,0.0597970001399517
AGIX-USD,2022-10-10,0.0470409989356994
AGIX-USD,2023-01-05,0.0492370016872882
AGIX-USD,2023-01-09,0.0688380002975463
AGIX-USD,2023-01-31,0.1813499927520752
AGIX-USD,2023-02-04,0.340501993894577
AGIX-USD,2023-02-26,0.418410986661911
AGIX-USD,2023-03-11,0.3383530080318451
AGIX-USD,2024-02-14,0.3189460039138794
AGIX-USD,2024-02-18,0.4857780039310455
AGIX-USD,2024-02-27,0.7322260141372681
AGIX-USD,2024-03-04,0.9735209941864014
AGIX-USD,2024-06-18,0.551410973072052
AGIX-USD,2024-08-08,0.5596500039100647
AGIX-USD,2024-08-19,0.3994759917259216
AGIX-USD,2025-05-07,0.3050230145454407
AIOZ-USD,2021-05-23,0.3868499994277954
AIOZ-USD,2021-05-29,0.3439460098743438
AIOZ-USD,2021-06-10,0.4088839888572693
AIOZ-USD,2021-07-24,0.1910089999437332
AIOZ-USD,2021-08-29,0.2859039902687073
AIOZ-USD,2021-10-31,0.240106999874115
AIOZ-USD,2021-11-08,0.3087620139122009
AIOZ-USD,2021-11-12,0.4800939857959747
AIOZ-USD,2021-11-18,0.7151010036468506
AIOZ-USD,2022-03-05,0.1327179968357086
AIOZ-USD,2022-03-31,0.2616249918937683
AIOZ-USD,2022-05-17,0.081104002892971
AIOZ-USD,2022-07-02,0.0505769997835159
AIOZ-USD,2022-11-12,0.0375090017914772
AIOZ-USD,2023-11-15,0.0237169992178678
AIOZ-USD,2023-11-21,0.064358003437519
AIOZ-USD,2023-11-26,0.0747419968247413
AIOZ-USD,2024-02-15,0.1586879938840866
AIOZ-USD,2024-02-19,0.2157420068979263
AIOZ-USD,2024-03-04,0.2862499952316284
AIOZ-USD,2024-03-08,0.5418490171432495
AIOZ-USD,2024-11-04,0.3978910148143768
AIOZ-USD,2024-11-09,0.5390030145645142
AIOZ-USD,2024-11-28,0.8083369731903076
AIOZ-USD,2025-01-01,0.7971799969673157
AIOZ-USD,2025-04-23,0.3529689908027649
AIOZ-USD,2025-05-07,0.4079630076885223
AITECH-USD,2023-11-20,0.0181959997862577
AITECH-USD,2024-01-01,0.0163460001349449
