symbol,breakout_date,b_rng_-3,b_rng_-2,b_rng_-1,b_rng_+0,b_rng_+1,b_rng_+2,b_rng_+3,p_rng_-3,p_rng_-2,p_rng_-1,p_rng_+0,p_rng_+1,p_rng_+2
1INCH-USD,2020-12-29,,,,,,,,,,,,,
1INCH-USD,2021-01-03,,,,,,,,,,,,,
1INCH-USD,2021-01-14,72.72515597995157,62.93377298445369,49.24329965817006,46.93706681913258,46.42159455829229,51.94257365276026,58.16742243597991,72.72515597995157,62.93377298445369,49.24329965817006,46.93706681913258,46.42159455829229,51.94257365276026
1INCH-USD,2021-01-21,62.86139402606693,61.613634931008995,63.60708628240174,75.3426644793686,66.78282549466678,61.09565026593291,60.87929945378561,62.86139402606693,61.613634931008995,63.60708628240174,75.3426644793686,66.78282549466678,61.09565026593291
1INCH-USD,2021-01-25,66.78282549466678,61.09565026593291,60.87929945378561,69.36218576666676,60.83201754323378,59.8380459961747,68.7304920562302,66.78282549466678,61.09565026593291,60.87929945378561,69.36218576666676,60.83201754323378,59.8380459961747
1INCH-USD,2021-01-29,60.83201754323378,59.8380459961747,68.7304920562302,62.938109140918584,69.97736191217561,82.21109872806161,81.10730333180295,60.83201754323378,59.8380459961747,68.7304920562302,62.938109140918584,69.97736191217561,82.21109872806161
1INCH-USD,2021-04-24,45.58629543628181,49.82138961337098,68.82570418552068,74.6632162784204,73.92193212210213,64.80934227821666,57.35755125999844,45.58629543628181,49.82138961337098,68.82570418552068,74.6632162784204,73.92193212210213,64.80934227821666
1INCH-USD,2021-05-23,143.72290850499178,167.55815543308256,179.26597461274136,229.51318734702514,174.77932570437667,177.32371366005353,125.26973299903173,143.72290850499178,167.55815543308256,179.26597461274136,229.51318734702514,174.77932570437667,177.32371366005353
1INCH-USD,2021-06-12,53.160924789368,56.023962498831345,61.82941161156108,61.99941361458413,52.40645767145091,52.39031424242124,43.304192134790625,53.160924789368,56.023962498831345,61.82941161156108,61.99941361458413,52.40645767145091,52.39031424242124
1INCH-USD,2021-10-24,44.372212914868236,45.64530158505165,45.5920536432205,48.117820886517485,45.328382693351706,43.219867185774014,81.0044500937565,44.372212914868236,45.64530158505165,45.5920536432205,48.117820886517485,45.328382693351706,43.219867185774014
ACH-USD,2020-11-08,85.88836851398452,74.1910307767918,79.19267292414551,78.24835280939138,74.12360362828915,73.39932975428374,54.17664223959171,85.88836851398452,74.1910307767918,79.19267292414551,78.24835280939138,74.12360362828915,73.39932975428374
ACH-USD,2020-12-04,121.20031910320304,131.33446071342277,132.679192439206,135.1292738688379,131.9473966728846,98.61937560439364,67.19683084930482,121.20031910320304,131.33446071342277,132.679192439206,135.1292738688379,131.9473966728846,98.61937560439364
ACH-USD,2021-01-15,55.682932400182665,51.94521921805636,53.85607805919443,51.84839607970795,51.78404759771926,45.72602365903662,50.316595959235066,55.682932400182665,51.94521921805636,53.85607805919443,51.84839607970795,51.78404759771926,45.72602365903662
ACH-USD,2021-01-25,65.51825488908248,63.19227274710949,63.300140890691075,54.581381529336234,53.49794363931609,46.24340662724358,52.75564169144544,65.51825488908248,63.19227274710949,63.300140890691075,54.581381529336234,53.49794363931609,46.24340662724358
ACH-USD,2021-02-09,66.24861138823256,62.276268706146,60.191620586878116,51.18606670915737,46.65149598245538,34.75327067142784,59.91446189688535,66.24861138823256,62.276268706146,60.191620586878116,51.18606670915737,46.65149598245538,34.75327067142784
ACH-USD,2021-03-10,89.80446056385935,87.3509383057479,61.82370657619984,57.040352994912205,49.59748898323696,43.34534428350237,57.38711801660564,89.80446056385935,87.3509383057479,61.82370657619984,57.040352994912205,49.59748898323696,43.34534428350237
ACH-USD,2021-03-26,51.53513531264222,53.40732387614693,57.88221108141064,51.91060202636286,48.578071760232554,48.54669585316081,39.570388354751586,51.53513531264222,53.40732387614693,57.88221108141064,51.91060202636286,48.578071760232554,48.54669585316081
ACH-USD,2021-05-07,50.20450941242221,36.003976253708146,34.63744408147981,29.062833602713557,26.864632945897338,27.362947644686898,76.53742108991429,50.20450941242221,36.003976253708146,34.63744408147981,29.062833602713557,26.864632945897338,27.362947644686898
ACH-USD,2021-06-22,53.72072403218787,30.098537630235825,70.36228489080655,80.21583317516925,74.33333313931286,72.16828908750908,59.03257223227943,53.72072403218787,30.098537630235825,70.36228489080655,80.21583317516925,74.33333313931286,72.16828908750908
ACH-USD,2021-07-25,59.89122646349196,58.12841373624635,55.74324380129616,54.36828533770239,46.563477276015064,38.22699265761556,75.48340816164503,59.89122646349196,58.12841373624635,55.74324380129616,54.36828533770239,46.563477276015064,38.22699265761556
ACH-USD,2021-07-30,38.22699265761556,75.48340816164503,132.30649576990427,133.79581301017413,91.84733952290321,120.27217477048707,92.18039201859976,38.22699265761556,75.48340816164503,132.30649576990427,133.79581301017413,91.84733952290321,120.27217477048707
ACH-USD,2021-08-03,91.84733952290321,120.27217477048707,92.18039201859976,107.36332894444764,140.58599229673248,104.4384341632038,125.00621292404581,91.84733952290321,120.27217477048707,92.18039201859976,107.36332894444764,140.58599229673248,104.4384341632038
ACH-USD,2021-08-19,251.170008339173,264.5110318424417,218.2248542308606,176.57807690684896,121.35598908895025,76.15363003664264,64.87691949542888,251.170008339173,264.5110318424417,218.2248542308606,176.57807690684896,121.35598908895025,76.15363003664264
ACH-USD,2021-10-31,39.51121590930878,36.50391522509839,34.244688964691264,53.994616084911684,51.081246995019754,51.10148863032652,56.070554078096606,39.51121590930878,36.50391522509839,34.244688964691264,53.994616084911684,51.081246995019754,51.10148863032652
