symbol,date,regime,entry_price,exit_pct,exit_price,bars_held,return,win
MPLX-USD,2023-11-28,6,0.0763410031795501,0.45,0.11069445461034765,4,0.44999999999999996,True
MPLX-USD,2023-12-05,7,0.1188030019402504,0.45,0.17226435281336308,3,0.44999999999999996,True
MPLX-USD,2023-12-16,7,0.1845500022172927,0.45,0.2675975032150744,3,0.44999999999999996,True
MPLX-USD,2024-01-04,4,0.2727200090885162,0.45,0.39544401317834843,3,0.44999999999999996,True
MPLX-USD,2024-03-10,8,0.1439670026302337,0.45,0.20875215381383888,3,0.44999999999999996,True
MPLX-USD,2024-03-22,4,0.1683489978313446,0.45,0.24410604685544968,3,0.44999999999999996,True
MPLX-USD,2024-04-02,3,0.2669520080089569,0.45,0.3870804116129875,2,0.44999999999999996,True
MPLX-USD,2024-06-10,1,0.2654649913311004,0.45,0.3849242374300956,2,0.44999999999999996,True
MPLX-USD,2024-09-19,7,0.2911520004272461,0.45,0.42217040061950684,4,0.44999999999999996,True
MSOL-USD,2022-12-31,2,10.800909996032717,0.45,14.539591789245604,5,0.3461450743118999,False
MSOL-USD,2023-01-11,9,17.656715393066406,0.45,25.602237319946287,3,0.44999999999999996,True
MSOL-USD,2023-04-27,2,24.590091705322266,0.45,35.655632972717285,3,0.44999999999999996,True
MSOL-USD,2023-05-02,3,31.606517791748047,0.45,45.829450798034664,3,0.44999999999999996,True
MSOL-USD,2023-05-15,3,23.38510513305664,0.45,33.90840244293213,3,0.44999999999999996,True
MSOL-USD,2023-05-20,3,22.433319091796875,0.45,32.52831268310547,0,0.44999999999999996,True
MSOL-USD,2023-05-28,6,23.07586479187012,0.45,33.46000394821167,3,0.44999999999999973,True
MSOL-USD,2023-06-17,3,17.4853458404541,0.45,25.353751468658448,2,0.44999999999999996,True
MSOL-USD,2023-06-30,7,20.873271942138672,0.45,30.266244316101073,0,0.44999999999999996,True
MSOL-USD,2023-11-07,9,49.4315299987793,0.45,71.67571849822998,4,0.44999999999999996,True
MSOL-USD,2023-12-19,5,84.44574737548828,0.45,122.446333694458,4,0.44999999999999996,True
MWC-USD,2020-12-14,4,2.444685935974121,0.45,3.5447946071624754,5,0.44999999999999996,True
MWC-USD,2020-12-19,7,3.783945083618164,0.45,5.486720371246338,4,0.44999999999999996,True
MWC-USD,2020-12-24,5,6.63996696472168,0.45,9.627952098846436,3,0.44999999999999996,True
MWC-USD,2020-12-30,6,9.550756454467772,0.45,13.848596858978269,3,0.44999999999999996,True
MWC-USD,2021-02-28,3,15.132110595703123,0.45,19.42410087585449,5,0.283634609528304,False
MWC-USD,2021-04-18,7,11.558279037475586,0.45,16.7595046043396,3,0.44999999999999996,True
MWC-USD,2021-09-29,2,3.0518910884857178,0.45,3.843384981155396,5,0.25934539265043055,False
MWC-USD,2021-10-26,7,3.257385969161988,0.45,4.723209655284883,3,0.44999999999999996,True
MWC-USD,2021-11-08,8,3.221611976623535,0.45,4.671337366104126,5,0.44999999999999996,True
MWC-USD,2021-11-12,6,4.453029155731201,0.45,6.456892275810241,3,0.44999999999999996,True
MWC-USD,2021-11-20,5,6.850870132446289,0.45,8.611948013305664,5,0.25705900809865945,False
MWC-USD,2021-12-02,7,5.514591217041016,0.45,5.149489879608154,5,-0.06620641912761127,False
MWC-USD,2022-01-24,1,3.2713840007781982,0.45,4.743506801128388,3,0.44999999999999996,True
MWC-USD,2022-02-03,6,4.593204021453857,0.45,6.660145831108093,0,0.44999999999999996,True
MWC-USD,2022-02-11,5,6.649299144744873,0.45,9.23432731628418,5,0.3887670136757686,False
MWC-USD,2022-02-27,3,9.071562767028809,0.45,13.153766012191772,5,0.44999999999999996,True
MWC-USD,2022-05-20,2,2.9921200275421143,0.45,4.3385740399360655,3,0.44999999999999996,True
MWC-USD,2022-06-18,3,1.5689549446105957,0.45,2.2749846696853635,2,0.44999999999999973,True
MWC-USD,2022-06-30,6,1.7584660053253174,0.45,2.54977570772171,1,0.44999999999999996,True
MWC-USD,2022-07-07,6,1.948032021522522,0.45,2.8246464312076567,3,0.44999999999999996,True
MWC-USD,2022-08-01,9,1.9479010105133057,0.45,1.9774249792099,5,0.015156811633263656,False
MWC-USD,2022-12-09,5,0.7204489707946777,0.45,1.0446510076522826,3,0.44999999999999973,True
MWC-USD,2023-01-12,8,0.7976170182228088,0.45,1.050034999847412,5,0.31646514035899376,False
MWC-USD,2023-02-14,2,0.8586120009422302,0.45,1.2449874013662339,3,0.44999999999999996,True
MWC-USD,2023-03-14,6,0.5585700273513794,0.45,0.8099265396595001,1,0.44999999999999996,True
MWC-USD,2023-05-25,2,0.3513419926166534,0.45,0.4542030096054077,5,0.29276607735581783,False
MWC-USD,2024-03-20,3,8.052635192871094,0.45,11.676321029663086,4,0.44999999999999996,True
MWC-USD,2025-02-02,1,22.52553367614746,0.45,32.662023830413816,0,0.44999999999999996,True
MX-USD,2021-01-25,7,0.1804949939250946,0.45,0.2617177411913872,4,0.44999999999999996,True
MX-USD,2021-02-15,8,0.4547030031681061,0.45,0.6593193545937538,4,0.44999999999999996,True
MX-USD,2021-04-03,8,0.6224690079689026,0.45,0.9025800615549088,2,0.44999999999999996,True
MX-USD,2021-04-07,8,0.8048319816589355,0.45,1.1670063734054565,4,0.44999999999999996,True
MX-USD,2021-05-07,9,1.1637790203094482,0.45,1.6874795794486999,3,0.44999999999999996,True
MX-USD,2021-05-23,1,0.7635449767112732,0.45,1.1071402162313462,3,0.44999999999999996,True
MX-USD,2021-08-20,9,0.8379200100898743,0.45,1.1324080228805542,5,0.3514512235590286,False
MX-USD,2021-09-14,3,1.3115750551223757,0.45,1.9017838299274448,4,0.44999999999999996,True
MX-USD,2021-09-28,1,0.9164159893989564,0.45,1.3288031846284867,4,0.44999999999999996,True
MX-USD,2021-11-08,8,1.879364967346192,0.45,2.7250792026519783,4,0.44999999999999996,True
MX-USD,2023-02-13,2,0.9256489872932434,0.45,1.3421910315752028,3,0.44999999999999996,True
MYTH-USD,2023-08-19,3,0.198403999209404,0.45,0.28768579885363577,3,0.44999999999999996,True
MYTH-USD,2023-12-04,7,0.276434987783432,0.45,0.4008307322859764,3,0.44999999999999996,True
MYTH-USD,2024-07-08,2,0.2496169954538345,0.45,0.36194464340806004,4,0.44999999999999996,True
MYTH-USD,2024-11-15,7,0.1741800010204315,0.45,0.2419749945402145,5,0.38922375199567605,False
NEO-USD,2021-02-07,9,24.53667449951172,0.45,35.578178024291994,3,0.44999999999999996,True
NEO-USD,2021-04-13,9,66.53580474853516,0.45,96.47691688537597,4,0.44999999999999996,True
NEO-USD,2021-05-23,1,43.51300811767578,0.45,63.09386177062988,3,0.44999999999999996,True
NEO-USD,2021-07-28,7,34.38220977783203,0.45,43.49583053588867,5,0.26506791788387774,False
NEO-USD,2023-02-17,6,9.565037727355955,0.45,13.869304704666135,3,0.44999999999999996,True
NEO-USD,2023-11-02,7,9.565223693847656,0.45,13.8695743560791,3,0.44999999999999996,True
NEO-USD,2024-04-05,2,15.26522445678711,0.45,22.134575462341306,4,0.44999999999999996,True
NEO-USD,2024-11-30,9,16.006227493286133,0.45,23.209029865264892,3,0.44999999999999996,True
NEXO-USD,2020-11-26,6,0.2348009943962097,0.45,0.34046144187450406,4,0.44999999999999996,True
NEXO-USD,2020-12-02,8,0.3110069930553436,0.45,0.4509601399302482,3,0.44999999999999996,True
NEXO-USD,2020-12-14,4,0.513933002948761,0.45,0.7452028542757034,5,0.44999999999999996,True
NEXO-USD,2021-01-31,8,0.8275949954986572,0.45,1.200012743473053,4,0.44999999999999996,True
