market_level,total_breakouts,hit_rate
1,433,85.45034642032333
2,261,76.62835249042146
3,374,78.87700534759358
4,342,78.0701754385965
5,206,76.69902912621359
6,328,78.96341463414635
7,626,78.43450479233228
8,569,81.37082601054482
9,670,82.68656716417911
