symbol,breakout_date,peak_date,b_rvol_-3,b_rvol_-2,b_rvol_-1,b_rvol_+0,b_rvol_+1,b_rvol_+2,b_rvol_+3,p_rvol_-3,p_rvol_-2,p_rvol_-1,p_rvol_+0,p_rvol_+1,p_rvol_+2
1INCH-USD,2021-10-24,2021-10-27,1.4701721189635568,1.2552526887832451,1.103606730289482,1.0725667979298872,0.3963332929483191,0.39352038433370023,6.990999485414487,1.0725667979298872,0.3963332929483191,0.39352038433370023,6.990999485414487,1.6800463046566596,0.75940692216859
ACH-USD,2021-08-19,2021-08-23,0.6528444720665829,0.5571029368511587,0.9855535268757405,0.6737802666469215,0.7195461540707088,1.0504576977353495,1.1527394652141083,0.7195461540707088,1.0504576977353495,1.1527394652141083,1.5958875655640339,1.0683612419585125,0.7060346214725264
ACH-USD,2021-10-31,2021-11-08,2.651389744071717,1.356234609049276,1.2019085631000648,3.9015441665472532,2.7245016033325395,1.7972753690167476,3.1516827884729666,1.0064264778336423,0.8716443374122269,0.6594753585131502,1.1042354407680448,1.4957223523590957,0.9044046073100468
ACH-USD,2022-01-07,2022-01-10,0.6742084332813011,1.9864249992903715,1.3465993618250747,0.5477568375969115,0.9571046965912595,0.7190403335387009,8.650430744639355,0.5477568375969115,0.9571046965912595,0.7190403335387009,8.650430744639355,3.6953063894332474,1.9889192766043815
ACH-USD,2022-02-06,2022-02-09,0.5079388371510185,0.6395156405408287,0.6203870822137617,0.5724366771079858,1.6453542212408796,3.8365249638390173,4.9988901931494905,0.5724366771079858,1.6453542212408796,3.8365249638390173,4.9988901931494905,2.4653012538984265,1.3334099344607309
ACH-USD,2022-07-16,2022-07-19,1.6078033922371335,1.5036473912538317,1.2744770449147156,1.278927973857361,1.4710917881518892,1.1855592683956866,7.229383657323242,1.278927973857361,1.4710917881518892,1.1855592683956866,7.229383657323242,5.90707792403133,2.350196685200933
ACH-USD,2023-01-27,2023-02-05,0.591887851043463,1.796142308751223,0.5638204305077243,0.4358717754363049,0.3594076413654184,1.1172972552121965,3.4607944510752278,0.9738378780401457,1.1789129354061396,1.3261257176201604,2.634937009792176,1.1937219192214152,0.8043986749935381
ACH-USD,2023-02-14,2023-02-22,0.2560788758758607,0.8007766813632123,0.5100915396000024,0.3901585118428028,0.7297788043103046,4.070838507781588,1.6924317548381123,2.8103862558477095,6.6285207885305715,3.2202677985865242,2.437582019979238,2.2327256996646505,1.0445237480583707
ACH-USD,2023-03-10,2023-03-19,0.36578305333296124,0.4484759617922562,0.5910922743391337,0.5333648444914418,0.423509089490172,0.5304140515042571,2.148973513740583,0.837446607250785,1.297134473130567,1.3274663159313134,1.437999642430416,1.0309316557923178,0.720383558550029
ACH-USD,2024-03-11,2024-03-14,1.2799047245897717,0.5949007578124436,0.6441495434926194,1.227184994248466,1.5818656010293788,1.849245533651747,2.4339108189208774,1.227184994248466,1.5818656010293788,1.849245533651747,2.4339108189208774,3.1949289516794237,1.2456243705849959
ACH-USD,2025-01-24,2025-02-01,0.6944818031918732,0.43880805232691256,0.7786133460378745,0.6837326091604867,0.48311575821531716,1.8797470951079704,13.791958890393532,4.128176446702364,3.346372228770506,2.5076728545571108,3.8162007015702306,1.6489599543485138,2.022749961142631
ACH-USD,2025-02-15,2025-02-20,0.26452375457741595,0.2205871365878478,0.1812260674598608,0.14244992461158124,0.9398134136172656,0.9470255176808005,2.1902383572556383,0.9470255176808005,2.1902383572556383,1.158927131985749,1.2212702261191222,0.8082838895050369,0.4713905396585073
ACT-USD,2021-04-02,2021-04-09,0.7321364129367441,1.250051024156877,1.7812740689420572,0.9904318044938213,0.8316216993632352,1.1249694206411052,2.0744897057767497,1.8142086755358062,0.9628505044628083,0.8417304257812723,1.338547034149192,1.0736156412109967,0.9425830968473292
AGI-USD,2023-11-21,2023-11-24,2.313835014639009,2.5070624985122794,0.9770465133124766,0.8464337529306422,0.6375834252372643,0.17180070175413367,0.20100698884785362,0.8464337529306422,0.6375834252372643,0.17180070175413367,0.20100698884785362,0.08145504382506313,0.04508130728655742
AGI-USD,2023-12-06,2023-12-15,0.029297507917533855,0.04123216886429792,0.04357639611785547,0.062495717634450866,0.07473885986814661,0.12080191604579824,0.7598403320543371,0.8714398160588025,0.6996157459117417,1.8370979995486323,3.0217718748625795,3.231347054849162,1.1512276909964156
AGI-USD,2024-02-13,2024-02-22,1.1637233486558947,0.9648175816391943,1.080901625522513,0.9105616533591577,1.0007432774723237,3.8924178897156776,6.428662364344376,5.534674914261788,5.286427709558969,2.6075587709439056,3.475312900035237,2.474868210011038,1.951000094037319
AGI-USD,2024-06-18,2024-06-22,0.49156044326191656,0.7689434422118786,2.1461223760722032,2.2149782984525004,2.117446949184881,2.9307764097727476,1.965708382294365,2.117446949184881,2.9307764097727476,1.965708382294365,1.441330307290323,1.9568556944608442,1.9123934409746661
AGI-USD,2024-09-21,2024-09-27,1.2619855974580045,2.022952150980247,1.4072836025170614,1.0236873455227664,1.210045213605774,4.884734185241268,5.864525293772352,5.864525293772352,4.9506389717907195,3.0131680485486556,2.2815554836822396,1.0641742436855555,0.9420938808406737
AGI-USD,2025-03-16,2025-03-25,0.7143916440152895,0.8778533742036958,0.5699661816794379,0.7761853027915437,1.8197744441157309,1.5951004526535404,4.863810374958422,1.7521644289431648,1.0449414783197986,1.372093847029989,0.5810366707271327,2.4380875208625734,3.0875293137554096
