symbol,breakout_date,start_price,max_window_price,max_gain,market_level,date,close,high,low,open,volume,close,high,low,ema_5,ema_50,ema_200,rsi,macd,macd_signal,adx
1INCH-USD,2021-10-24,3.810249090194702,5.674349784851074,0.489233289092162,7,2021-10-24,3.810249090194702,4.066686153411865,3.6916909217834473,4.028936862945557,440583618,3.810249090194702,4.066686153411865,3.6916909217834473,3.898891469382133,3.2207645407991023,3.1919765667153515,60.71385914548354,0.2767131920167496,0.2073266812775145,24.367887105902263
A-USD,2020-07-24,0.0059730000793933,0.0117419995367527,0.9658462047007672,7,2020-07-24,0.0059730000793933,0.0108829997479915,0.0037269999738782,0.0102019999176263,1878,0.0059730000793933,0.0108829997479915,0.0037269999738782,0.0083210043599381,0.0087239047528426,0.0099532053248792,46.10957024271297,-0.0005525654811737,-0.0007056620504133,15.48439604216146
A-USD,2020-08-02,0.0038250000216066,0.0050920001231133,0.331241854731945,9,2020-08-02,0.0038250000216066,0.0046000001020729,0.0036790000740438,0.0045659998431801,4767,0.0038250000216066,0.0046000001020729,0.0036790000740438,0.004741979447728,0.0079250143549265,0.0096334629005136,43.82665375663591,-0.0013034062340773,-0.0008847966449104,10.876332161964134
A-USD,2020-08-20,0.0032659999560564,0.0099470000714063,2.0456216182614444,7,2020-08-20,0.0032659999560564,0.0035149999894201,0.003169999923557,0.003169999923557,454,0.0032659999560564,0.0035149999894201,0.003169999923557,0.0034128824291939,0.0057086753753867,0.0086479480302605,43.765553605149584,-0.0009094870876486,-0.0010791181350373,8.501290662355986
A-USD,2020-08-26,0.0029279999434947,0.0060729999095201,1.0741120309830676,2,2020-08-26,0.0029279999434947,0.0069510000757873,0.0029009999707341,0.0051910001784563,303,0.0029279999434947,0.0069510000757873,0.0029009999707341,0.0052559156431946,0.0057114292590837,0.0084768111194812,44.56820380918549,-3.0279483890120924e-05,-0.000396179171345,12.829287194063284
A-USD,2020-08-30,0.0029710000380873,0.0047860001213848,0.6109054392560624,5,2020-08-30,0.0029710000380873,0.0030149999074637,0.0027769999578595,0.002917000092566,1763,0.0029710000380873,0.0030149999074637,0.0027769999578595,0.0039256253232859,0.0054360329247649,0.0082960825519408,45.55346414470436,-0.0002993546609905,-0.000268329048946,13.332646796862733
A-USD,2020-09-03,0.0026080000679939,0.0055940002202987,1.144938678855811,3,2020-09-03,0.0026080000679939,0.0028359999414533,0.0025569999124854,0.0027459999546408,523,0.0026080000679939,0.0028359999414533,0.0025569999124854,0.0033234075306172,0.0051382606362697,0.0081057572843862,45.04780417672816,-0.0004655780556323,-0.000331185726016,15.435294007952136
A-USD,2020-09-07,0.0022289999760687,0.0029009999707341,0.3014804853657334,2,2020-09-07,0.0022289999760687,0.0023070001043379,0.002119000069797,0.002288999967277,504,0.0022289999760687,0.0023070001043379,0.002119000069797,0.0030078953145959,0.0048803863714409,0.00792269701356,44.84902186941336,-0.0005182537142923,-0.0003765561564838,18.162693195924387
A-USD,2020-09-11,0.0025629999581724,0.0033360000234097,0.3015997182413156,4,2020-09-11,0.0025629999581724,0.0033559999428689,0.0023580000270158,0.0029029999859631,476,0.0025629999581724,0.0033559999428689,0.0023580000270158,0.00277117682062,0.0045635566311648,0.0077194580562858,45.86636374943908,-0.0005648476264778,-0.0004822657596326,19.853441657410933
A-USD,2020-09-16,0.002117000054568,0.0036830001045018,0.7397260319170668,4,2020-09-16,0.002117000054568,0.0028470000252127,0.0021140000317245,0.002769999904558,1804,0.002117000054568,0.0028470000252127,0.0021140000317245,0.00268992862901,0.0042522651025092,0.0074823627650811,44.174294137143406,-0.0004853524786568,-0.0004778282245621,21.76182963556468
A-USD,2020-09-20,0.0035729999653995,0.0065130000002682,0.8228379690286329,5,2020-09-20,0.0035729999653995,0.0041149999015033,0.003527000080794,0.0036869999021291,1153,0.0035729999653995,0.0041149999015033,0.003527000080794,0.0034001957689617,0.0041480571817821,0.0073279641146296,50.42159108353984,-0.0002188238057404,-0.0003690883840523,23.504796615814843
A-USD,2020-09-25,0.0061460002325475,0.0093839997425675,0.5268466299224102,4,2020-09-25,0.0061460002325475,0.0069189998321235,0.0058479998260736,0.0068959998898208,4,0.0061460002325475,0.0069189998321235,0.0058479998260736,0.005522058753632,0.0043524381034264,0.0072251295055838,59.59394708228675,0.0004576971562877,-1.9967484706104267e-06,28.98172096278444
A-USD,2020-10-04,0.004838999826461,0.0078940000385046,0.6313288534002434,7,2020-10-04,0.004838999826461,0.009421999566257,0.0048360000364482,0.0093909995630383,302,0.004838999826461,0.009421999566257,0.0048360000364482,0.0077178869588049,0.0055411852384891,0.0073159345496735,45.048153745291295,0.0012198571349168,0.0011319210928509,29.09867180979116
A-USD,2020-10-25,0.0048010000027716,0.0075150001794099,0.5652989325289558,7,2020-10-25,0.0048010000027716,0.007842999882996,0.0047789998352527,0.0077249999158084,0,0.0048010000027716,0.007842999882996,0.0047789998352527,0.0065541794627248,0.0063942354437699,0.0072700557133025,40.83681481453672,5.441313595313298e-05,0.0002660326712349,19.6084596522106
A-USD,2020-11-07,0.0042300000786781,0.0056579997763037,0.3375885747198043,6,2020-11-07,0.0042300000786781,0.0072860000655055,0.0037650000303983,0.0071140001527965,66,0.0042300000786781,0.0072860000655055,0.0037650000303983,0.0058535994092874,0.0064091447956175,0.0071747069231585,38.63482526734883,-0.000254735172163,-8.541174686046387e-05,39.67322996974297
A-USD,2020-11-13,0.0043939999304711,0.0095800003036856,1.1802458933262852,8,2020-11-13,0.0043939999304711,0.0043990002013742,0.0043069999665021,0.0043480000458657,0,0.0043939999304711,0.0043990002013742,0.0043069999665021,0.0045016739869134,0.0059944385200746,0.0070177160343883,41.99302991669512,-0.0006615677206617,-0.0004434189700956,45.630696568818834
