symbol,breakout_date,b_vtp_-3,b_vtp_-2,b_vtp_-1,b_vtp_+0,b_vtp_+1,b_vtp_+2,b_vtp_+3,p_vtp_-3,p_vtp_-2,p_vtp_-1,p_vtp_+0,p_vtp_+1,p_vtp_+2
ACH-USD,2021-03-26,450335834.26606894,440885771.20297766,449371548.7625485,425471641.2578856,404073580.5194455,378783012.0757446,422465855.335848,450335834.26606894,440885771.20297766,449371548.7625485,425471641.2578856,404073580.5194455,378783012.0757446
ACH-USD,2021-05-07,303504268.360885,333745590.1556573,343004864.39689237,355862253.30440193,378253952.90373695,366723502.72956634,1071116552.2754586,303504268.360885,333745590.1556573,343004864.39689237,355862253.30440193,378253952.90373695,366723502.72956634
ACH-USD,2021-06-22,567142067.0961436,573191052.3346145,604877280.0380831,611503830.8032715,544498738.2558784,487377388.40165937,772918142.2982926,567142067.0961436,573191052.3346145,604877280.0380831,611503830.8032715,544498738.2558784,487377388.40165937
ACH-USD,2021-07-25,609223484.2863691,575569215.9042816,559334642.3866379,617182274.1942747,655209030.4444585,645111480.8753841,1087276031.811757,609223484.2863691,575569215.9042816,559334642.3866379,617182274.1942747,655209030.4444585,645111480.8753841
ACH-USD,2021-07-30,645111480.8753841,1087276031.811757,3802035000.942791,3558054150.724167,3782790653.4509,3798854805.5690784,4370622914.890985,645111480.8753841,1087276031.811757,3802035000.942791,3558054150.724167,3782790653.4509,3798854805.5690784
ACH-USD,2021-08-03,3782790653.4509,3798854805.5690784,4370622914.890985,5131112875.860614,5645766992.151567,5386415734.65714,5351410605.230152,3782790653.4509,3798854805.5690784,4370622914.890985,5131112875.860614,5645766992.151567,5386415734.65714
ACH-USD,2021-08-19,2883817909.91023,2700315529.1263876,2747146318.154694,2634371853.0176783,2532033979.8329344,2574538840.134872,2628674982.547795,2883817909.91023,2700315529.1263876,2747146318.154694,2634371853.0176783,2532033979.8329344,2574538840.134872
ACH-USD,2021-10-31,769603301.5363114,777730854.9602147,775003903.6427408,1060955934.6777653,1180604031.5306866,1185797062.8877845,1301782806.7418246,769603301.5363114,777730854.9602147,775003903.6427408,1060955934.6777653,1180604031.5306866,1185797062.8877845
ACH-USD,2022-01-07,388669854.85898983,466877034.2816062,492375730.7276374,449440317.72092247,447630086.4586755,420605190.005108,1205973938.1157858,388669854.85898983,466877034.2816062,492375730.7276374,449440317.72092247,447630086.4586755,420605190.005108
ACH-USD,2022-02-06,458055306.512178,445799948.69978297,431772744.30217934,414165052.08933777,499129392.30669117,777748529.4579704,1163329025.400097,458055306.512178,445799948.69978297,431772744.30217934,414165052.08933777,499129392.30669117,777748529.4579704
ACH-USD,2022-07-16,899888752.9697748,988267851.4276879,1022552266.5412198,1051639645.6643368,1119963557.8312113,1112543953.4838758,2158900276.6144295,899888752.9697748,988267851.4276879,1022552266.5412198,1051639645.6643368,1119963557.8312113,1112543953.4838758
ACH-USD,2022-10-11,778295807.7127223,717645992.1822588,721867491.9169319,665783172.9481373,619169769.3856544,634749783.7351264,2578931475.42387,778295807.7127223,717645992.1822588,721867491.9169319,665783172.9481373,619169769.3856544,634749783.7351264
