symbol,breakout_date,b_macd_-3,b_macd_signal_-3,b_macd_-2,b_macd_signal_-2,b_macd_-1,b_macd_signal_-1,b_macd_+0,b_macd_signal_+0,b_macd_+1,b_macd_signal_+1,b_macd_+2,b_macd_signal_+2,b_macd_+3,b_macd_signal_+3,p_macd_-3,p_macd_signal_-3,p_macd_-2,p_macd_signal_-2,p_macd_-1,p_macd_signal_-1,p_macd_+0,p_macd_signal_+0,p_macd_+1,p_macd_signal_+1,p_macd_+2,p_macd_signal_+2
KDA-USD,2021-10-15,0.15658086012561023,0.1461001872262629,0.1772782889882234,0.152335807578655,0.18523609644304306,0.15891586535153263,0.18158370619102637,0.1634494335194314,0.17568192753120848,0.16589593232178682,0.1804663000215747,0.1688100058617444,0.22495339047817708,0.18003868278503096,0.15658086012561023,0.1461001872262629,0.1772782889882234,0.152335807578655,0.18523609644304306,0.15891586535153263,0.18158370619102637,0.1634494335194314,0.17568192753120848,0.16589593232178682,0.1804663000215747,0.1688100058617444
KDA-USD,2021-10-19,0.17568192753120848,0.16589593232178682,0.1804663000215747,0.1688100058617444,0.22495339047817708,0.18003868278503096,0.25020305187006553,0.1940715566020379,0.34400182320453654,0.22405760992253765,0.39831861668679247,0.2589098112753886,0.45439470532974324,0.2980067900862595,0.17568192753120848,0.16589593232178682,0.1804663000215747,0.1688100058617444,0.22495339047817708,0.18003868278503096,0.25020305187006553,0.1940715566020379,0.34400182320453654,0.22405760992253765,0.39831861668679247,0.2589098112753886
KDA-USD,2021-10-23,0.34400182320453654,0.22405760992253765,0.39831861668679247,0.2589098112753886,0.45439470532974324,0.2980067900862595,0.6072462846459188,0.3598546889981914,0.8631270788135321,0.46050916696125954,1.0116492277004445,0.5707371791090966,1.1625869487986975,0.6891071330470169,0.34400182320453654,0.22405760992253765,0.39831861668679247,0.2589098112753886,0.45439470532974324,0.2980067900862595,0.6072462846459188,0.3598546889981914,0.8631270788135321,0.46050916696125954,1.0116492277004445,0.5707371791090966
KDA-USD,2021-11-01,1.298882704776128,0.9597594708866893,1.2588747089114465,1.019582518491641,1.2568033693182485,1.0670266886569626,1.2715127725000137,1.107923905425573,1.264464333698835,1.1392319910802253,1.35985007711471,1.1833556082871224,1.5232520468949655,1.2513348960086912,1.298882704776128,0.9597594708866893,1.2588747089114465,1.019582518491641,1.2568033693182485,1.0670266886569626,1.2715127725000137,1.107923905425573,1.264464333698835,1.1392319910802253,1.35985007711471,1.1833556082871224
KDA-USD,2021-11-05,1.264464333698835,1.1392319910802253,1.35985007711471,1.1833556082871224,1.5232520468949655,1.2513348960086912,1.7164494885649377,1.3443578145199404,2.176396673071544,1.5107655862302614,2.9112454153728633,1.7908615520587818,3.121685698605713,2.057026381368168,1.264464333698835,1.1392319910802253,1.35985007711471,1.1833556082871224,1.5232520468949655,1.2513348960086912,1.7164494885649377,1.3443578145199404,2.176396673071544,1.5107655862302614,2.9112454153728633,1.7908615520587818
KDA-USD,2021-12-23,-1.2267044269960277,-1.2354876945449926,-1.1417887236245008,-1.2167479003608943,-1.077055187483655,-1.1888093577854466,-0.9643788121054246,-1.1439232486494424,-0.807001853723003,-1.0765389696641545,-0.5515566205733275,-0.9715424998459892,-0.21678186731097604,-0.8205903733389867,-1.2267044269960277,-1.2354876945449926,-1.1417887236245008,-1.2167479003608943,-1.077055187483655,-1.1888093577854466,-0.9643788121054246,-1.1439232486494424,-0.807001853723003,-1.0765389696641545,-0.5515566205733275,-0.9715424998459892
KDA-USD,2022-02-05,-1.1083362784334216,-1.2634926270942326,-1.0840145128594312,-1.2275970042472724,-1.001292395608126,-1.182336082519443,-0.9194623625333218,-1.129761338522219,-0.8139469882534289,-1.0665984684684608,-0.6302827054482218,-0.9793353158644131,-0.3767995281994514,-0.8588281583314208,-1.1083362784334216,-1.2634926270942326,-1.0840145128594312,-1.2275970042472724,-1.001292395608126,-1.182336082519443,-0.9194623625333218,-1.129761338522219,-0.8139469882534289,-1.0665984684684608,-0.6302827054482218,-0.9793353158644131
KDA-USD,2022-05-11,-0.6235958949849896,-0.5689905703315932,-0.6795114563421443,-0.5910947475337034,-0.7271158057791869,-0.6182989591828001,-0.8151997367703339,-0.6576791147003069,-0.8848412396440701,-0.7031115396890596,-0.8925435717615846,-0.7409979461035646,-0.81684397501003,-0.7561671518848578,-0.6235958949849896,-0.5689905703315932,-0.6795114563421443,-0.5910947475337034,-0.7271158057791869,-0.6182989591828001,-0.8151997367703339,-0.6576791147003069,-0.8848412396440701,-0.7031115396890596,-0.8925435717615846,-0.7409979461035646
KDA-USD,2023-12-21,0.03318664618117584,0.03337985229343668,0.030240297998519905,0.03275194143445333,0.029575529261525846,0.032116658999867834,0.03386287224583295,0.03246590164906086,0.038524938166686895,0.033677708952586066,0.04318598489141301,0.035579364140351455,0.07767510391493793,0.043998512095268755,0.03318664618117584,0.03337985229343668,0.030240297998519905,0.03275194143445333,0.029575529261525846,0.032116658999867834,0.03386287224583295,0.03246590164906086,0.038524938166686895,0.033677708952586066,0.04318598489141301,0.035579364140351455
KDA-USD,2024-09-15,0.0034018447485623104,0.001971449983543744,0.004581706875944058,0.002493501362023807,0.005384167662692452,0.003071634622157536,0.004509477067693668,0.003359203111264763,0.0025981418910143717,0.003206990867214685,0.0023216382864160723,0.0030299203510549626,0.014647354322026795,0.005353407145249329,0.0034018447485623104,0.001971449983543744,0.004581706875944058,0.002493501362023807,0.005384167662692452,0.003071634622157536,0.004509477067693668,0.003359203111264763,0.0025981418910143717,0.003206990867214685,0.0023216382864160723,0.0030299203510549626
