symbol,breakout_date,market_level,adx_d0,adx_d1,adx_d2,adx_d3
DEEP-USD,2022-04-01,9.0,32.697285347250194,31.25731730892169,29.706582498414072,28.300900623927788
DEEP-USD,2022-04-01,9.0,32.697285347250194,31.25731730892169,29.706582498414072,28.300900623927788
DEEP-USD,2022-04-05,,42.4314090047639,38.90857008952213,35.70152447800541,34.03439852569809
DEEP-USD,2022-04-09,3.0,54.20028503819442,51.57486278717452,48.747484978383845,45.70261656891697
DEEP-USD,2022-04-09,3.0,54.20028503819442,51.57486278717452,48.747484978383845,45.70261656891697
DEEP-USD,2022-04-09,3.0,54.20028503819442,51.57486278717452,48.747484978383845,45.70261656891697
DEEP-USD,2022-04-09,3.0,54.20028503819442,51.57486278717452,48.747484978383845,45.70261656891697
DEEP-USD,2022-04-13,,61.429918216948224,58.46311599856733,56.68531580994276,55.4888195124343
DEEP-USD,2022-04-18,2.0,73.37205172198018,71.3239275382645,69.11825534849847,66.74291606721197
DEEP-USD,2022-04-18,1.0,73.37205172198018,71.3239275382645,69.11825534849847,66.74291606721197
DEEP-USD,2022-04-18,2.0,73.37205172198018,71.3239275382645,69.11825534849847,66.74291606721197
DEEP-USD,2022-04-18,3.0,73.37205172198018,71.3239275382645,69.11825534849847,66.74291606721197
DEEP-USD,2022-04-25,2.0,84.14821579426699,82.92915669154013,81.61632381168043,80.20238492634283
DEEP-USD,2022-04-25,1.0,84.14821579426699,82.92915669154013,81.61632381168043,80.20238492634283
DEEP-USD,2022-04-25,2.0,84.14821579426699,82.92915669154013,81.61632381168043,80.20238492634283
DEEP-USD,2022-04-25,3.0,84.14821579426699,82.92915669154013,81.61632381168043,80.20238492634283
DEEP-USD,2022-04-29,1.0,88.2137030633111,87.30737372875508,86.33132675307935,85.28019924679907
DEEP-USD,2022-04-29,1.0,88.2137030633111,87.30737372875508,86.33132675307935,85.28019924679907
DEEP-USD,2022-04-29,1.0,88.2137030633111,87.30737372875508,86.33132675307935,85.28019924679907
DEEP-USD,2022-04-29,1.0,88.2137030633111,87.30737372875508,86.33132675307935,85.28019924679907
DEGEN-USD,2023-03-25,,34.972005224230635,32.80405423600072,30.46934828997692,27.95502078774617
DEGEN-USD,2023-04-04,,49.72300900915798,48.68977486058972,47.57706850782028,46.37876935868396
DEGEN-USD,2023-04-08,,53.16856420675117,52.40043365035197,51.57321612807589,50.68237566341171
DEGEN-USD,2023-04-12,,55.73011327201043,55.159062402064144,54.54409783191733,53.88182829483616
DEGEN-USD,2023-04-16,,57.6343559802789,57.20985356626856,56.75269712041126,56.260374794103406
DEGEN-USD,2023-04-20,,59.049230101573,58.73394595766957,58.39440918731204,58.02845764318497
DEGEN-USD,2023-04-25,3.0,60.31843640063908,60.100755622842094,59.866330169829965,59.61387198966306
DEGEN-USD,2023-04-25,2.0,60.31843640063908,60.100755622842094,59.866330169829965,59.61387198966306
DEGEN-USD,2023-04-25,1.0,60.31843640063908,60.100755622842094,59.866330169829965,59.61387198966306
DEGEN-USD,2023-04-25,2.0,60.31843640063908,60.100755622842094,59.866330169829965,59.61387198966306
DEGEN-USD,2023-05-01,4.0,61.33238526534296,61.19316962635263,61.043353772619874,60.88201362244615
DEGEN-USD,2023-05-01,5.0,61.33238526534296,61.19316962635263,61.043353772619874,60.88201362244615
DEGEN-USD,2023-05-01,3.0,61.33238526534296,61.19316962635263,61.043353772619874,60.88201362244615
DEGEN-USD,2023-05-01,2.0,61.33238526534296,61.19316962635263,61.043353772619874,60.88201362244615
DEGEN-USD,2023-05-15,3.0,62.4999038293118,62.450492950608975,62.39728123508287,62.33997631067013
DEGEN-USD,2023-05-15,3.0,62.4999038293118,62.450492950608975,62.39728123508287,62.33997631067013
DEGEN-USD,2023-05-15,2.0,62.4999038293118,62.450492950608975,62.39728123508287,62.33997631067013
DEGEN-USD,2023-05-15,3.0,62.4999038293118,62.450492950608975,62.39728123508287,62.33997631067013
DEGEN-USD,2023-05-20,,62.69057466761727,62.659285694049565,62.62558987636127,62.58838963760103
DEGEN-USD,2023-05-24,,62.79721088546561,62.773052695700095,62.74703618364493,62.71985100926124
DEGEN-USD,2023-05-28,,62.86895779578663,62.852790172540566,62.83537888596789,62.817001700540864
DEXE-USD,2021-05-23,4.0,30.921697751695337,28.369511184516966,25.998968799427725,23.479082297679604
DEXE-USD,2021-05-23,3.0,30.921697751695337,28.369511184516966,25.998968799427725,23.479082297679604
DEXE-USD,2021-05-23,2.0,30.921697751695337,28.369511184516966,25.998968799427725,23.479082297679604
DEXE-USD,2021-05-23,1.0,30.921697751695337,28.369511184516966,25.998968799427725,23.479082297679604
DEXE-USD,2021-07-01,9.0,19.53998809804786,20.571611771136983,21.929844714121938,23.496019973124387
DEXE-USD,2021-07-01,8.0,19.53998809804786,20.571611771136983,21.929844714121938,23.496019973124387
DEXE-USD,2021-07-01,8.0,19.53998809804786,20.571611771136983,21.929844714121938,23.496019973124387
DEXE-USD,2021-07-01,7.0,19.53998809804786,20.571611771136983,21.929844714121938,23.496019973124387
DEXE-USD,2021-07-19,9.0,12.579569992375433,13.3759814649471,13.695405328761163,14.49615083631815
DEXE-USD,2021-07-19,8.0,12.579569992375433,13.3759814649471,13.695405328761163,14.49615083631815
DEXE-USD,2021-07-19,5.0,12.579569992375433,13.3759814649471,13.695405328761163,14.49615083631815
DEXE-USD,2021-07-19,4.0,12.579569992375433,13.3759814649471,13.695405328761163,14.49615083631815
DEXE-USD,2021-07-23,9.0,18.70928786794369,15.033578590958973,11.228844037088724,11.879889750114174
DEXE-USD,2021-07-23,8.0,18.70928786794369,15.033578590958973,11.228844037088724,11.879889750114174
DEXE-USD,2021-07-23,5.0,18.70928786794369,15.033578590958973,11.228844037088724,11.879889750114174
DEXE-USD,2021-07-23,4.0,18.70928786794369,15.033578590958973,11.228844037088724,11.879889750114174
DEXE-USD,2021-08-05,9.0,35.335077938799074,35.94701652882675,36.33192760694779,36.74644722953967
DEXE-USD,2021-08-05,9.0,35.335077938799074,35.94701652882675,36.33192760694779,36.74644722953967
DEXE-USD,2021-08-05,9.0,35.335077938799074,35.94701652882675,36.33192760694779,36.74644722953967
DEXE-USD,2021-08-05,9.0,35.335077938799074,35.94701652882675,36.33192760694779,36.74644722953967
DEXE-USD,2021-08-22,8.0,41.00037988170944,41.06217274928275,40.81981333845289,41.089492632467895
DEXE-USD,2021-08-22,6.0,41.00037988170944,41.06217274928275,40.81981333845289,41.089492632467895
DEXE-USD,2021-08-22,9.0,41.00037988170944,41.06217274928275,40.81981333845289,41.089492632467895
DEXE-USD,2021-08-22,8.0,41.00037988170944,41.06217274928275,40.81981333845289,41.089492632467895
DEXE-USD,2021-12-02,,47.23065736313651,46.94752808577572,45.98683119904093,44.95223455178808
DEXE-USD,2022-07-22,7.0,35.26660739953873,33.46341834550089,31.545283775687924,29.146965060473445
DEXE-USD,2022-07-22,9.0,35.26660739953873,33.46341834550089,31.545283775687924,29.146965060473445
DEXE-USD,2022-07-22,9.0,35.26660739953873,33.46341834550089,31.545283775687924,29.146965060473445
