symbol,breakout_date,start_price,max_window_price,max_gain,market_level,Date,Close,High,Low,Open,Volume,close,volume,high,low,obv,cmf,rvol
A-USD,2020-08-26,0.0029279999434947,0.0060729999095201,1.0741120309830676,2,2020-08-26,0.0029279999434947,0.0069510000757873,0.0029009999707341,0.0051910001784563,303,0.0029279999434947,303,0.0069510000757873,0.0029009999707341,29458,-0.2544247226009119,0.11460125947918834
A-USD,2020-08-30,0.0029710000380873,0.0047860001213848,0.6109054392560624,5,2020-08-30,0.0029710000380873,0.0030149999074637,0.0027769999578595,0.002917000092566,1763,0.0029710000380873,1763,0.0030149999074637,0.0027769999578595,12422,-0.39806180851968165,0.4910453165473637
A-USD,2020-09-03,0.0026080000679939,0.0055940002202987,1.144938678855811,3,2020-09-03,0.0026080000679939,0.0028359999414533,0.0025569999124854,0.0027459999546408,523,0.0026080000679939,523,0.0028359999414533,0.0025569999124854,37306,-0.11308888327767638,0.12096261260740347
A-USD,2020-09-07,0.0022289999760687,0.0029009999707341,0.3014804853657334,2,2020-09-07,0.0022289999760687,0.0023070001043379,0.002119000069797,0.002288999967277,504,0.0022289999760687,504,0.0023070001043379,0.002119000069797,34585,0.02982271070823765,0.141921858500528
A-USD,2020-09-11,0.0025629999581724,0.0033360000234097,0.3015997182413156,4,2020-09-11,0.0025629999581724,0.0033559999428689,0.0023580000270158,0.0029029999859631,476,0.0025629999581724,476,0.0033559999428689,0.0023580000270158,35459,0.0593549122730657,0.12900952664886914
A-USD,2020-09-16,0.002117000054568,0.0036830001045018,0.7397260319170668,4,2020-09-16,0.002117000054568,0.0028470000252127,0.0021140000317245,0.002769999904558,1804,0.002117000054568,1804,0.0028470000252127,0.0021140000317245,37140,0.05087629780475297,0.47009159489778635
A-USD,2020-09-20,0.0035729999653995,0.0065130000002682,0.8228379690286329,5,2020-09-20,0.0035729999653995,0.0041149999015033,0.003527000080794,0.0036869999021291,1153,0.0035729999653995,1153,0.0041149999015033,0.003527000080794,46977,0.37071496829991646,0.4370155589667785
A-USD,2020-09-25,0.0061460002325475,0.0093839997425675,0.5268466299224102,4,2020-09-25,0.0061460002325475,0.0069189998321235,0.0058479998260736,0.0068959998898208,4,0.0061460002325475,4,0.0069189998321235,0.0058479998260736,44418,0.2660537033311275,0.002208968411751712
A-USD,2020-10-04,0.004838999826461,0.0078940000385046,0.6313288534002434,7,2020-10-04,0.004838999826461,0.009421999566257,0.0048360000364482,0.0093909995630383,302,0.004838999826461,302,0.009421999566257,0.0048360000364482,44821,0.33351159197228153,0.19936625297068922
A-USD,2020-10-25,0.0048010000027716,0.0075150001794099,0.5652989325289558,7,2020-10-25,0.0048010000027716,0.007842999882996,0.0047789998352527,0.0077249999158084,0,0.0048010000027716,0,0.007842999882996,0.0047789998352527,45838,0.05123606230028693,0.0
A-USD,2020-11-07,0.0042300000786781,0.0056579997763037,0.3375885747198043,6,2020-11-07,0.0042300000786781,0.0072860000655055,0.0037650000303983,0.0071140001527965,66,0.0042300000786781,66,0.0072860000655055,0.0037650000303983,45793,0.26470275782724617,1.095435684647303
A-USD,2020-11-13,0.0043939999304711,0.0095800003036856,1.1802458933262852,8,2020-11-13,0.0043939999304711,0.0043990002013742,0.0043069999665021,0.0043480000458657,0,0.0043939999304711,0,0.0043990002013742,0.0043069999665021,45803,0.10021627476685535,0.0
A-USD,2020-11-21,0.0065939999185502,0.0125070000067353,0.896724319263439,8,2020-11-21,0.0065939999185502,0.0109639996662735,0.006254999898374,0.0107789998874068,13,0.0065939999185502,13,0.0109639996662735,0.006254999898374,46770,0.7625858221558375,0.22747156605424323
A-USD,2020-11-27,0.0031099999323487,0.0094299996271729,2.032154286913852,6,2020-11-27,0.0031099999323487,0.009069999679923,0.0029879999347031,0.0088940002024173,3,0.0031099999323487,3,0.009069999679923,0.0029879999347031,47401,0.9244958328886879,0.036585365853658534
A-USD,2020-12-14,0.0029889999423176,0.0112669998779892,2.769488155042598,4,2020-12-14,0.0029889999423176,0.0091779995709657,0.0029859999194741,0.0091319996863603,14,0.0029889999423176,14,0.0091779995709657,0.0029859999194741,47387,-0.9921222856125617,16.47058823529412
A-USD,2020-12-24,0.0030630000401288,0.0061619998887181,1.0117531204664905,5,2020-12-24,0.0030630000401288,0.0080479998141527,0.0030529999639838,0.0080479998141527,11,0.0030630000401288,11,0.0080479998141527,0.0030529999639838,46026,-0.18977287355942807,0.12311135982092894
A-USD,2020-12-29,0.0033660000190138,0.0176250003278255,4.236185451059334,6,2020-12-29,0.0033660000190138,0.0064539997838437,0.0032550001051276,0.006436999887228,7,0.0033660000190138,7,0.0064539997838437,0.0032550001051276,46019,-0.19266351648468458,0.07803790412486064
A-USD,2021-01-05,0.0100859999656677,0.0139250000938773,0.3806266251514363,9,2021-01-05,0.0100859999656677,0.0123260002583265,0.0033420000690966,0.0117960004135966,156,0.0100859999656677,156,0.0123260002583265,0.0033420000690966,45866,-0.17740125507094542,1.6783216783216783
A-USD,2021-01-21,0.009519999846816,0.0146070001646876,0.5343487814837483,5,2021-01-21,0.009519999846816,0.0129540003836154,0.0093259997665882,0.0129540003836154,0,0.009519999846816,0,0.0129540003836154,0.0093259997665882,45866,0.5013356532774497,0.0
A-USD,2021-02-18,0.0031590000726282,0.0245130006223917,6.759734111686034,9,2021-02-18,0.0031590000726282,0.023089999333024,0.0031179999932646,0.0227400008589029,44,0.0031590000726282,44,0.023089999333024,0.0031179999932646,45938,-0.09116352056702688,5.5
A-USD,2021-02-22,0.0229170005768537,0.0326940007507801,0.4266265186466515,7,2021-02-22,0.0229170005768537,0.0245140008628368,0.0205710008740425,0.0245120003819465,0,0.0229170005768537,0,0.0245140008628368,0.0205710008740425,45998,0.20318232500038794,0.0
A-USD,2021-03-07,0.0107180001214146,0.0365639999508857,2.4114573182202816,7,2021-03-07,0.0107180001214146,0.0107540003955364,0.0102610001340508,0.0102610001340508,0,0.0107180001214146,0,0.0107540003955364,0.0102610001340508,46072,0.4293354256268301,0.0
A-USD,2021-03-12,0.0020389999262988,0.0384019985795021,17.833742014502935,7,2021-03-12,0.0020389999262988,0.0367899984121322,0.0019960000645369,0.0365240015089511,0,0.0020389999262988,0,0.0367899984121322,0.0019960000645369,52558,0.895592113005674,0.0
A-USD,2021-04-01,0.0023330000694841,0.0219919998198747,8.426489140541614,9,2021-04-01,0.0023330000694841,0.0302259996533393,0.0022559999488294,0.0298599991947412,1,0.0023330000694841,1,0.0302259996533393,0.0022559999488294,52776,0.1288322662808415,0.0015765410688948448
A-USD,2021-04-16,0.0082050003111362,0.0234009996056556,1.852041281935687,9,2021-04-16,0.0082050003111362,0.0423979982733726,0.0041450001299381,0.0253260005265474,2214,0.0082050003111362,2214,0.0423979982733726,0.0041450001299381,50562,-0.7878223948753589,19.99097065462754
A-USD,2021-04-20,0.0034040000755339,0.0204380005598068,5.00411283968647,6,2021-04-20,0.0034040000755339,0.0055430000647902,0.0027489999774843,0.0055280001834034,9969,0.0034040000755339,9969,0.0055430000647902,0.0027489999774843,40490,-0.5798714584517437,16.205803462570106
