symbol,breakout_date,start_price,max_window_price,max_gain,market_level,Date,Close,High,Low,Open,Volume,close,high,low,atr,std,bbw,rng
A-USD,2020-09-07,0.0022289999760687,0.0029009999707341,0.3014804853657334,2,2020-09-07,0.0022289999760687,0.0023070001043379,0.002119000069797,0.002288999967277,504,0.0022289999760687,0.0023070001043379,0.002119000069797,0.0019177222283734783,0.0012608006720391932,0.008934471000984183,0.08434277100014896
A-USD,2020-09-11,0.0025629999581724,0.0033360000234097,0.3015997182413156,4,2020-09-11,0.0025629999581724,0.0033559999428689,0.0023580000270158,0.0029029999859631,476,0.0025629999581724,0.0033559999428689,0.0023580000270158,0.0015823244591495155,0.000963894400684648,0.009082781763098503,0.3893874101210459
A-USD,2020-09-16,0.002117000054568,0.0036830001045018,0.7397260319170668,4,2020-09-16,0.002117000054568,0.0028470000252127,0.0021140000317245,0.002769999904558,1804,0.002117000054568,0.0028470000252127,0.0021140000317245,0.0012556694151961759,0.0008722110837280128,0.004184518850172526,0.34624467387544666
A-USD,2020-09-20,0.0035729999653995,0.0065130000002682,0.8228379690286329,5,2020-09-20,0.0035729999653995,0.0041149999015033,0.003527000080794,0.0036869999021291,1153,0.0035729999653995,0.0041149999015033,0.003527000080794,0.0011309204563065922,0.0005006932981690024,0.0033259216923763385,0.1645675416746206
A-USD,2020-09-25,0.0061460002325475,0.0093839997425675,0.5268466299224102,4,2020-09-25,0.0061460002325475,0.0069189998321235,0.0058479998260736,0.0068959998898208,4,0.0061460002325475,0.0069189998321235,0.0058479998260736,0.0012056932387542495,0.0014867371954490716,0.005391506543131613,0.17425967548425775
A-USD,2020-10-04,0.004838999826461,0.0078940000385046,0.6313288534002434,7,2020-10-04,0.004838999826461,0.009421999566257,0.0048360000364482,0.0093909995630383,302,0.004838999826461,0.009421999566257,0.0048360000364482,0.0017581559326580439,0.0023748614293421727,0.010674842806520545,0.9477164071656451
A-USD,2020-10-25,0.0048010000027716,0.0075150001794099,0.5652989325289558,7,2020-10-25,0.0048010000027716,0.007842999882996,0.0047789998352527,0.0077249999158084,0,0.0048010000027716,0.007842999882996,0.0047789998352527,0.0013354107169544394,0.0007640105949202533,0.003972300195286619,0.6382003844979096
A-USD,2020-11-07,0.0042300000786781,0.0056579997763037,0.3375885747198043,6,2020-11-07,0.0042300000786781,0.0072860000655055,0.0037650000303983,0.0071140001527965,66,0.0042300000786781,0.0072860000655055,0.0037650000303983,0.0012184154053355562,0.0009324518242539347,0.0036090332673306908,0.8323876996729357
A-USD,2020-11-13,0.0043939999304711,0.0095800003036856,1.1802458933262852,8,2020-11-13,0.0043939999304711,0.0043990002013742,0.0043069999665021,0.0043480000458657,0,0.0043939999304711,0.0043990002013742,0.0043069999665021,0.0011206635716821678,0.0011007024358958353,0.004750212629475607,0.020937696023640213
A-USD,2020-11-21,0.0065939999185502,0.0125070000067353,0.896724319263439,8,2020-11-21,0.0065939999185502,0.0109639996662735,0.006254999898374,0.0107789998874068,13,0.0065939999185502,0.0109639996662735,0.006254999898374,0.0014020830502650611,0.002855210846222816,0.00946794974615504,0.7141340348901387
A-USD,2020-11-27,0.0031099999323487,0.0094299996271729,2.032154286913852,6,2020-11-27,0.0031099999323487,0.009069999679923,0.0029879999347031,0.0088940002024173,3,0.0031099999323487,0.009069999679923,0.0029879999347031,0.002110171945919689,0.002875946374248309,0.011768558655585376,1.955626970263861
A-USD,2020-12-14,0.0029889999423176,0.0112669998779892,2.769488155042598,4,2020-12-14,0.0029889999423176,0.0091779995709657,0.0029859999194741,0.0091319996863603,14,0.0029889999423176,0.0091779995709657,0.0029859999194741,0.0014217770544937885,0.0016237692400926952,0.007260781335919338,2.071595774836472
A-USD,2020-12-24,0.0030630000401288,0.0061619998887181,1.0117531204664905,5,2020-12-24,0.0030630000401288,0.0080479998141527,0.0030529999639838,0.0080479998141527,11,0.0030630000401288,0.0080479998141527,0.0030529999639838,0.0019763010507719693,0.002604904650616481,0.008430744487003913,1.6307540923045039
A-USD,2020-12-29,0.0033660000190138,0.0176250003278255,4.236185451059334,6,2020-12-29,0.0033660000190138,0.0064539997838437,0.0032550001051276,0.006436999887228,7,0.0033660000190138,0.0064539997838437,0.0032550001051276,0.0018193372435018707,0.0030457599824191715,0.010944831663313694,0.9503861142738113
A-USD,2021-01-05,0.0100859999656677,0.0139250000938773,0.3806266251514363,9,2021-01-05,0.0100859999656677,0.0123260002583265,0.0033420000690966,0.0117960004135966,156,0.0100859999656677,0.0123260002583265,0.0033420000690966,0.0032075520725237242,0.004085883925949002,0.013884013519260854,0.8907396608973865
A-USD,2021-01-21,0.009519999846816,0.0146070001646876,0.5343487814837483,5,2021-01-21,0.009519999846816,0.0129540003836154,0.0093259997665882,0.0129540003836154,0,0.009519999846816,0.0129540003836154,0.0093259997665882,0.0024874454667849566,0.0011062938018619912,0.010469941540028074,0.38109250792063804
A-USD,2021-02-04,0.0167130008339881,0.0268460009247064,0.6062944764599966,9,2021-02-04,0.0167130008339881,0.0175230000168085,0.0164110008627176,0.0171390008181333,0,0.0167130008339881,0.0175230000168085,0.0164110008627176,0.0017679359921464204,0.0010411265116185536,0.0064438973601888255,0.06653497867537356
